,trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
1692,23,279,5,1,0,1,-1,0,3,12,58,0,58,d,6.37,0.51,3.58,10,11,31,-100,61,0.3657252727,0.4203454911,0,1,k,50.0,14,incorrect,incorrect,0,1
1698,24,280,5,0,0,-1,-1,0,3,12,-31,0,-31,d,6.06,0.43,3.32,1,2,22,-100,61,0.4171218542,0.4701475027,0,1,k,50.0,14,incorrect,incorrect,0,1
1704,25,281,5,0,0,-1,-1,1,1,4,-45,0,-45,d,4.59,0.52,4.42,1,2,22,-100,61,0.1648721935,0.2199993215,0,1,k,50.0,14,incorrect,incorrect,0,1
1710,26,282,5,0,1,-1,1,0,1,4,-49,4,-45,k,5.06,0.56,3.3,1,3,23,-100,61,0.6291346415,0.7102632651,0,1,d,40.0,14,incorrect,incorrect,0,1
1716,27,283,5,1,0,1,-1,0,1,4,54,0,54,d,6.35,0.59,3.45,10,11,31,-100,60,0.2962313355,0.3602031516,1,1,d,40.0,14,correct,incorrect,1,0
1722,28,284,5,0,1,-1,1,0,1,4,-52,4,-48,k,4.67,0.47,3.01,1,3,23,-100,60,0.4683909955,0.5501562496,1,1,k,50.0,14,correct,correct,1,0
1728,29,285,5,0,1,-1,1,0,1,4,-47,4,-43,k,4.89,0.65,3.16,1,3,23,-100,60,0.4546026562,0.5401315285,1,1,k,50.0,14,correct,correct,1,0
1740,31,287,5,1,1,1,1,0,1,4,30,4,34,k,6.19,0.61,3.09,10,12,32,-100,60,0.4037309456,0.4701654641,1,1,k,50.0,14,correct,incorrect,1,0
1746,32,288,5,0,1,-1,1,0,1,4,-57,4,-53,k,5.98,0.69,3.51,1,3,23,-100,61,0.3550892951,0.4101120761,0,1,d,40.0,14,incorrect,correct,0,1
1752,33,289,5,1,0,1,-1,0,1,4,58,0,58,d,6.06,0.67,4.88,10,11,31,-100,60,0.2477222569,0.3000670843,1,1,d,40.0,14,correct,incorrect,1,0
1758,34,290,5,1,0,1,-1,0,1,4,33,0,33,d,5.93,0.68,4.35,10,11,31,-100,61,0.2446306217,0.3300742489,0,1,k,50.0,14,incorrect,correct,0,1
1764,35,291,5,1,0,1,-1,0,1,4,51,0,51,d,6.96,0.57,3.19,10,11,31,-100,61,0.0037311167,0.0899539248,0,1,k,50.0,14,incorrect,incorrect,0,1
1770,36,292,5,0,1,-1,1,0,1,4,-54,4,-50,k,6.8,0.58,4.11,1,3,23,-100,61,0.080590638,0.16998605,0,1,d,40.0,14,incorrect,incorrect,0,1
1776,37,293,5,0,0,-1,-1,0,1,4,-32,0,-32,d,6.81,0.66,3.1,1,2,22,-100,61,0.0918022346,0.1300034868,0,1,k,50.0,14,incorrect,incorrect,0,1
1782,38,294,5,1,0,1,-1,0,1,4,52,0,52,d,5.18,0.68,4.29,10,11,31,-100,60,0.3174354367,0.390111101,1,1,d,40.0,14,correct,incorrect,1,0
1794,40,296,5,1,0,1,-1,0,0,2,44,0,44,d,5.26,0.65,4.09,10,11,31,-100,60,0.2498043494,0.3201051224,1,1,d,40.0,14,correct,incorrect,1,0
1800,41,297,5,1,0,1,-1,0,0,2,41,0,41,d,6.92,0.46,3.81,10,11,31,-100,60,0.2203830674,0.3100986478,1,1,d,40.0,14,correct,correct,1,0
1806,42,298,5,0,0,-1,-1,0,0,2,-33,0,-33,d,5.69,0.59,3.15,1,2,22,-100,61,0.3784059946,0.4201795623,0,1,k,50.0,14,incorrect,correct,0,1
1812,43,299,5,1,1,1,1,0,0,2,30,2,32,k,5.81,0.42,4.79,10,12,32,-100,60,0.1633785494,0.2200303975,1,1,k,50.0,14,correct,incorrect,1,0
1818,44,300,5,0,0,-1,-1,0,0,2,-49,0,-49,d,5.82,0.68,4.96,1,2,22,-100,60,0.3640505895,0.4501585019,1,1,d,40.0,14,correct,correct,1,0
1824,45,301,5,0,0,-1,-1,0,0,2,-33,0,-33,d,6.64,0.45,4.08,1,2,22,-100,60,0.4649330055,0.5202009734,1,1,d,40.0,14,correct,correct,1,0
1829,46,302,5,0,0,-1,-1,0,0,2,-40,0,-40,d,6.86,0.52,3.91,1,2,22,-100,62,,,-1,0,,,14,timed out,correct,0,0
1835,47,303,5,0,1,-1,1,0,0,2,-39,2,-37,k,4.23,0.52,4.37,1,3,23,-100,61,0.6231723244,0.6902811067,0,1,d,40.0,14,incorrect,timed out,0,1
1841,48,304,5,1,1,1,1,0,0,2,47,2,49,k,4.96,0.47,3.04,10,12,32,-100,61,0.4653027815,0.5301541342,0,1,d,40.0,14,incorrect,incorrect,0,1
1847,49,305,5,1,1,1,1,0,0,2,43,2,45,k,5.07,0.59,3.82,10,12,32,-100,60,0.0807357544,0.17999338,1,1,k,50.0,14,correct,incorrect,1,0
1859,51,307,5,0,0,-1,-1,0,0,2,-42,0,-42,d,5.23,0.58,4.19,1,2,22,-100,60,0.2533287679,0.3101337152,1,1,d,40.0,14,correct,incorrect,1,0
1865,52,308,5,0,1,-1,1,1,3,12,-46,12,-34,k,6.65,0.66,3.86,1,3,23,-100,60,0.1002010247,0.1899875953,1,1,k,50.0,14,correct,correct,1,0
1871,53,309,5,0,1,-1,1,0,3,12,-32,12,-20,k,5.84,0.55,3.59,1,3,23,-100,60,0.5475874897,0.6202089847,1,1,k,50.0,14,correct,correct,1,0
1877,54,310,5,1,0,1,-1,0,3,12,42,0,42,d,4.36,0.65,3.74,10,11,31,-100,60,0.3238125757,0.4100821404,1,1,d,40.0,14,correct,correct,1,0
1883,55,311,5,0,0,-1,-1,0,3,12,-41,0,-41,d,6.76,0.53,3.95,1,2,22,-100,60,0.282659958,0.3400442306,1,1,d,40.0,14,correct,correct,1,0
1889,56,312,5,0,0,-1,-1,0,3,12,-40,0,-40,d,6.97,0.66,4.54,1,2,22,-100,61,0.0528973531,0.1099591764,0,1,k,50.0,14,incorrect,correct,0,1
1895,57,313,5,0,0,-1,-1,0,3,12,-55,0,-55,d,4.23,0.42,3.08,1,2,22,-100,60,0.5440083318,0.6102387179,1,1,d,40.0,14,correct,incorrect,1,0
1901,58,314,5,1,1,1,1,0,3,12,51,12,63,k,4.18,0.64,3.71,10,12,32,-100,60,0.4380166208,0.5201864332,1,1,k,50.0,14,correct,correct,1,0
1907,59,315,5,0,1,-1,1,0,3,12,-47,12,-35,k,6.2,0.59,3.12,1,3,23,-100,60,0.2735774957,0.3401391692,1,1,k,50.0,14,correct,correct,1,0
1913,60,316,5,1,1,1,1,0,3,12,50,12,62,k,4.72,0.66,3.87,10,12,32,-100,60,0.2613070341,0.3300540067,1,1,k,50.0,14,correct,correct,1,0
1919,61,317,5,1,0,1,-1,0,3,12,55,0,55,d,6.4,0.63,4.46,10,11,31,-100,60,0.2102026811,0.2800544201,1,1,d,40.0,14,correct,correct,1,0
1931,63,319,5,1,1,1,1,0,3,12,55,12,67,k,6.68,0.53,3.63,10,12,32,-100,60,0.1671296232,0.2399940243,1,1,k,50.0,14,correct,incorrect,1,0
1937,64,320,5,0,0,-1,-1,0,3,12,-51,0,-51,d,5.26,0.55,4.48,1,2,22,-100,61,0.2966145112,0.3701620143,0,1,k,50.0,14,incorrect,correct,0,1
