,trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
220,34,34,1,1,1,1,1,0,0,2,46,2,48,k,5.4,0.62,4.81,10,12,32,-100,60,0.3853604131,0.5302059153,1,1,k,50.0,10,correct,correct,1,0
226,35,35,1,1,1,1,1,0,0,2,58,2,60,k,6.7,0.58,3.39,10,12,32,-100,60,0.3144275875,0.4201418765,1,1,k,50.0,10,correct,correct,1,0
232,36,36,1,0,1,-1,1,0,0,2,-60,2,-58,k,5.72,0.64,4.28,1,3,23,-100,60,0.3093659463,0.4401386948,1,1,k,50.0,10,correct,correct,1,0
238,37,37,1,0,0,-1,-1,0,0,2,-51,0,-51,d,4.57,0.53,3.23,1,2,22,-100,61,0.4618771806,0.6102191325,0,1,k,50.0,10,incorrect,correct,0,1
244,38,38,1,1,0,1,-1,0,0,2,57,0,57,d,4.89,0.47,3.02,10,11,31,-100,60,0.9161105818,1.0504077196,1,1,d,40.0,10,correct,incorrect,1,0
250,39,39,1,0,1,-1,1,0,0,2,-49,2,-47,k,6.46,0.66,3.13,1,3,23,-100,60,0.6070234619,0.7603007563,1,1,k,50.0,10,correct,correct,1,0
256,40,40,1,0,0,-1,-1,1,2,8,-58,0,-58,d,6.39,0.65,3.13,1,2,22,-100,60,0.278266817,0.4101374803,1,1,d,40.0,10,correct,correct,1,0
262,41,41,1,1,0,1,-1,0,2,8,58,0,58,d,6.5,0.63,4.18,10,11,31,-100,61,0.0230904236,0.1899771864,0,1,k,50.0,10,incorrect,correct,0,1
268,42,42,1,0,1,-1,1,0,2,8,-54,8,-46,k,6.75,0.67,3.25,1,3,23,-100,60,0.5324462204,0.650281763,1,1,k,50.0,10,correct,incorrect,1,0
274,43,43,1,1,1,1,1,0,2,8,51,8,59,k,6.39,0.61,3.91,10,12,32,-100,60,0.4050014283,0.5201524822,1,1,k,50.0,10,correct,correct,1,0
280,44,44,1,0,1,-1,1,0,2,8,-37,8,-29,k,4.49,0.62,3.16,1,3,23,-100,61,0.4575342731,0.6402468612,0,1,d,40.0,10,incorrect,correct,0,1
286,45,45,1,0,0,-1,-1,0,2,8,-58,0,-58,d,5.07,0.5,4.12,1,2,22,-100,61,0.3450092629,0.4501815793,0,1,k,50.0,10,incorrect,incorrect,0,1
292,46,46,1,0,0,-1,-1,0,2,8,-37,0,-37,d,5.47,0.67,4.57,1,2,22,-100,61,0.3940824357,0.4901680885,0,1,k,50.0,10,incorrect,incorrect,0,1
298,47,47,1,0,1,-1,1,0,2,8,-38,8,-30,k,6.73,0.53,4.53,1,3,23,-100,60,0.330444714,0.4601759971,1,1,k,50.0,10,correct,incorrect,1,0
304,48,48,1,1,1,1,1,0,2,8,36,8,44,k,4.46,0.49,4.23,10,12,32,-100,60,0.4283595596,0.6102316769,1,1,k,50.0,10,correct,correct,1,0
310,49,49,1,1,1,1,1,0,2,8,41,8,49,k,5.99,0.61,3.23,10,12,32,-100,60,0.4778241728,0.610223409,1,1,k,50.0,10,correct,correct,1,0
316,50,50,1,1,0,1,-1,0,2,8,44,0,44,d,4.81,0.54,3.63,10,11,31,-100,60,0.4276305623,0.5902040679,1,1,d,40.0,10,correct,correct,1,0
322,51,51,1,1,1,1,1,0,2,8,49,8,57,k,6.28,0.54,3.58,10,12,32,-100,60,0.7008836347,0.9504227728,1,1,k,50.0,10,correct,correct,1,0
328,52,52,1,0,0,-1,-1,0,2,8,-31,0,-31,d,4.11,0.61,4.99,1,2,22,-100,61,0.4122928259,0.5302184597,0,1,k,50.0,10,incorrect,correct,0,1
334,53,53,1,0,1,-1,1,1,3,12,-45,12,-33,k,6.99,0.46,3.58,1,3,23,-100,60,0.4130346526,0.5502292478,1,1,k,50.0,10,correct,incorrect,1,0
340,54,54,1,0,0,-1,-1,0,3,12,-54,0,-54,d,4.17,0.52,4.41,1,2,22,-100,60,0.3728063798,0.5101854339,1,1,d,40.0,10,correct,correct,1,0
346,55,55,1,1,0,1,-1,0,3,12,57,0,57,d,6.4,0.65,3.3,10,11,31,-100,60,0.5242459284,0.6202796932,1,1,d,40.0,10,correct,correct,1,0
352,56,56,1,0,0,-1,-1,0,3,12,-46,0,-46,d,6.36,0.65,4.43,1,2,22,-100,60,0.568783467,0.7002797958,1,1,d,40.0,10,correct,correct,1,0
358,57,57,1,0,0,-1,-1,0,3,12,-56,0,-56,d,6.2,0.41,3.98,1,2,22,-100,61,0.3118254923,0.4901911814,0,1,k,50.0,10,incorrect,correct,0,1
364,58,58,1,1,0,1,-1,0,3,12,52,0,52,d,5.4,0.57,3.93,10,11,31,-100,61,0.4373336093,0.5902417009,0,1,k,50.0,10,incorrect,incorrect,0,1
370,59,59,1,1,1,1,1,0,3,12,43,12,55,k,6.15,0.52,3.03,10,12,32,-100,60,0.642578968,0.8403975073,1,1,k,50.0,10,correct,incorrect,1,0
376,60,60,1,1,1,1,1,0,3,12,57,12,69,k,4.47,0.45,3.75,10,12,32,-100,60,0.4867483303,0.5902123358,1,1,k,50.0,10,correct,correct,1,0
382,61,61,1,0,0,-1,-1,0,3,12,-50,0,-50,d,4.31,0.57,4.6,1,2,22,-100,62,,,-1,0,,,10,timed out,correct,0,0
387,62,62,1,0,1,-1,1,0,3,12,-56,12,-44,k,5.4,0.55,4.12,1,3,23,-100,60,0.4111755244,0.5902445519,1,1,k,50.0,10,correct,timed out,1,0
393,63,63,1,0,0,-1,-1,0,3,12,-39,0,-39,d,5.39,0.54,3.21,1,2,22,-100,61,0.3229104123,0.5001616509,0,1,k,50.0,10,incorrect,correct,0,1
399,64,64,1,1,1,1,1,0,3,12,58,12,70,k,5.01,0.55,4.2,10,12,32,-100,60,0.3765996172,0.5402080308,1,1,k,50.0,10,correct,incorrect,1,0
405,1,65,2,0,1,-1,1,0,1,4,-48,4,-44,k,4.87,0.46,4.78,1,3,23,-100,60,0.5201878344,0.6803733538,1,1,k,50.0,10,correct,correct,1,0
411,2,66,2,0,0,-1,-1,0,1,4,-52,0,-52,d,6.78,0.65,4.91,1,2,22,-100,60,0.5805229735,0.7403866166,1,1,d,40.0,10,correct,correct,1,0
417,3,67,2,1,1,1,1,0,1,4,48,4,52,k,6.87,0.49,3.74,10,12,32,-100,61,0.7490433515,0.9103601423,0,1,d,40.0,10,incorrect,correct,0,1
423,4,68,2,0,0,-1,-1,0,1,4,-39,0,-39,d,6.99,0.55,4.44,1,2,22,-100,60,0.4110024695,0.5601771945,1,1,d,40.0,10,correct,incorrect,1,0
429,5,69,2,1,1,1,1,0,1,4,45,4,49,k,6.15,0.5,4.3,10,12,32,-100,60,0.4619575785,0.5801905485,1,1,k,50.0,10,correct,correct,1,0
435,6,70,2,0,1,-1,1,0,1,4,-57,4,-53,k,5.3,0.44,4.58,1,3,23,-100,61,0.9472077155,1.0605344231,0,1,d,40.0,10,incorrect,correct,0,1
441,7,71,2,1,0,1,-1,0,1,4,55,0,55,d,4.65,0.46,4.49,10,11,31,-100,61,0.1785341825,0.3301025956,0,1,k,50.0,10,incorrect,incorrect,0,1
447,8,72,2,1,1,1,1,0,1,4,44,4,48,k,5.07,0.56,3.14,10,12,32,-100,60,0.4487446822,0.6102014564,1,1,k,50.0,10,correct,incorrect,1,0
453,9,73,2,1,1,1,1,0,1,4,39,4,43,k,6.09,0.42,4.14,10,12,32,-100,61,0.4078980305,0.5602635794,0,1,d,40.0,10,incorrect,correct,0,1
459,10,74,2,1,0,1,-1,0,1,4,56,0,56,d,4.72,0.51,4.59,10,11,31,-100,61,0.6031005047,0.7203142471,0,1,k,50.0,10,incorrect,incorrect,0,1
465,11,75,2,0,1,-1,1,0,1,4,-58,4,-54,k,5.3,0.67,3.2,1,3,23,-100,61,1.1329389279,1.2205679849,0,1,d,40.0,10,incorrect,incorrect,0,1
471,12,76,2,0,0,-1,-1,0,1,4,-52,0,-52,d,6.3,0.42,3.71,1,2,22,-100,61,0.307928479,0.4101243657,0,1,k,50.0,10,incorrect,incorrect,0,1
477,13,77,2,1,1,1,1,0,1,4,36,4,40,k,6.05,0.62,3.56,10,12,32,-100,60,0.5891711555,0.7102796304,1,1,k,50.0,10,correct,incorrect,1,0
483,14,78,2,0,0,-1,-1,0,1,4,-56,0,-56,d,6.87,0.68,3.79,1,2,22,-100,61,0.6218825177,0.720307975,0,1,k,50.0,10,incorrect,correct,0,1
489,15,79,2,1,0,1,-1,1,2,8,46,0,46,d,6.27,0.43,4.77,10,11,31,-100,60,0.5142389663,0.6603055459,1,1,d,40.0,10,correct,incorrect,1,0
495,16,80,2,1,0,1,-1,0,2,8,55,0,55,d,4.49,0.67,3.08,10,11,31,-100,61,0.4946290268,0.6102082988,0,1,k,50.0,10,incorrect,correct,0,1
501,17,81,2,1,0,1,-1,0,2,8,45,0,45,d,6.7,0.45,3.8,10,11,31,-100,60,0.3193332797,0.4701721255,1,1,d,40.0,10,correct,incorrect,1,0
507,18,82,2,1,1,1,1,0,2,8,35,8,43,k,6.42,0.42,5.0,10,12,32,-100,60,0.3858724503,0.550218129,1,1,k,50.0,10,correct,correct,1,0
513,19,83,2,0,1,-1,1,0,2,8,-43,8,-35,k,4.97,0.68,4.03,1,3,23,-100,60,0.5174888056,0.6502820481,1,1,k,50.0,10,correct,correct,1,0
519,20,84,2,0,1,-1,1,0,2,8,-34,8,-26,k,5.26,0.41,5.0,1,3,23,-100,60,0.3903772938,0.480154284,1,1,k,50.0,10,correct,correct,1,0
525,21,85,2,0,1,-1,1,0,2,8,-47,8,-39,k,5.85,0.54,3.07,1,3,23,-100,60,0.6200231044,0.6602282842,1,1,k,50.0,10,correct,correct,1,0
531,22,86,2,0,0,-1,-1,0,2,8,-51,0,-51,d,6.19,0.6,3.76,1,2,22,-100,61,0.4592633964,0.560224806,0,1,k,50.0,10,incorrect,correct,0,1
537,23,87,2,0,1,-1,1,0,2,8,-51,8,-43,k,5.54,0.67,3.64,1,3,23,-100,60,0.4905025092,0.5902086295,1,1,k,50.0,10,correct,incorrect,1,0
543,24,88,2,1,0,1,-1,0,2,8,44,0,44,d,5.45,0.56,4.75,10,11,31,-100,60,0.3974691224,0.4802010402,1,1,d,40.0,10,correct,correct,1,0
549,25,89,2,0,1,-1,1,0,2,8,-49,8,-41,k,5.06,0.51,4.29,1,3,23,-100,60,0.4131817635,0.5302153236,1,1,k,50.0,10,correct,correct,1,0
555,26,90,2,0,1,-1,1,0,2,8,-31,8,-23,k,4.73,0.44,4.14,1,3,23,-100,60,0.4707009834,0.60021103,1,1,k,50.0,10,correct,correct,1,0
561,27,91,2,0,0,-1,-1,1,0,2,-48,0,-48,d,5.79,0.55,3.05,1,2,22,-100,60,0.4485473939,0.5802062289,1,1,d,40.0,10,correct,correct,1,0
567,28,92,2,1,1,1,1,0,0,2,40,2,42,k,6.43,0.42,3.27,10,12,32,-100,61,0.6860148856,0.8003231878,0,1,d,40.0,10,incorrect,correct,0,1
573,29,93,2,1,0,1,-1,0,0,2,60,0,60,d,4.88,0.43,4.66,10,11,31,-100,61,0.3411467465,0.4901452806,0,1,k,50.0,10,incorrect,incorrect,0,1
579,30,94,2,0,0,-1,-1,0,0,2,-47,0,-47,d,5.31,0.41,4.82,1,2,22,-100,61,0.4883445976,0.6102216984,0,1,k,50.0,10,incorrect,incorrect,0,1
585,31,95,2,0,0,-1,-1,0,0,2,-44,0,-44,d,6.68,0.46,4.19,1,2,22,-100,61,0.6207874538,0.7102981619,0,1,k,50.0,10,incorrect,incorrect,0,1
591,32,96,2,0,0,-1,-1,0,0,2,-46,0,-46,d,6.57,0.69,3.17,1,2,22,-100,60,1.0581638279,1.1605453139,1,1,d,40.0,10,correct,incorrect,1,0
597,33,97,2,1,1,1,1,0,0,2,47,2,49,k,5.32,0.54,3.98,10,12,32,-100,60,0.3871753511,0.520166452,1,1,k,50.0,10,correct,correct,1,0
603,34,98,2,1,1,1,1,0,0,2,45,2,47,k,5.14,0.5,4.55,10,12,32,-100,60,0.4865319405,0.6402639671,1,1,k,50.0,10,correct,correct,1,0
609,35,99,2,1,0,1,-1,0,0,2,49,0,49,d,5.59,0.69,4.25,10,11,31,-100,60,0.605647861,0.7403692255,1,1,d,40.0,10,correct,correct,1,0
615,36,100,2,1,1,1,1,0,0,2,35,2,37,k,5.53,0.64,4.81,10,12,32,-100,60,0.5522554438,0.6703093719,1,1,k,50.0,10,correct,correct,1,0
621,37,101,2,1,1,1,1,0,0,2,50,2,52,k,5.85,0.67,4.92,10,12,32,-100,61,0.4249047343,0.6102293961,0,1,d,40.0,10,incorrect,correct,0,1
627,38,102,2,1,0,1,-1,0,0,2,37,0,37,d,6.97,0.58,3.88,10,11,31,-100,61,0.4675386694,0.6202258095,0,1,k,50.0,10,incorrect,incorrect,0,1
633,39,103,2,1,0,1,-1,0,0,2,52,0,52,d,4.92,0.61,4.97,10,11,31,-100,60,0.5304972861,0.6802424935,1,1,d,40.0,10,correct,incorrect,1,0
639,40,104,2,1,0,1,-1,1,3,12,45,0,45,d,6.5,0.65,3.69,10,11,31,-100,60,0.6674389989,0.7703134203,1,1,d,40.0,10,correct,correct,1,0
645,41,105,2,0,0,-1,-1,0,3,12,-37,0,-37,d,4.92,0.44,3.74,1,2,22,-100,61,0.3911362264,0.5402388214,0,1,k,50.0,10,incorrect,correct,0,1
651,42,106,2,0,1,-1,1,0,3,12,-53,12,-41,k,6.99,0.66,4.2,1,3,23,-100,60,0.6656149378,0.8803996969,1,1,k,50.0,10,correct,incorrect,1,0
657,43,107,2,1,1,1,1,0,3,12,37,12,49,k,5.83,0.46,4.98,10,12,32,-100,60,0.6040555851,0.6902873737,1,1,k,50.0,10,correct,correct,1,0
663,44,108,2,0,0,-1,-1,0,3,12,-49,0,-49,d,5.9,0.58,3.7,1,2,22,-100,61,0.4412505795,0.5401381816,0,1,k,50.0,10,incorrect,correct,0,1
669,45,109,2,0,1,-1,1,0,3,12,-46,12,-34,k,4.78,0.46,3.9,1,3,23,-100,60,0.4254410048,0.5302295785,1,1,k,50.0,10,correct,incorrect,1,0
675,46,110,2,0,0,-1,-1,0,3,12,-47,0,-47,d,4.64,0.66,4.62,1,2,22,-100,61,0.5706471568,0.6402217725,0,1,k,50.0,10,incorrect,correct,0,1
681,47,111,2,1,0,1,-1,0,3,12,50,0,50,d,4.03,0.69,3.48,10,11,31,-100,60,0.4831894441,0.5803350935,1,1,d,40.0,10,correct,incorrect,1,0
687,48,112,2,1,0,1,-1,0,3,12,53,0,53,d,6.42,0.66,3.04,10,11,31,-100,60,0.4102874421,0.5402416724,1,1,d,40.0,10,correct,correct,1,0
693,49,113,2,1,0,1,-1,0,3,12,39,0,39,d,6.61,0.49,3.67,10,11,31,-100,61,0.485299174,0.5702220747,0,1,k,50.0,10,incorrect,correct,0,1
699,50,114,2,1,1,1,1,0,3,12,39,12,51,k,6.63,0.44,4.89,10,12,32,-100,60,1.093574504,1.2605764466,1,1,k,50.0,10,correct,incorrect,1,0
705,51,115,2,1,0,1,-1,0,3,12,43,0,43,d,4.4,0.66,4.96,10,11,31,-100,60,0.6126957844,0.7302818656,1,1,d,40.0,10,correct,correct,1,0
711,52,116,2,0,1,-1,1,0,3,12,-44,12,-32,k,4.41,0.47,3.49,1,3,23,-100,60,0.5889100052,0.6902528768,1,1,k,50.0,10,correct,correct,1,0
717,53,117,2,0,0,-1,-1,1,0,2,-40,0,-40,d,4.48,0.61,4.84,1,2,22,-100,60,0.3782677293,0.4601668739,1,1,d,40.0,10,correct,correct,1,0
723,54,118,2,1,0,1,-1,0,0,2,55,0,55,d,4.65,0.44,4.09,10,11,31,-100,60,0.3482243202,0.4501465122,1,1,d,40.0,10,correct,correct,1,0
729,55,119,2,0,1,-1,1,0,0,2,-59,2,-57,k,4.05,0.65,4.68,1,3,23,-100,60,0.4478936628,0.5301853882,1,1,k,50.0,10,correct,correct,1,0
735,56,120,2,0,1,-1,1,0,0,2,-48,2,-46,k,5.41,0.56,4.73,1,3,23,-100,60,0.4908868221,0.5902305821,1,1,k,50.0,10,correct,correct,1,0
741,57,121,2,1,1,1,1,0,0,2,49,2,51,k,6.9,0.65,3.52,10,12,32,-100,61,0.2157928679,0.330080643,0,1,d,40.0,10,incorrect,correct,0,1
747,58,122,2,1,1,1,1,0,0,2,59,2,61,k,5.93,0.59,4.79,10,12,32,-100,61,0.4404562947,0.5702149473,0,1,d,40.0,10,incorrect,incorrect,0,1
753,59,123,2,1,1,1,1,0,0,2,35,2,37,k,5.89,0.66,3.48,10,12,32,-100,61,0.2920222559,0.3801011986,0,1,d,40.0,10,incorrect,incorrect,0,1
759,60,124,2,0,0,-1,-1,0,0,2,-56,0,-56,d,5.75,0.66,3.14,1,2,22,-100,61,0.5635761404,0.6802781308,0,1,k,50.0,10,incorrect,incorrect,0,1
765,61,125,2,0,1,-1,1,0,0,2,-41,2,-39,k,4.71,0.61,3.97,1,3,23,-100,60,0.3634035417,0.430155681,1,1,k,50.0,10,correct,incorrect,1,0
771,62,126,2,0,0,-1,-1,0,0,2,-56,0,-56,d,4.32,0.6,3.34,1,2,22,-100,60,0.2915680938,0.3800581487,1,1,d,40.0,10,correct,correct,1,0
777,63,127,2,0,0,-1,-1,0,0,2,-46,0,-46,d,4.9,0.5,3.33,1,2,22,-100,61,0.7118704808,0.8303249725,0,1,k,50.0,10,incorrect,correct,0,1
783,64,128,2,0,1,-1,1,0,0,2,-53,2,-51,k,6.99,0.44,4.7,1,3,23,-100,61,0.4160815017,0.5201730093,0,1,d,40.0,10,incorrect,incorrect,0,1
789,1,129,3,0,1,-1,1,0,0,2,-60,2,-58,k,4.71,0.62,4.51,1,3,23,-100,60,0.5391143924,0.6701665375,1,1,k,50.0,10,correct,incorrect,1,0
795,2,130,3,1,1,1,1,0,0,2,31,2,33,k,5.96,0.51,4.21,10,12,32,-100,61,0.2960047988,0.410154016,0,1,d,40.0,10,incorrect,correct,0,1
801,3,131,3,0,0,-1,-1,0,0,2,-35,0,-35,d,4.38,0.5,4.05,1,2,22,-100,61,0.3579504601,0.4701923675,0,1,k,50.0,10,incorrect,incorrect,0,1
807,4,132,3,0,1,-1,1,0,0,2,-34,2,-32,k,6.39,0.52,4.56,1,3,23,-100,60,0.6128474568,0.7103089956,1,1,k,50.0,10,correct,incorrect,1,0
813,5,133,3,0,1,-1,1,0,0,2,-39,2,-37,k,6.64,0.56,3.03,1,3,23,-100,61,0.3439161947,0.4401472477,0,1,d,40.0,10,incorrect,correct,0,1
819,6,134,3,0,1,-1,1,0,0,2,-43,2,-41,k,5.51,0.57,4.8,1,3,23,-100,60,0.4668920656,0.550166241,1,1,k,50.0,10,correct,incorrect,1,0
825,7,135,3,0,0,-1,-1,0,0,2,-50,0,-50,d,5.55,0.42,3.07,1,2,22,-100,60,0.6206277986,0.720302273,1,1,d,40.0,10,correct,correct,1,0
831,8,136,3,1,1,1,1,0,0,2,52,2,54,k,6.4,0.7,4.65,10,12,32,-100,60,0.5209844,0.6102593314,1,1,k,50.0,10,correct,correct,1,0
837,9,137,3,0,1,-1,1,0,0,2,-43,2,-41,k,5.69,0.62,3.15,1,3,23,-100,60,0.4126546161,0.5100092429,1,1,k,50.0,10,correct,correct,1,0
843,10,138,3,0,0,-1,-1,0,0,2,-60,0,-60,d,5.53,0.61,4.36,1,2,22,-100,61,0.3561395136,0.490169799,0,1,k,50.0,10,incorrect,correct,0,1
849,11,139,3,1,1,1,1,0,0,2,52,2,54,k,4.29,0.45,4.23,10,12,32,-100,60,0.6340254388,0.7702968846,1,1,k,50.0,10,correct,incorrect,1,0
855,12,140,3,1,1,1,1,0,0,2,51,2,53,k,4.6,0.61,3.81,10,12,32,-100,60,0.3938971216,0.5101612005,1,1,k,50.0,10,correct,correct,1,0
861,13,141,3,0,0,-1,-1,1,1,4,-40,0,-40,d,6.05,0.41,4.53,1,2,22,-100,61,0.3805815898,0.4801762366,0,1,k,50.0,10,incorrect,correct,0,1
867,14,142,3,1,0,1,-1,0,1,4,46,0,46,d,4.82,0.63,4.35,10,11,31,-100,60,0.3603219106,0.4901640971,1,1,d,40.0,10,correct,incorrect,1,0
873,15,143,3,1,0,1,-1,0,1,4,44,0,44,d,4.92,0.63,4.24,10,11,31,-100,60,0.2877777075,0.4001336542,1,1,d,40.0,10,correct,correct,1,0
879,16,144,3,1,0,1,-1,0,1,4,57,0,57,d,4.57,0.68,4.86,10,11,31,-100,60,0.3629949954,0.4801873554,1,1,d,40.0,10,correct,correct,1,0
885,17,145,3,1,0,1,-1,0,1,4,58,0,58,d,5.23,0.56,3.54,10,11,31,-100,60,0.4350975807,0.5402168688,1,1,d,40.0,10,correct,correct,1,0
891,18,146,3,1,1,1,1,0,1,4,40,4,44,k,5.17,0.69,3.86,10,12,32,-100,60,0.4405304203,0.5902231695,1,1,k,50.0,10,correct,correct,1,0
897,19,147,3,0,0,-1,-1,0,1,4,-49,0,-49,d,5.18,0.5,3.67,1,2,22,-100,60,0.8303135686,0.930372641,1,1,d,40.0,10,correct,correct,1,0
