,trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
22,1,1,1,1,1,1,1,0,1,4,33,4,37,k,6.92,0.51,4.34,10,12,32,-100,61,0.9262495446,1.0404914188,0,1,d,40.0,10,incorrect,,0,1
28,2,2,1,1,1,1,1,0,1,4,55,4,59,k,4.21,0.41,4.42,10,12,32,-100,60,0.3598854246,0.5202015191,1,1,k,50.0,10,correct,incorrect,1,0
34,3,3,1,0,0,-1,-1,0,1,4,-30,0,-30,d,6.6,0.56,3.07,1,2,22,-100,60,0.4133351466,0.5101594899,1,1,d,40.0,10,correct,correct,1,0
40,4,4,1,1,1,1,1,0,1,4,38,4,42,k,5.67,0.68,3.71,10,12,32,-100,60,0.3005612452,0.4501795836,1,1,k,50.0,10,correct,correct,1,0
46,5,5,1,1,0,1,-1,0,1,4,34,0,34,d,6.02,0.62,4.95,10,11,31,-100,60,0.3532018572,0.4901769265,1,1,d,40.0,10,correct,correct,1,0
52,6,6,1,1,0,1,-1,0,1,4,31,0,31,d,4.57,0.56,4.93,10,11,31,-100,60,0.3343836367,0.4501467973,1,1,d,40.0,10,correct,correct,1,0
58,7,7,1,1,0,1,-1,0,1,4,57,0,57,d,5.9,0.67,4.76,10,11,31,-100,60,0.3392973117,0.4400927939,1,1,d,40.0,10,correct,correct,1,0
64,8,8,1,1,0,1,-1,0,1,4,42,0,42,d,5.18,0.53,4.43,10,11,31,-100,60,0.4246997484,0.5702329085,1,1,d,40.0,10,correct,correct,1,0
70,9,9,1,1,1,1,1,0,1,4,43,4,47,k,4.51,0.48,3.2,10,12,32,-100,60,0.4050789752,0.4901672332,1,1,k,50.0,10,correct,correct,1,0
76,10,10,1,1,0,1,-1,0,1,4,51,0,51,d,4.13,0.63,4.93,10,11,31,-100,60,0.42680007,0.5801999568,1,1,d,40.0,10,correct,correct,1,0
82,11,11,1,0,1,-1,1,0,1,4,-31,4,-27,k,4.47,0.6,3.1,1,3,23,-100,60,0.1992103908,0.3501513018,1,1,k,50.0,10,correct,correct,1,0
88,12,12,1,0,0,-1,-1,0,1,4,-53,0,-53,d,6.39,0.62,3.56,1,2,22,-100,60,0.6000436771,0.7604224934,1,1,d,40.0,10,correct,correct,1,0
94,13,13,1,1,0,1,-1,1,3,12,37,0,37,d,4.41,0.7,4.45,10,11,31,-100,60,0.5235240586,0.6702760154,1,1,d,40.0,10,correct,correct,1,0
100,14,14,1,0,1,-1,1,0,3,12,-30,12,-18,k,5.58,0.4,4.83,1,3,23,-100,60,0.5666312574,0.7603218536,1,1,k,50.0,10,correct,correct,1,0
106,15,15,1,0,0,-1,-1,0,3,12,-44,0,-44,d,4.69,0.63,4.38,1,2,22,-100,60,0.4040819852,0.5702066794,1,1,d,40.0,10,correct,correct,1,0
112,16,16,1,0,0,-1,-1,0,3,12,-50,0,-50,d,6.32,0.58,3.51,1,2,22,-100,60,0.515226833,0.6602419689,1,1,d,40.0,10,correct,correct,1,0
118,17,17,1,0,1,-1,1,0,3,12,-57,12,-45,k,6.38,0.5,4.83,1,3,23,-100,60,0.3675334806,0.500286239,1,1,k,50.0,10,correct,correct,1,0
124,18,18,1,0,1,-1,1,0,3,12,-41,12,-29,k,4.81,0.58,3.2,1,3,23,-100,60,0.2678878011,0.3801205853,1,1,k,50.0,10,correct,correct,1,0
130,19,19,1,0,0,-1,-1,0,3,12,-55,0,-55,d,6.42,0.51,3.39,1,2,22,-100,61,0.4370051757,0.5401952013,0,1,k,50.0,10,incorrect,correct,0,1
136,20,20,1,0,1,-1,1,0,3,12,-47,12,-35,k,4.64,0.59,4.82,1,3,23,-100,60,0.3625796067,0.5301970773,1,1,k,50.0,10,correct,incorrect,1,0
142,21,21,1,1,1,1,1,0,3,12,48,12,60,k,5.05,0.4,3.25,10,12,32,-100,60,0.3325744008,0.4501764475,1,1,k,50.0,10,correct,correct,1,0
148,22,22,1,1,0,1,-1,0,3,12,46,0,46,d,6.61,0.44,3.92,10,11,31,-100,60,0.4255613164,0.5702015476,1,1,d,40.0,10,correct,correct,1,0
154,23,23,1,1,0,1,-1,0,3,12,50,0,50,d,5.38,0.46,4.53,10,11,31,-100,60,0.4226324982,0.5601980067,1,1,d,40.0,10,correct,correct,1,0
160,24,24,1,0,1,-1,1,0,3,12,-47,12,-35,k,5.02,0.44,4.73,1,3,23,-100,60,0.4919436828,0.6602368371,1,1,k,50.0,10,correct,correct,1,0
166,25,25,1,1,0,1,-1,0,3,12,47,0,47,d,6.56,0.66,4.51,10,11,31,-100,61,0.7245126096,0.8403518915,0,1,k,50.0,10,incorrect,correct,0,1
172,26,26,1,0,1,-1,1,0,3,12,-58,12,-46,k,5.37,0.5,3.92,1,3,23,-100,60,0.311538683,0.4301437068,1,1,k,50.0,10,correct,incorrect,1,0
178,27,27,1,1,1,1,1,0,3,12,54,12,66,k,4.39,0.63,3.79,10,12,32,-100,61,0.3558484279,0.4901549739,0,1,d,40.0,10,incorrect,correct,0,1
184,28,28,1,0,0,-1,-1,1,0,2,-46,0,-46,d,5.57,0.55,3.15,1,2,22,-100,61,0.3076564949,0.4401426862,0,1,k,50.0,10,incorrect,incorrect,0,1
190,29,29,1,1,0,1,-1,0,0,2,35,0,35,d,4.54,0.67,3.57,10,11,31,-100,60,0.2977689891,0.430141426,1,1,d,40.0,10,correct,incorrect,1,0
196,30,30,1,1,0,1,-1,0,0,2,34,0,34,d,6.77,0.45,3.92,10,11,31,-100,60,0.4105026916,0.5802241902,1,1,d,40.0,10,correct,correct,1,0
202,31,31,1,0,1,-1,1,0,0,2,-46,2,-44,k,5.65,0.65,4.34,1,3,23,-100,60,0.4417386683,0.5701964159,1,1,k,50.0,10,correct,correct,1,0
208,32,32,1,1,1,1,1,0,0,2,32,2,34,k,5.85,0.67,4.74,10,12,32,-100,61,0.4282438095,0.6702763005,0,1,d,40.0,10,incorrect,correct,0,1
214,33,33,1,0,1,-1,1,0,0,2,-35,2,-33,k,6.88,0.48,4.92,1,3,23,-100,60,0.3502060408,0.53019052,1,1,k,50.0,10,correct,incorrect,1,0
