"trialnumber","trlid","blocknumber","arraytiltcond","probetiltcond","stim1cond","stim2cond","trialDifficultyChange","trialdifficulty","difficultyOri","stim1ori","addToStim1","stim2ori","correctResp","delay1","delay2","ITI","stim1trig","stim2trig","respcuetrig","buttonpresstrig","fbtrig","rt","resptime","PerceptDecCorrect","trlResponded","buttonResponded","buttontrig","subid","fbgiven","prevtrlfb","rewarded","unrewarded"
1,1,1,1,0,1,-1,0,0,2,45,0,45,"d",5.37,0.68,4.1,10,11,31,-100,60,0.266944715369391,0.45017147350336,1,1,"d",40,6,"correct",NA,1,0
2,2,1,1,0,1,-1,0,0,2,54,0,54,"d",5.07,0.51,3.96,10,11,31,-100,60,0.238608038285747,0.390123673607377,1,1,"d",40,6,"correct","correct",1,0
3,3,1,1,0,1,-1,0,0,2,40,0,40,"d",6.64,0.48,4.82,10,11,31,-100,60,0.263163146582883,0.380108389386805,1,1,"d",40,6,"correct","correct",1,0
4,4,1,0,0,-1,-1,0,0,2,-60,0,-60,"d",6.33,0.55,3.09,1,2,22,-100,60,0.690497240372679,0.820314756300832,1,1,"d",40,6,"correct","correct",1,0
5,5,1,1,1,1,1,0,0,2,52,2,54,"k",5.47,0.62,3.31,10,12,32,-100,60,0.0161668908031061,0.130005111846003,1,1,"k",50,6,"correct","correct",1,0
6,6,1,0,0,-1,-1,0,0,2,-33,0,-33,"d",4.35,0.64,4.37,1,2,22,-100,61,0.508183087914404,0.590270272119596,0,1,"k",50,6,"incorrect","correct",0,1
7,7,1,0,1,-1,1,0,0,2,-60,2,-58,"k",5.73,0.48,4.93,1,3,23,-100,61,0.456956002484731,0.610234697319356,0,1,"d",40,6,"incorrect","incorrect",0,1
8,8,1,1,1,1,1,0,0,2,36,2,38,"k",4.83,0.53,4.25,10,12,32,-100,60,0.406575094389154,0.480167148532928,1,1,"k",50,6,"correct","incorrect",1,0
9,9,1,1,1,1,1,0,0,2,49,2,51,"k",4.27,0.48,4.6,10,12,32,-100,60,0.254304798891098,0.370080560757742,1,1,"k",50,6,"correct","correct",1,0
10,10,1,1,1,1,1,0,0,2,58,2,60,"k",6.17,0.67,3.19,10,12,32,-100,60,0.163571096430132,0.310056139076551,1,1,"k",50,6,"correct","correct",1,0
11,11,1,0,0,-1,-1,0,0,2,-33,0,-33,"d",4.49,0.68,4.04,1,2,22,-100,61,0.365898996418764,0.470161557718711,0,1,"k",50,6,"incorrect","correct",0,1
