"trialnumber","trlid","blocknumber","arraytiltcond","probetiltcond","stim1cond","stim2cond","trialDifficultyChange","trialdifficulty","difficultyOri","stim1ori","addToStim1","stim2ori","correctResp","delay1","delay2","ITI","stim1trig","stim2trig","respcuetrig","buttonpresstrig","fbtrig","rt","resptime","PerceptDecCorrect","trlResponded","buttonResponded","buttontrig","subid","fbgiven","prevtrlfb","rewarded","unrewarded"
32,96,2,1,0,1,-1,0,0,2,33,0,33,"d",6.83,0.6,3.38,10,11,31,-100,60,0.300934231992869,0.40013234169237,1,1,"d",40,3,"correct","incorrect",1,0
33,97,2,1,0,1,-1,0,0,2,58,0,58,"d",6.08,0.5,3.92,10,11,31,-100,60,0.338389040669426,0.470198743463698,1,1,"d",40,3,"correct","correct",1,0
34,98,2,1,0,1,-1,0,0,2,35,0,35,"d",6.59,0.61,3.06,10,11,31,-100,60,0.545630942298885,0.920427062817907,1,1,"d",40,3,"correct","correct",1,0
35,99,2,0,0,-1,-1,0,0,2,-49,0,-49,"d",4.98,0.43,3.05,1,2,22,-100,61,0.455561330338242,0.590225417075999,0,1,"k",50,3,"incorrect","correct",0,1
36,100,2,1,1,1,1,0,0,2,32,2,34,"k",6.26,0.5,3.58,10,12,32,-100,61,0.318758166224143,0.420115595137759,0,1,"d",40,3,"incorrect","incorrect",0,1
37,101,2,0,0,-1,-1,0,0,2,-51,0,-51,"d",5.83,0.47,4.7,1,2,22,-100,61,0.411799621790124,0.53019554468483,0,1,"k",50,3,"incorrect","incorrect",0,1
38,102,2,0,0,-1,-1,0,0,2,-55,0,-55,"d",4.34,0.42,3.2,1,2,22,-100,60,0.364303437090712,0.480168845420849,1,1,"d",40,3,"correct","incorrect",1,0
39,103,2,0,0,-1,-1,0,0,2,-30,0,-30,"d",5.94,0.7,3.83,1,2,22,-100,61,0.249411347460409,0.320094412483741,0,1,"k",50,3,"incorrect","correct",0,1
40,104,2,0,1,-1,1,1,2,8,-56,8,-48,"k",6.76,0.63,4.23,1,3,23,-100,60,0.270049181959621,0.370147055509733,1,1,"k",50,3,"correct","incorrect",1,0
41,105,2,0,0,-1,-1,0,2,8,-50,0,-50,"d",6.24,0.57,4.61,1,2,22,-100,60,0.226684897621453,0.330131226965023,1,1,"d",40,3,"correct","correct",1,0
42,106,2,1,1,1,1,0,2,8,35,8,43,"k",5.67,0.48,3.22,10,12,32,-100,61,0.35059914408339,0.440150451006048,0,1,"d",40,3,"incorrect","correct",0,1
43,107,2,1,1,1,1,0,2,8,47,8,55,"k",4.81,0.48,4.36,10,12,32,-100,61,0.424391184023989,0.510171807567531,0,1,"d",40,3,"incorrect","incorrect",0,1
44,108,2,1,1,1,1,0,2,8,49,8,57,"k",4.2,0.54,4.11,10,12,32,-100,60,0.392440159004764,0.510152991213545,1,1,"k",50,3,"correct","incorrect",1,0
