"trialnumber","trlid","blocknumber","arraytiltcond","probetiltcond","stim1cond","stim2cond","trialDifficultyChange","trialdifficulty","difficultyOri","stim1ori","addToStim1","stim2ori","correctResp","delay1","delay2","ITI","stim1trig","stim2trig","respcuetrig","buttonpresstrig","fbtrig","rt","resptime","PerceptDecCorrect","trlResponded","buttonResponded","buttontrig","subid","fbgiven","prevtrlfb","rewarded","unrewarded"
1,1,1,1,1,1,1,0,1,4,33,4,37,"k",6.92,0.51,4.34,10,12,32,-100,61,0.926249544554594,1.0404914188166,0,1,"d",40,10,"incorrect",NA,0,1
2,2,1,1,1,1,1,0,1,4,55,4,59,"k",4.21,0.41,4.42,10,12,32,-100,60,0.359885424560161,0.520201519119837,1,1,"k",50,10,"correct","incorrect",1,0
3,3,1,0,0,-1,-1,0,1,4,-30,0,-30,"d",6.6,0.56,3.07,1,2,22,-100,60,0.413335146560712,0.510159489878788,1,1,"d",40,10,"correct","correct",1,0
4,4,1,1,1,1,1,0,1,4,38,4,42,"k",5.67,0.68,3.71,10,12,32,-100,60,0.300561245174322,0.450179583630415,1,1,"k",50,10,"correct","correct",1,0
5,5,1,1,0,1,-1,0,1,4,34,0,34,"d",6.02,0.62,4.95,10,11,31,-100,60,0.353201857246859,0.490176926510685,1,1,"d",40,10,"correct","correct",1,0
6,6,1,1,0,1,-1,0,1,4,31,0,31,"d",4.57,0.56,4.93,10,11,31,-100,60,0.334383636706661,0.450146797287744,1,1,"d",40,10,"correct","correct",1,0
7,7,1,1,0,1,-1,0,1,4,57,0,57,"d",5.9,0.67,4.76,10,11,31,-100,60,0.339297311691553,0.440092793904114,1,1,"d",40,10,"correct","correct",1,0
8,8,1,1,0,1,-1,0,1,4,42,0,42,"d",5.18,0.53,4.43,10,11,31,-100,60,0.424699748371495,0.570232908479738,1,1,"d",40,10,"correct","correct",1,0
9,9,1,1,1,1,1,0,1,4,43,4,47,"k",4.51,0.48,3.2,10,12,32,-100,60,0.405078975172728,0.490167233157081,1,1,"k",50,10,"correct","correct",1,0
10,10,1,1,0,1,-1,0,1,4,51,0,51,"d",4.13,0.63,4.93,10,11,31,-100,60,0.426800070020363,0.580199956779325,1,1,"d",40,10,"correct","correct",1,0
11,11,1,0,1,-1,1,0,1,4,-31,4,-27,"k",4.47,0.6,3.1,1,3,23,-100,60,0.199210390818735,0.350151301846381,1,1,"k",50,10,"correct","correct",1,0
12,12,1,0,0,-1,-1,0,1,4,-53,0,-53,"d",6.39,0.62,3.56,1,2,22,-100,60,0.600043677110989,0.760422493370243,1,1,"d",40,10,"correct","correct",1,0
13,13,1,1,0,1,-1,1,3,12,37,0,37,"d",4.41,0.7,4.45,10,11,31,-100,60,0.523524058618932,0.670276015393029,1,1,"d",40,10,"correct","correct",1,0
14,14,1,0,1,-1,1,0,3,12,-30,12,-18,"k",5.58,0.4,4.83,1,3,23,-100,60,0.566631257416702,0.760321853551432,1,1,"k",50,10,"correct","correct",1,0
15,15,1,0,0,-1,-1,0,3,12,-44,0,-44,"d",4.69,0.63,4.38,1,2,22,-100,60,0.404081985244375,0.570206679404691,1,1,"d",40,10,"correct","correct",1,0
16,16,1,0,0,-1,-1,0,3,12,-50,0,-50,"d",6.32,0.58,3.51,1,2,22,-100,60,0.515226833027555,0.660241968913397,1,1,"d",40,10,"correct","correct",1,0
17,17,1,0,1,-1,1,0,3,12,-57,12,-45,"k",6.38,0.5,4.83,1,3,23,-100,60,0.36753348055845,0.500286239030174,1,1,"k",50,10,"correct","correct",1,0
18,18,1,0,1,-1,1,0,3,12,-41,12,-29,"k",4.81,0.58,3.2,1,3,23,-100,60,0.267887801142024,0.380120585318764,1,1,"k",50,10,"correct","correct",1,0
19,19,1,0,0,-1,-1,0,3,12,-55,0,-55,"d",6.42,0.51,3.39,1,2,22,-100,61,0.437005175679587,0.540195201334427,0,1,"k",50,10,"incorrect","correct",0,1
20,20,1,0,1,-1,1,0,3,12,-47,12,-35,"k",4.64,0.59,4.82,1,3,23,-100,60,0.362579606666259,0.530197077283447,1,1,"k",50,10,"correct","incorrect",1,0
21,21,1,1,1,1,1,0,3,12,48,12,60,"k",5.05,0.4,3.25,10,12,32,-100,60,0.332574400765225,0.450176447546255,1,1,"k",50,10,"correct","correct",1,0
22,22,1,1,0,1,-1,0,3,12,46,0,46,"d",6.61,0.44,3.92,10,11,31,-100,60,0.425561316447784,0.57020154762904,1,1,"d",40,10,"correct","correct",1,0
23,23,1,1,0,1,-1,0,3,12,50,0,50,"d",5.38,0.46,4.53,10,11,31,-100,60,0.422632498164603,0.560198006704013,1,1,"d",40,10,"correct","correct",1,0
24,24,1,0,1,-1,1,0,3,12,-47,12,-35,"k",5.02,0.44,4.73,1,3,23,-100,60,0.491943682756755,0.660236837138655,1,1,"k",50,10,"correct","correct",1,0
25,25,1,1,0,1,-1,0,3,12,47,0,47,"d",6.56,0.66,4.51,10,11,31,-100,61,0.724512609627709,0.840351891543833,0,1,"k",50,10,"incorrect","correct",0,1
26,26,1,0,1,-1,1,0,3,12,-58,12,-46,"k",5.37,0.5,3.92,1,3,23,-100,60,0.311538683037725,0.430143706818853,1,1,"k",50,10,"correct","incorrect",1,0
27,27,1,1,1,1,1,0,3,12,54,12,66,"k",4.39,0.63,3.79,10,12,32,-100,61,0.355848427881938,0.490154973915196,0,1,"d",40,10,"incorrect","correct",0,1
28,28,1,0,0,-1,-1,1,0,2,-46,0,-46,"d",5.57,0.55,3.15,1,2,22,-100,61,0.307656494916955,0.440142686165927,0,1,"k",50,10,"incorrect","incorrect",0,1
29,29,1,1,0,1,-1,0,0,2,35,0,35,"d",4.54,0.67,3.57,10,11,31,-100,60,0.297768989137694,0.430141426029877,1,1,"d",40,10,"correct","incorrect",1,0
30,30,1,1,0,1,-1,0,0,2,34,0,34,"d",6.77,0.45,3.92,10,11,31,-100,60,0.410502691614965,0.58022419016379,1,1,"d",40,10,"correct","correct",1,0
31,31,1,0,1,-1,1,0,0,2,-46,2,-44,"k",5.65,0.65,4.34,1,3,23,-100,60,0.441738668327162,0.570196415854298,1,1,"k",50,10,"correct","correct",1,0
32,32,1,1,1,1,1,0,0,2,32,2,34,"k",5.85,0.67,4.74,10,12,32,-100,61,0.428243809510604,0.670276300490514,0,1,"d",40,10,"incorrect","correct",0,1
33,33,1,0,1,-1,1,0,0,2,-35,2,-33,"k",6.88,0.48,4.92,1,3,23,-100,60,0.350206040782723,0.530190520014003,1,1,"k",50,10,"correct","incorrect",1,0
34,34,1,1,1,1,1,0,0,2,46,2,48,"k",5.4,0.62,4.81,10,12,32,-100,60,0.385360413141825,0.530205915341867,1,1,"k",50,10,"correct","correct",1,0
