trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
1,1,1,0,0,-1,-1,0,3,12,-33,0,-33,d,6.69,0.5,4.39,1,2,22,-100,61,0.3868192629,0.4701404795,0,1,k,50,11,incorrect,,0,1
2,2,1,1,1,1,1,0,3,12,50,12,62,k,5.45,0.6,3.25,10,12,32,-100,60,0.2967166901,0.4000897491,1,1,k,50,11,correct,incorrect,1,0
3,3,1,0,0,-1,-1,0,3,12,-31,0,-31,d,6.54,0.66,4.62,1,2,22,-100,61,0.2772752439,0.3600961125,0,1,k,50,11,incorrect,correct,0,1
4,4,1,1,0,1,-1,0,3,12,38,0,38,d,4.84,0.66,3.03,10,11,31,-100,60,0.2653775077,0.3700474803,1,1,d,40,11,correct,incorrect,1,0
5,5,1,1,0,1,-1,0,3,12,47,0,47,d,4.7,0.54,4.3,10,11,31,-100,60,0.2790032267,0.3801550823,1,1,d,40,11,correct,correct,1,0
6,6,1,1,1,1,1,0,3,12,53,12,65,k,4.09,0.58,4.42,10,12,32,-100,60,0.3009957355,0.3901067352,1,1,k,50,11,correct,correct,1,0
7,7,1,0,0,-1,-1,0,3,12,-46,0,-46,d,6.64,0.43,3.1,1,2,22,-100,61,0.3004281041,0.4000974467,0,1,k,50,11,incorrect,correct,0,1
8,8,1,0,1,-1,1,0,3,12,-45,12,-33,k,4.7,0.51,4.6,1,3,23,-100,60,0.2541161116,0.3400357172,1,1,k,50,11,correct,incorrect,1,0
9,9,1,0,0,-1,-1,0,3,12,-55,0,-55,d,4.48,0.47,4.99,1,2,22,-100,60,0.2298265631,0.3301641769,1,1,d,40,11,correct,correct,1,0
10,10,1,1,0,1,-1,0,3,12,37,0,37,d,4.73,0.53,3.72,10,11,31,-100,61,0.0979453512,0.1700419494,0,1,k,50,11,incorrect,correct,0,1
11,11,1,0,1,-1,1,0,3,12,-47,12,-35,k,6.6,0.52,5.0,1,3,23,-100,60,0.2801727014,0.380053302,1,1,k,50,11,correct,incorrect,1,0
12,12,1,0,1,-1,1,0,3,12,-47,12,-35,k,4.78,0.46,3.97,1,3,23,-100,60,0.2681078973,0.3500917162,1,1,k,50,11,correct,correct,1,0
13,13,1,0,1,-1,1,0,3,12,-34,12,-22,k,6.49,0.41,3.21,1,3,23,-100,60,0.2494239582,0.3300672434,1,1,k,50,11,correct,correct,1,0
14,14,1,1,0,1,-1,1,2,8,60,0,60,d,6.34,0.41,4.6,10,11,31,-100,61,0.0603559514,0.1599751166,0,1,k,50,11,incorrect,correct,0,1
15,15,1,1,1,1,1,0,2,8,40,8,48,k,6.17,0.67,3.67,10,12,32,-100,60,0.3015830387,0.3900884889,1,1,k,50,11,correct,incorrect,1,0
16,16,1,1,0,1,-1,0,2,8,30,0,30,d,4.25,0.64,3.94,10,11,31,-100,60,0.2437182792,0.3300752261,1,1,d,40,11,correct,correct,1,0
17,17,1,0,0,-1,-1,0,2,8,-35,0,-35,d,6.12,0.68,4.52,1,2,22,-100,60,0.2925417057,0.3801074708,1,1,d,40,11,correct,correct,1,0
18,18,1,0,1,-1,1,0,2,8,-41,8,-33,k,4.98,0.46,3.13,1,3,23,-100,60,0.2866900562,0.3600864191,1,1,k,50,11,correct,correct,1,0
19,19,1,0,0,-1,-1,0,2,8,-60,0,-60,d,6.91,0.47,4.97,1,2,22,-100,61,0.2570865542,0.3900762297,0,1,k,50,11,incorrect,correct,0,1
20,20,1,0,1,-1,1,0,2,8,-58,8,-50,k,6.81,0.49,4.75,1,3,23,-100,60,0.2734728834,0.3700965173,1,1,k,50,11,correct,incorrect,1,0
21,21,1,1,0,1,-1,0,2,8,58,0,58,d,6.73,0.64,4.51,10,11,31,-100,60,0.2401137772,0.3100439109,1,1,d,40,11,correct,correct,1,0
22,22,1,0,0,-1,-1,0,2,8,-50,0,-50,d,5.06,0.49,3.63,1,2,22,-100,61,0.2741154957,0.3600981081,0,1,k,50,11,incorrect,correct,0,1
23,23,1,1,0,1,-1,0,2,8,60,0,60,d,5.34,0.67,3.97,10,11,31,-100,60,0.2533520472,0.3201161606,1,1,d,40,11,correct,incorrect,1,0
24,24,1,1,0,1,-1,0,2,8,43,0,43,d,6.38,0.42,3.01,10,11,31,-100,61,0.2771053251,0.380064706,0,1,k,50,11,incorrect,correct,0,1
25,25,1,0,1,-1,1,0,2,8,-51,8,-43,k,6.66,0.51,4.58,1,3,23,-100,60,0.2839482626,0.3701027895,1,1,k,50,11,correct,incorrect,1,0
26,26,1,1,0,1,-1,1,1,4,30,0,30,d,5.87,0.6,3.38,10,11,31,-100,61,0.249313625,0.3300857748,0,1,k,50,11,incorrect,correct,0,1
27,27,1,0,1,-1,1,0,1,4,-37,4,-33,k,5.91,0.64,4.49,1,3,23,-100,60,0.2642160158,0.3300909066,1,1,k,50,11,correct,incorrect,1,0
28,28,1,0,0,-1,-1,0,1,4,-44,0,-44,d,4.83,0.44,4.59,1,2,22,-100,61,0.243714858,0.3299734459,0,1,k,50,11,incorrect,correct,0,1
29,29,1,0,0,-1,-1,0,1,4,-55,0,-55,d,6.63,0.4,3.04,1,2,22,-100,60,0.2214155831,0.3200614216,1,1,d,40,11,correct,incorrect,1,0
30,30,1,0,0,-1,-1,0,1,4,-57,0,-57,d,4.82,0.68,3.13,1,2,22,-100,60,0.2096005255,0.31008468,1,1,d,40,11,correct,correct,1,0
31,31,1,1,0,1,-1,0,1,4,34,0,34,d,6.95,0.44,3.75,10,11,31,-100,61,0.0424218217,0.1399289762,0,1,k,50,11,incorrect,correct,0,1
32,32,1,1,1,1,1,0,1,4,30,4,34,k,5.02,0.64,3.65,10,12,32,-100,60,0.2544764762,0.3600867042,1,1,k,50,11,correct,incorrect,1,0
