"trialnumber","trlid","blocknumber","arraytiltcond","probetiltcond","stim1cond","stim2cond","trialDifficultyChange","trialdifficulty","difficultyOri","stim1ori","addToStim1","stim2ori","correctResp","delay1","delay2","ITI","stim1trig","stim2trig","respcuetrig","buttonpresstrig","fbtrig","rt","resptime","PerceptDecCorrect","trlResponded","buttonResponded","buttontrig","subid","fbgiven","prevtrlfb","rewarded","unrewarded"
1,1,1,0,1,-1,1,0,3,8,-59,8,-51,"k",5.69,0.41,3.01,1,3,23,-100,60,0.721121361357291,0.810356093898008,1,1,"k",50,5,"correct",NA,1,0
2,2,1,1,1,1,1,0,3,8,49,8,57,"k",4.3,0.41,4.47,10,12,32,-100,60,0.565057227848229,0.670245224740938,1,1,"k",50,5,"correct","correct",1,0
3,3,1,0,0,-1,-1,0,3,8,-55,0,-55,"d",4.9,0.57,4.01,1,2,22,-100,60,0.322655819234569,0.460156325285425,1,1,"d",40,5,"correct","correct",1,0
4,4,1,1,1,1,1,0,3,8,47,8,55,"k",4.58,0.53,3.85,10,12,32,-100,60,0.330383702850668,0.460142355452263,1,1,"k",50,5,"correct","correct",1,0
5,5,1,0,1,-1,1,0,3,8,-52,8,-44,"k",6,0.69,3.22,1,3,23,-100,60,0.39611176778817,0.51017032362688,1,1,"k",50,5,"correct","correct",1,0
6,6,1,1,1,1,1,0,3,8,56,8,64,"k",5.01,0.58,4.94,10,12,32,-100,61,0.319320450294981,0.470162717196217,0,1,"d",40,5,"incorrect","correct",0,1
7,7,1,1,0,1,-1,0,3,8,46,0,46,"d",4.34,0.68,4.55,10,11,31,-100,60,0.310816528193754,0.410089583694571,1,1,"d",40,5,"correct","incorrect",1,0
8,8,1,1,0,1,-1,0,3,8,57,0,57,"d",4.53,0.58,3.95,10,11,31,-100,61,0.524832946455717,0.63021709120585,0,1,"k",50,5,"incorrect","correct",0,1
9,9,1,1,0,1,-1,0,3,8,58,0,58,"d",4.85,0.51,3.92,10,11,31,-100,61,0.304629887803458,0.410158862661774,0,1,"k",50,5,"incorrect","incorrect",0,1
10,10,1,0,0,-1,-1,0,3,8,-43,0,-43,"d",4.95,0.66,4.55,1,2,22,-100,61,0.325973797154802,0.440175187410205,0,1,"k",50,5,"incorrect","incorrect",0,1
11,11,1,0,1,-1,1,0,3,8,-54,8,-46,"k",6.47,0.65,3.68,1,3,23,-100,60,0.310832778815893,0.440143826559506,1,1,"k",50,5,"correct","incorrect",1,0
12,12,1,0,0,-1,-1,0,3,8,-43,0,-43,"d",5.26,0.4,4.74,1,2,22,-100,60,0.488355716426668,0.620235217777008,1,1,"d",40,5,"correct","correct",1,0
13,13,1,1,0,1,-1,0,3,8,56,0,56,"d",5.99,0.64,3.09,10,11,31,-100,61,0.301700499321669,0.420120208989829,0,1,"k",50,5,"incorrect","correct",0,1
14,14,1,1,0,1,-1,0,3,8,34,0,34,"d",4.39,0.42,4.99,10,11,31,-100,61,0.261272942600044,0.410119519050568,0,1,"k",50,5,"incorrect","incorrect",0,1
15,15,1,0,0,-1,-1,1,1,2,-35,0,-35,"d",6.26,0.57,3.45,1,2,22,-100,61,0.396673127002941,0.590224880101232,0,1,"k",50,5,"incorrect","incorrect",0,1
16,16,1,1,0,1,-1,0,1,2,34,0,34,"d",5.5,0.63,3.51,10,11,31,-100,60,0.102213562826364,0.199999258744356,1,1,"d",40,5,"correct","incorrect",1,0
17,17,1,1,1,1,1,0,1,2,60,2,62,"k",5.3,0.55,4.48,10,12,32,-100,60,0.317636942854733,0.420139880794522,1,1,"k",50,5,"correct","correct",1,0
18,18,1,0,1,-1,1,0,1,2,-58,2,-56,"k",5.17,0.57,3.59,1,3,23,-100,61,0.331432580731416,0.480186500122727,0,1,"d",40,5,"incorrect","correct",0,1
19,19,1,0,0,-1,-1,0,1,2,-51,0,-51,"d",4.22,0.53,3.15,1,2,22,-100,61,0.495790518645663,0.560251890345171,0,1,"k",50,5,"incorrect","incorrect",0,1
