,trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
22,1,1,1,1,0,1,-1,0,2,8,45,0,45,d,5.42,0.52,4.72,10,11,31,-100,60,0.7878720319,0.9004424482,1,1,d,40.0,15,correct,,1,0
28,2,2,1,1,1,1,1,0,2,8,38,8,46,k,5.73,0.51,3.15,10,12,32,-100,60,0.4593681193,0.6103718601,1,1,k,50.0,15,correct,correct,1,0
34,3,3,1,1,1,1,1,0,2,8,45,8,53,k,6.22,0.46,3.48,10,12,32,-100,60,0.3546126062,0.4701161416,1,1,k,50.0,15,correct,correct,1,0
40,4,4,1,0,0,-1,-1,0,2,8,-58,0,-58,d,5.11,0.42,4.42,1,2,22,-100,60,0.4722866154,0.6202101251,1,1,d,40.0,15,correct,correct,1,0
46,5,5,1,1,0,1,-1,0,2,8,43,0,43,d,6.26,0.62,3.28,10,11,31,-100,60,0.2973181405,0.480068447,1,1,d,40.0,15,correct,correct,1,0
52,6,6,1,0,1,-1,1,0,2,8,-54,8,-46,k,5.38,0.46,4.99,1,3,23,-100,60,0.3025719816,0.4001386731,1,1,k,50.0,15,correct,correct,1,0
58,7,7,1,0,1,-1,1,0,2,8,-38,8,-30,k,6.24,0.54,4.56,1,3,23,-100,60,0.2770511662,0.4401448997,1,1,k,50.0,15,correct,correct,1,0
64,8,8,1,0,0,-1,-1,0,2,8,-35,0,-35,d,4.09,0.58,4.55,1,2,22,-100,61,0.4191027359,0.5802184387,0,1,k,50.0,15,incorrect,correct,0,1
70,9,9,1,1,0,1,-1,0,2,8,42,0,42,d,6.99,0.44,4.02,10,11,31,-100,60,0.3495101537,0.5101819543,1,1,d,40.0,15,correct,incorrect,1,0
76,10,10,1,1,0,1,-1,0,2,8,35,0,35,d,6.97,0.42,3.72,10,11,31,-100,60,0.3444573088,0.4901863962,1,1,d,40.0,15,correct,correct,1,0
82,11,11,1,1,1,1,1,0,2,8,34,8,42,k,4.93,0.47,3.81,10,12,32,-100,60,0.3342107792,0.470159762,1,1,k,50.0,15,correct,correct,1,0
88,12,12,1,0,1,-1,1,0,2,8,-41,8,-33,k,5.69,0.65,3.41,1,3,23,-100,60,0.3639214387,0.5301923377,1,1,k,50.0,15,correct,correct,1,0
94,13,13,1,1,1,1,1,0,2,8,59,8,67,k,5.84,0.43,4.88,10,12,32,-100,60,0.3245763613,0.4101103654,1,1,k,50.0,15,correct,correct,1,0
100,14,14,1,1,0,1,-1,1,0,2,45,0,45,d,4.29,0.61,3.52,10,11,31,-100,60,0.3629207342,0.5402484199,1,1,d,40.0,15,correct,correct,1,0
106,15,15,1,0,1,-1,1,0,0,2,-39,2,-37,k,5.76,0.61,4.27,1,3,23,-100,60,0.2677905158,0.4201382227,1,1,k,50.0,15,correct,correct,1,0
112,16,16,1,0,0,-1,-1,0,0,2,-31,0,-31,d,6.8,0.42,4.31,1,2,22,-100,61,0.3365959341,0.5002019941,0,1,k,50.0,15,incorrect,correct,0,1
