"trialnumber","trlid","blocknumber","arraytiltcond","probetiltcond","stim1cond","stim2cond","trialDifficultyChange","trialdifficulty","difficultyOri","stim1ori","addToStim1","stim2ori","correctResp","delay1","delay2","ITI","stim1trig","stim2trig","respcuetrig","buttonpresstrig","fbtrig","rt","resptime","PerceptDecCorrect","trlResponded","buttonResponded","buttontrig","subid","fbgiven","prevtrlfb","rewarded","unrewarded"
1,1,1,1,1,1,1,0,3,12,30,12,42,"k",4.26,0.55,4.06,10,12,32,-100,60,0.345989454831397,0.490147902626632,1,1,"k",50,12,"correct",NA,1,0
2,2,1,0,0,-1,-1,0,3,12,-31,0,-31,"d",5.92,0.58,4.22,1,2,22,-100,60,0.392721416315908,0.530206028204702,1,1,"d",40,12,"correct","correct",1,0
3,3,1,0,0,-1,-1,0,3,12,-51,0,-51,"d",6.88,0.44,4.19,1,2,22,-100,60,0.415334170757887,0.550193894477161,1,1,"d",40,12,"correct","correct",1,0
4,4,1,0,0,-1,-1,0,3,12,-30,0,-30,"d",6.52,0.67,3.81,1,2,22,-100,60,0.382361561168182,0.590308184166133,1,1,"d",40,12,"correct","correct",1,0
5,5,1,1,1,1,1,0,3,12,31,12,43,"k",5.96,0.56,4.81,10,12,32,-100,60,0.496950032187669,0.66023136192598,1,1,"k",50,12,"correct","correct",1,0
6,6,1,0,1,-1,1,0,3,12,-43,12,-31,"k",6.61,0.55,3.51,1,3,23,-100,60,0.285960283705208,0.440178094399926,1,1,"k",50,12,"correct","correct",1,0
7,7,1,1,0,1,-1,0,3,12,60,0,60,"d",5.07,0.69,3.53,10,11,31,-100,61,0.309728251231718,0.440077455155915,0,1,"k",50,12,"incorrect","correct",0,1
8,8,1,0,0,-1,-1,0,3,12,-50,0,-50,"d",5.71,0.62,4.9,1,2,22,-100,60,0.328600247807117,0.5701743482241,1,1,"d",40,12,"correct","incorrect",1,0
9,9,1,0,1,-1,1,0,3,12,-47,12,-35,"k",4.43,0.54,4.56,1,3,23,-100,60,0.370374372287188,0.550260322081158,1,1,"k",50,12,"correct","correct",1,0
10,10,1,1,1,1,1,0,3,12,38,12,50,"k",4.92,0.4,3.05,10,12,32,-100,60,0.356548022595234,0.540201244277341,1,1,"k",50,12,"correct","correct",1,0
11,11,1,0,1,-1,1,0,3,12,-60,12,-48,"k",5.85,0.66,4.29,1,3,23,-100,60,0.491324497985261,0.720310710124977,1,1,"k",50,12,"correct","correct",1,0
12,12,1,1,1,1,1,0,3,12,39,12,51,"k",4.99,0.41,4.42,10,12,32,-100,60,0.312962676809548,0.51020077101748,1,1,"k",50,12,"correct","correct",1,0
13,13,1,0,1,-1,1,0,3,12,-33,12,-21,"k",4.18,0.57,4.84,1,3,23,-100,60,0.344564254879515,0.480121896078344,1,1,"k",50,12,"correct","correct",1,0
14,14,1,0,1,-1,1,1,0,2,-56,2,-54,"k",4.01,0.56,4.77,1,3,23,-100,61,0.230352111913817,0.410139988332958,0,1,"d",40,12,"incorrect","correct",0,1
15,15,1,1,1,1,1,0,0,2,43,2,45,"k",4.48,0.57,3.13,10,12,32,-100,60,0.306851337303669,0.460125761992458,1,1,"k",50,12,"correct","incorrect",1,0
16,16,1,1,0,1,-1,0,0,2,40,0,40,"d",6.53,0.56,3.18,10,11,31,-100,61,0.552185867285516,0.720267945573141,0,1,"k",50,12,"incorrect","correct",0,1
17,17,1,0,0,-1,-1,0,0,2,-32,0,-32,"d",5.18,0.65,4.68,1,2,22,-100,60,0.291058388438614,0.57024362680022,1,1,"d",40,12,"correct","incorrect",1,0
18,18,1,1,1,1,1,0,0,2,38,2,40,"k",4.32,0.63,3.27,10,12,32,-100,60,0.567604768873935,0.730307921876374,1,1,"k",50,12,"correct","correct",1,0
19,19,1,0,1,-1,1,0,0,2,-45,2,-43,"k",5.13,0.49,4.87,1,3,23,-100,61,0.284599230579261,0.470138083886923,0,1,"d",40,12,"incorrect","correct",0,1
20,20,1,1,0,1,-1,0,0,2,50,0,50,"d",4.99,0.59,4.92,10,11,31,-100,60,0.267713219776851,0.430128709895143,1,1,"d",40,12,"correct","incorrect",1,0
21,21,1,0,0,-1,-1,0,0,2,-43,0,-43,"d",6.38,0.43,4.58,1,2,22,-100,61,0.296434462756224,0.430141539261967,0,1,"k",50,12,"incorrect","correct",0,1
22,22,1,0,0,-1,-1,0,0,2,-39,0,-39,"d",5.28,0.64,3.07,1,2,22,-100,60,0.406410349249199,0.620224268710444,1,1,"d",40,12,"correct","incorrect",1,0
23,23,1,1,0,1,-1,0,0,2,43,0,43,"d",6.06,0.69,3.11,10,11,31,-100,60,0.255867153917279,0.450135962764762,1,1,"d",40,12,"correct","correct",1,0
24,24,1,1,0,1,-1,0,0,2,58,0,58,"d",4.59,0.65,3.58,10,11,31,-100,61,0.323961434356534,0.490143055978479,0,1,"k",50,12,"incorrect","correct",0,1
25,25,1,1,0,1,-1,0,0,2,41,0,41,"d",5.08,0.69,3.81,10,11,31,-100,60,0.343643961730777,0.560190536034497,1,1,"d",40,12,"correct","incorrect",1,0
26,26,1,1,0,1,-1,1,1,4,34,0,34,"d",6.64,0.63,4.52,10,11,31,-100,60,0.268154264851546,0.460218988715496,1,1,"d",40,12,"correct","correct",1,0
27,27,1,0,0,-1,-1,0,1,4,-41,0,-41,"d",4.23,0.4,4.2,1,2,22,-100,61,0.562215580095653,0.760308965331205,0,1,"k",50,12,"incorrect","correct",0,1
28,28,1,0,1,-1,1,0,1,4,-49,4,-45,"k",5.22,0.59,3.1,1,3,23,-100,60,0.661932820881702,0.810338073735693,1,1,"k",50,12,"correct","incorrect",1,0
29,29,1,1,0,1,-1,0,1,4,51,0,51,"d",6.13,0.61,3.8,10,11,31,-100,60,0.248946423998859,0.430105902136347,1,1,"d",40,12,"correct","correct",1,0
30,30,1,1,1,1,1,0,1,4,36,4,40,"k",6.61,0.67,3.82,10,12,32,-100,61,0.295852579756684,0.510228140330582,0,1,"d",40,12,"incorrect","correct",0,1
