"trialnumber","trlid","blocknumber","arraytiltcond","probetiltcond","stim1cond","stim2cond","trialDifficultyChange","trialdifficulty","difficultyOri","stim1ori","addToStim1","stim2ori","correctResp","delay1","delay2","ITI","stim1trig","stim2trig","respcuetrig","buttonpresstrig","fbtrig","rt","resptime","PerceptDecCorrect","trlResponded","buttonResponded","buttontrig","subid","fbgiven","prevtrlfb","rewarded","unrewarded"
1,1,1,1,0,1,-1,0,2,8,30,0,30,"d",5.14,0.6,3.93,10,11,31,-100,60,0.148452423174604,0.360124793731302,1,1,"d",40,9,"correct",NA,1,0
2,2,1,1,0,1,-1,0,2,8,41,0,41,"d",5.44,0.45,4.6,10,11,31,-100,60,0.373817264939134,0.520228946261341,1,1,"d",40,9,"correct","correct",1,0
3,3,1,0,0,-1,-1,0,2,8,-45,0,-45,"d",5.44,0.54,4.65,1,2,22,-100,61,0.320747143017797,0.420156188880355,0,1,"k",50,9,"incorrect","correct",0,1
4,4,1,0,1,-1,1,0,2,8,-57,8,-49,"k",6.56,0.5,4.93,1,3,23,-100,60,0.0672806188267714,0.199992986554207,1,1,"k",50,9,"correct","incorrect",1,0
5,5,1,0,0,-1,-1,0,2,8,-52,0,-52,"d",6.3,0.46,3.77,1,2,22,-100,61,0.3484459799256,0.45008393327771,0,1,"k",50,9,"incorrect","correct",0,1
6,6,1,0,0,-1,-1,0,2,8,-41,0,-41,"d",4.63,0.67,4.8,1,2,22,-100,60,0.0318795352195593,0.180025476487572,1,1,"d",40,9,"correct","incorrect",1,0
7,7,1,1,0,1,-1,0,2,8,42,0,42,"d",5.23,0.6,4.32,10,11,31,-100,60,0.383509505785696,0.560215569394131,1,1,"d",40,9,"correct","correct",1,0
8,8,1,0,1,-1,1,0,2,8,-50,8,-42,"k",6.15,0.63,4.46,1,3,23,-100,60,0.160193958856325,0.3100724494725,1,1,"k",50,9,"correct","correct",1,0
9,9,1,1,0,1,-1,0,2,8,55,0,55,"d",4.94,0.49,4.24,10,11,31,-100,60,0.189776732919199,0.350072472279862,1,1,"d",40,9,"correct","correct",1,0
10,10,1,0,1,-1,1,0,2,8,-49,8,-41,"k",4.87,0.47,3.25,1,3,23,-100,60,0.0441576280627487,0.190041875408497,1,1,"k",50,9,"correct","correct",1,0
11,11,1,0,0,-1,-1,0,2,8,-36,0,-36,"d",4.88,0.47,4.42,1,2,22,-100,61,0.366028348007603,0.510209411246251,0,1,"k",50,9,"incorrect","correct",0,1
12,12,1,0,0,-1,-1,0,2,8,-50,0,-50,"d",5.99,0.57,4.68,1,2,22,-100,61,0.37859325089812,0.500149107010657,0,1,"k",50,9,"incorrect","incorrect",0,1
13,13,1,0,0,-1,-1,0,2,8,-37,0,-37,"d",4.4,0.58,4.24,1,2,22,-100,60,0.28446909350896,0.370098712832259,1,1,"d",40,9,"correct","incorrect",1,0
14,14,1,1,1,1,1,1,3,12,52,12,64,"k",5.22,0.61,4.79,10,12,32,-100,60,0.317268074450112,0.39999395589075,1,1,"k",50,9,"correct","correct",1,0
15,15,1,0,0,-1,-1,0,3,12,-54,0,-54,"d",6.45,0.5,3.44,1,2,22,-100,61,0.0648418781438522,0.170000809681369,0,1,"k",50,9,"incorrect","correct",0,1
16,16,1,1,0,1,-1,0,3,12,54,0,54,"d",5.24,0.42,3.59,10,11,31,-100,60,0.654842072011888,0.840361414870131,1,1,"d",40,9,"correct","incorrect",1,0
17,17,1,0,0,-1,-1,0,3,12,-30,0,-30,"d",5.84,0.46,4.23,1,2,22,-100,60,0.173852503230592,0.350089293147903,1,1,"d",40,9,"correct","correct",1,0
18,18,1,1,0,1,-1,0,3,12,51,0,51,"d",5.56,0.4,4.52,10,11,31,-100,60,0.227057192090797,0.410091608155199,1,1,"d",40,9,"correct","correct",1,0
19,19,1,1,1,1,1,0,3,12,45,12,57,"k",6.99,0.54,4.19,10,12,32,-100,60,0.329756000488487,0.410185405873563,1,1,"k",50,9,"correct","correct",1,0
20,20,1,0,0,-1,-1,0,3,12,-48,0,-48,"d",6.9,0.56,4.27,1,2,22,-100,61,0.336141943032999,0.440137098623381,0,1,"k",50,9,"incorrect","correct",0,1
21,21,1,1,0,1,-1,0,3,12,51,0,51,"d",6.93,0.48,4.28,10,11,31,-100,60,0.204822571207842,0.370134920463897,1,1,"d",40,9,"correct","incorrect",1,0
22,22,1,0,0,-1,-1,0,3,12,-48,0,-48,"d",6.42,0.51,4.94,1,2,22,-100,61,0.388935518487415,0.510172633417824,0,1,"k",50,9,"incorrect","correct",0,1
23,23,1,1,1,1,1,0,3,12,52,12,64,"k",4.6,0.6,3.46,10,12,32,-100,61,0.0714550449483795,0.200017790204583,0,1,"d",40,9,"incorrect","incorrect",0,1
24,24,1,1,1,1,1,0,3,12,45,12,57,"k",5.16,0.66,4.91,10,12,32,-100,60,0.382522491494456,0.520194164128043,1,1,"k",50,9,"correct","incorrect",1,0
25,25,1,0,1,-1,1,0,3,12,-44,12,-32,"k",4.81,0.56,3.7,1,3,23,-100,60,0.604390873624652,0.780396732989175,1,1,"k",50,9,"correct","correct",1,0
26,26,1,0,1,-1,1,1,0,2,-42,2,-40,"k",6.39,0.6,3.02,1,3,23,-100,61,0.27765607199035,0.440102316490083,0,1,"d",40,9,"incorrect","correct",0,1
27,27,1,0,1,-1,1,0,0,2,-37,2,-35,"k",6.47,0.45,4.59,1,3,23,-100,61,0.256392499832145,0.420152482589401,0,1,"d",40,9,"incorrect","incorrect",0,1
28,28,1,0,1,-1,1,0,0,2,-35,2,-33,"k",6.13,0.51,3.68,1,3,23,-100,60,0.319591920053426,0.440142230412675,1,1,"k",50,9,"correct","incorrect",1,0
29,29,1,1,1,1,1,0,0,2,59,2,61,"k",5.25,0.44,4,10,12,32,-100,61,0.337264949759629,0.500168493774254,0,1,"d",40,9,"incorrect","correct",0,1
30,30,1,1,0,1,-1,0,0,2,57,0,57,"d",6.89,0.41,4.63,10,11,31,-100,60,0.379612196325979,0.540238651045001,1,1,"d",40,9,"correct","incorrect",1,0
31,31,1,0,0,-1,-1,0,0,2,-41,0,-41,"d",5.25,0.61,4.77,1,2,22,-100,61,0.0128328963710374,0.109971980426053,0,1,"k",50,9,"incorrect","correct",0,1
32,32,1,0,1,-1,1,0,0,2,-49,2,-47,"k",4.36,0.43,4.55,1,3,23,-100,60,0.626469545108193,0.76035595236317,1,1,"k",50,9,"correct","incorrect",1,0
33,33,1,1,0,1,-1,0,0,2,31,0,31,"d",4.03,0.6,4.17,10,11,31,-100,61,1.26859589661944,1.40066964158541,0,1,"k",50,9,"incorrect","correct",0,1
34,34,1,0,1,-1,1,0,0,2,-38,2,-36,"k",5.66,0.5,4.24,1,3,23,-100,60,0.0153215294558322,0.0999803851573233,1,1,"k",50,9,"correct","incorrect",1,0
35,35,1,1,1,1,1,0,0,2,39,2,41,"k",6.77,0.64,3.63,10,12,32,-100,61,0.852378356619738,0.980544243442637,0,1,"d",40,9,"incorrect","correct",0,1
36,36,1,0,1,-1,1,0,0,2,-44,2,-42,"k",4.55,0.55,3.89,1,3,23,-100,60,0.0761400841838622,0.180018348999511,1,1,"k",50,9,"correct","incorrect",1,0
