,trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
712,52,116,2,1,1,1,1,0,0,2,34,2,36,k,6.29,0.54,4.86,10,12,32,-100,61,0.3747421618,0.4601179349,0,1,d,40.0,14,incorrect,incorrect,0,1
718,53,117,2,1,0,1,-1,1,1,4,60,0,60,d,4.29,0.46,3.26,10,11,31,-100,60,0.5551326874,0.6402829456,1,1,d,40.0,14,correct,incorrect,1,0
724,54,118,2,0,0,-1,-1,0,1,4,-45,0,-45,d,5.31,0.43,3.21,1,2,22,-100,60,0.4312069836,0.5001863135,1,1,d,40.0,14,correct,correct,1,0
730,55,119,2,0,1,-1,1,0,1,4,-35,4,-31,k,4.72,0.5,4.13,1,3,23,-100,60,0.4409138171,0.5101862308,1,1,k,50.0,14,correct,correct,1,0
736,56,120,2,0,1,-1,1,0,1,4,-33,4,-29,k,4.17,0.46,4.3,1,3,23,-100,60,0.6908932186,0.7603418247,1,1,k,50.0,14,correct,correct,1,0
742,57,121,2,1,0,1,-1,0,1,4,50,0,50,d,4.98,0.68,4.18,10,11,31,-100,60,0.2444638376,0.3301167289,1,1,d,40.0,14,correct,correct,1,0
748,58,122,2,0,1,-1,1,0,1,4,-57,4,-53,k,6.72,0.54,4.87,1,3,23,-100,61,0.3365044166,0.3900831611,0,1,d,40.0,14,incorrect,correct,0,1
754,59,123,2,0,1,-1,1,0,1,4,-39,4,-35,k,4.38,0.64,3.5,1,3,23,-100,60,0.7970648283,0.8803582237,1,1,k,50.0,14,correct,incorrect,1,0
760,60,124,2,0,1,-1,1,0,1,4,-44,4,-40,k,5.68,0.41,4.91,1,3,23,-100,60,0.3336702277,0.3701027133,1,1,k,50.0,14,correct,correct,1,0
766,61,125,2,1,1,1,1,0,1,4,55,4,59,k,5.93,0.45,4.53,10,12,32,-100,60,0.2146793369,0.3000739267,1,1,k,50.0,14,correct,correct,1,0
772,62,126,2,1,1,1,1,0,1,4,51,4,55,k,6.48,0.42,4.19,10,12,32,-100,61,0.5778501047,0.6602554106,0,1,d,40.0,14,incorrect,correct,0,1
