"trialnumber","trlid","blocknumber","arraytiltcond","probetiltcond","stim1cond","stim2cond","trialDifficultyChange","trialdifficulty","difficultyOri","stim1ori","addToStim1","stim2ori","correctResp","delay1","delay2","ITI","stim1trig","stim2trig","respcuetrig","buttonpresstrig","fbtrig","rt","resptime","PerceptDecCorrect","trlResponded","buttonResponded","buttontrig","subid","fbgiven","prevtrlfb","rewarded","unrewarded"
1,1,1,1,0,1,-1,0,0,2,35,0,35,"d",5.87,0.44,3.6,10,11,31,-100,60,0.272385959768144,0.42011553271368,1,1,"d",40,13,"correct",NA,1,0
2,2,1,0,1,-1,1,0,0,2,-52,2,-50,"k",4.63,0.63,3.86,1,3,23,-100,60,0.416255889391323,0.550216702235048,1,1,"k",50,13,"correct","correct",1,0
3,3,1,0,1,-1,1,0,0,2,-33,2,-31,"k",5.23,0.62,3.28,1,3,23,-100,60,0.516127367660374,0.700276658139046,1,1,"k",50,13,"correct","correct",1,0
4,4,1,0,0,-1,-1,0,0,2,-32,0,-32,"d",5.71,0.69,4.64,1,2,22,-100,61,0.692892930677772,0.810326669856295,0,1,"k",50,13,"incorrect","correct",0,1
5,5,1,1,0,1,-1,0,0,2,31,0,31,"d",5.87,0.63,4.55,10,11,31,-100,61,0.56951035729071,0.750318595910358,0,1,"k",50,13,"incorrect","incorrect",0,1
6,6,1,1,1,1,1,0,0,2,44,2,46,"k",4.71,0.63,4.83,10,12,32,-100,61,0.490553880768857,0.610244162784511,0,1,"d",40,13,"incorrect","incorrect",0,1
7,7,1,0,1,-1,1,0,0,2,-46,2,-44,"k",5.94,0.49,3.01,1,3,23,-100,60,0.40251335821813,0.570222244525212,1,1,"k",50,13,"correct","incorrect",1,0
8,8,1,1,0,1,-1,0,0,2,35,0,35,"d",6.5,0.57,4.41,10,11,31,-100,60,0.370795460570662,0.490191807566589,1,1,"d",40,13,"correct","correct",1,0
9,9,1,0,0,-1,-1,0,0,2,-59,0,-59,"d",6.23,0.43,4.49,1,2,22,-100,61,0.569902650775475,0.720265379699413,0,1,"k",50,13,"incorrect","correct",0,1
10,10,1,1,1,1,1,0,0,2,59,2,61,"k",6.1,0.53,3.07,10,12,32,-100,61,1.16714638990015,1.30057948817921,0,1,"d",40,13,"incorrect","incorrect",0,1
