"trialnumber","trlid","blocknumber","arraytiltcond","probetiltcond","stim1cond","stim2cond","trialDifficultyChange","trialdifficulty","difficultyOri","stim1ori","addToStim1","stim2ori","correctResp","delay1","delay2","ITI","stim1trig","stim2trig","respcuetrig","buttonpresstrig","fbtrig","rt","resptime","PerceptDecCorrect","trlResponded","buttonResponded","buttontrig","subid","fbgiven","prevtrlfb","rewarded","unrewarded"
1,1,1,0,1,-1,1,0,3,12,-51,12,-39,"k",6.48,0.44,4.9,1,3,23,-100,60,0.908077429787681,1.12052980736644,1,1,"k",50,7,"correct",NA,1,0
2,2,1,0,1,-1,1,0,3,12,-43,12,-31,"k",6.68,0.59,3.57,1,3,23,-100,60,0.284701894975115,0.510171661669119,1,1,"k",50,7,"correct","correct",1,0
3,3,1,1,0,1,-1,0,3,12,42,0,42,"d",5.61,0.42,4.03,10,11,31,-100,61,0.572195205812022,0.770298206235111,0,1,"k",50,7,"incorrect","correct",0,1
4,4,1,0,0,-1,-1,0,3,12,-60,0,-60,"d",6.59,0.56,4.17,1,2,22,-100,60,0.21256926865226,0.430177968085445,1,1,"d",40,7,"correct","incorrect",1,0
5,5,1,1,0,1,-1,0,3,12,54,0,54,"d",6.53,0.44,3.66,10,11,31,-100,60,0.457756278689885,0.670380856777228,1,1,"d",40,7,"correct","correct",1,0
6,6,1,0,1,-1,1,0,3,12,-53,12,-41,"k",4.37,0.45,5,1,3,23,-100,60,0.31323329548195,0.510159972561723,1,1,"k",50,7,"correct","correct",1,0
7,7,1,0,1,-1,1,0,3,12,-55,12,-43,"k",6.58,0.61,3.45,1,3,23,-100,60,0.212216884830013,0.460126601586126,1,1,"k",50,7,"correct","correct",1,0
8,8,1,1,0,1,-1,0,3,12,42,0,42,"d",6.77,0.53,4.92,10,11,31,-100,60,0.260441010064369,0.460149979800462,1,1,"d",40,7,"correct","correct",1,0
9,9,1,0,0,-1,-1,0,3,12,-31,0,-31,"d",5.72,0.58,3.89,1,2,22,-100,61,0.317855054498523,0.530199664209249,0,1,"k",50,7,"incorrect","correct",0,1
10,10,1,1,1,1,1,0,3,12,32,12,44,"k",4.75,0.66,3.13,10,12,32,-100,60,0.543812057399919,0.760304874728718,1,1,"k",50,7,"correct","incorrect",1,0
11,11,1,0,0,-1,-1,0,3,12,-57,0,-57,"d",6.66,0.41,3.02,1,2,22,-100,60,0.737288167002589,0.920427399381879,1,1,"d",40,7,"correct","correct",1,0
12,12,1,0,0,-1,-1,0,3,12,-31,0,-31,"d",6.82,0.6,4.44,1,2,22,-100,61,0.333473412555122,0.550199156730741,0,1,"k",50,7,"incorrect","correct",0,1
13,13,1,1,1,1,1,0,3,12,38,12,50,"k",4.61,0.68,4.45,10,12,32,-100,60,0.389224182539692,0.600231102205726,1,1,"k",50,7,"correct","incorrect",1,0
14,14,1,0,1,-1,1,1,1,4,-36,4,-32,"k",6.55,0.46,3.65,1,3,23,-100,60,0.258033339045141,0.490158199238522,1,1,"k",50,7,"correct","correct",1,0
15,15,1,1,1,1,1,0,1,4,52,4,56,"k",4.78,0.58,3.31,10,12,32,-100,60,0.366233704030037,0.560243521169923,1,1,"k",50,7,"correct","correct",1,0
16,16,1,1,0,1,-1,0,1,4,34,0,34,"d",4.33,0.54,4.78,10,11,31,-100,60,1.27561318633934,1.44070443692863,1,1,"d",40,7,"correct","correct",1,0
17,17,1,1,1,1,1,0,1,4,37,4,41,"k",4.08,0.51,4.98,10,12,32,-100,60,0.41273297317548,0.590269416818956,1,1,"k",50,7,"correct","correct",1,0
18,18,1,1,1,1,1,0,1,4,51,4,55,"k",4.05,0.58,4.39,10,12,32,-100,60,0.688842518928595,0.900322134692942,1,1,"k",50,7,"correct","correct",1,0
19,19,1,0,0,-1,-1,0,1,4,-45,0,-45,"d",6,0.58,4.66,1,2,22,-100,61,0.467404638979133,0.650327195221507,0,1,"k",50,7,"incorrect","correct",0,1
20,20,1,0,1,-1,1,0,1,4,-44,4,-40,"k",4.99,0.45,4.28,1,3,23,-100,60,0.433147856659616,0.650265898682846,1,1,"k",50,7,"correct","incorrect",1,0
21,21,1,0,0,-1,-1,0,1,4,-31,0,-31,"d",4.92,0.46,3.24,1,2,22,-100,61,0.325039864132577,0.540191570214574,0,1,"k",50,7,"incorrect","correct",0,1
22,22,1,1,0,1,-1,0,1,4,49,0,49,"d",5.97,0.62,3.99,10,11,31,-100,60,0.254104373464997,0.430232707319647,1,1,"d",40,7,"correct","incorrect",1,0
23,23,1,1,0,1,-1,0,1,4,36,0,36,"d",5.63,0.42,4.44,10,11,31,-100,60,0.447378061940526,0.640260307868175,1,1,"d",40,7,"correct","correct",1,0
24,24,1,0,0,-1,-1,0,1,4,-55,0,-55,"d",6.76,0.43,3.36,1,2,22,-100,61,0.722326394660286,0.950388577290596,0,1,"k",50,7,"incorrect","correct",0,1
25,25,1,0,1,-1,1,0,1,4,-37,4,-33,"k",6.35,0.45,3.41,1,3,23,-100,60,0.291378085888937,0.540168762200665,1,1,"k",50,7,"correct","incorrect",1,0
26,26,1,1,0,1,-1,0,1,4,60,0,60,"d",5.87,0.58,4.08,10,11,31,-100,60,0.744656866253081,0.970458489556677,1,1,"d",40,7,"correct","correct",1,0
27,27,1,0,0,-1,-1,1,0,2,-53,0,-53,"d",4.24,0.55,4.33,1,2,22,-100,62,NA,NA,-1,0,NA,NA,7,"timed out","correct",0,0
28,28,1,1,0,1,-1,0,0,2,35,0,35,"d",6.1,0.52,4.76,10,11,31,-100,61,0.374170037738622,0.59023606009805,0,1,"k",50,7,"incorrect","timed out",0,1
29,29,1,0,1,-1,1,0,0,2,-52,2,-50,"k",6.97,0.54,3.89,1,3,23,-100,60,0.45695172598198,0.670320415539209,1,1,"k",50,7,"correct","incorrect",1,0
30,30,1,1,0,1,-1,0,0,2,32,0,32,"d",4.53,0.57,3.2,10,11,31,-100,61,0.557226876165714,0.770371762081595,0,1,"k",50,7,"incorrect","correct",0,1
31,31,1,1,1,1,1,0,0,2,57,2,59,"k",4.65,0.44,4.07,10,12,32,-100,60,0.419002326132613,0.650222563455372,1,1,"k",50,7,"correct","incorrect",1,0
32,32,1,0,0,-1,-1,0,0,2,-41,0,-41,"d",5.74,0.64,3.14,1,2,22,-100,61,0.498715196039484,0.680285807228302,0,1,"k",50,7,"incorrect","correct",0,1
33,33,1,0,1,-1,1,0,0,2,-34,2,-32,"k",6.51,0.51,4.25,1,3,23,-100,60,0.429260515706574,0.640249474061875,1,1,"k",50,7,"correct","incorrect",1,0
34,34,1,0,0,-1,-1,0,0,2,-40,0,-40,"d",4.66,0.43,4.18,1,2,22,-100,60,0.385006695577886,0.580275230011466,1,1,"d",40,7,"correct","correct",1,0
35,35,1,1,0,1,-1,0,0,2,58,0,58,"d",6.52,0.47,3.42,10,11,31,-100,60,0.332163662328185,0.53018968570268,1,1,"d",40,7,"correct","correct",1,0
36,36,1,0,1,-1,1,0,0,2,-34,2,-32,"k",4.19,0.49,3.43,1,3,23,-100,60,0.310340669056131,0.510130322143596,1,1,"k",50,7,"correct","correct",1,0
37,37,1,1,0,1,-1,0,0,2,55,0,55,"d",6.57,0.69,3.44,10,11,31,-100,60,0.341454792092463,0.520181814086754,1,1,"d",40,7,"correct","correct",1,0
38,38,1,0,1,-1,1,0,0,2,-49,2,-47,"k",6.34,0.62,3.53,1,3,23,-100,60,0.348679230651214,0.550283261283766,1,1,"k",50,7,"correct","correct",1,0
39,39,1,1,1,1,1,1,2,8,46,8,54,"k",4.43,0.54,4.02,10,12,32,-100,60,0.486742128882725,0.670289054519344,1,1,"k",50,7,"correct","correct",1,0
40,40,1,0,0,-1,-1,0,2,8,-59,0,-59,"d",6.06,0.49,4.52,1,2,22,-100,61,0.429526799274299,0.610274611344721,0,1,"k",50,7,"incorrect","correct",0,1
41,41,1,0,0,-1,-1,0,2,8,-34,0,-34,"d",6.05,0.42,3.73,1,2,22,-100,61,0.38063154821657,0.580243013691415,0,1,"k",50,7,"incorrect","incorrect",0,1
42,42,1,1,0,1,-1,0,2,8,52,0,52,"d",4.59,0.43,4.2,10,11,31,-100,60,0.366589223954179,0.550209705437283,1,1,"d",40,7,"correct","incorrect",1,0
43,43,1,1,1,1,1,0,2,8,59,8,67,"k",6.41,0.61,3.69,10,12,32,-100,60,0.757507186663133,0.970399473818816,1,1,"k",50,7,"correct","correct",1,0
