trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
39,295,5,0,0,-1,-1,0,3,12,-41,0,-41,d,6.91,0.42,4.62,1,2,22,-100,61,0.2889125772,0.4401501659,0,1,k,50.0,16,incorrect,incorrect,0,1
40,296,5,0,1,-1,1,0,3,12,-60,12,-48,k,4.17,0.5,3.06,1,3,23,-100,60,0.2578065776,0.4201455302,1,1,k,50.0,16,correct,incorrect,1,0
41,297,5,1,0,1,-1,1,1,4,32,0,32,d,5.76,0.66,4.61,10,11,31,-100,61,0.3528496941,0.4501747213,0,1,k,50.0,16,incorrect,correct,0,1
42,298,5,1,0,1,-1,0,1,4,39,0,39,d,6.6,0.55,4.97,10,11,31,-100,60,0.2868698624,0.4701576896,1,1,d,40.0,16,correct,incorrect,1,0
43,299,5,1,1,1,1,0,1,4,57,4,61,k,5.42,0.64,3.24,10,12,32,-100,60,0.4788383011,0.6102317633,1,1,k,50.0,16,correct,correct,1,0
44,300,5,1,1,1,1,0,1,4,38,4,42,k,4.38,0.48,4.7,10,12,32,-100,61,0.3344122327,0.5201815379,0,1,d,40.0,16,incorrect,correct,0,1
45,301,5,0,0,-1,-1,0,1,4,-39,0,-39,d,6.07,0.51,4.72,1,2,22,-100,61,0.2189413976,0.4000465277,0,1,k,50.0,16,incorrect,incorrect,0,1
46,302,5,1,0,1,-1,0,1,4,60,0,60,d,5.09,0.54,3.72,10,11,31,-100,60,0.3029552795,0.4801979252,1,1,d,40.0,16,correct,incorrect,1,0
47,303,5,0,0,-1,-1,0,1,4,-46,0,-46,d,6.39,0.67,3.26,1,2,22,-100,61,0.4240815695,0.6002263094,0,1,k,50.0,16,incorrect,correct,0,1
48,304,5,1,1,1,1,0,1,4,47,4,51,k,4.5,0.41,3.81,10,12,32,-100,61,0.420263275,0.5501904871,0,1,d,40.0,16,incorrect,incorrect,0,1
49,305,5,0,0,-1,-1,0,1,4,-44,0,-44,d,5.42,0.48,4.26,1,2,22,-100,61,0.3117887026,0.4901668868,0,1,k,50.0,16,incorrect,incorrect,0,1
50,306,5,0,1,-1,1,0,1,4,-34,4,-30,k,6.4,0.52,3.02,1,3,23,-100,60,0.2591009147,0.4201212971,1,1,k,50.0,16,correct,incorrect,1,0
51,307,5,1,1,1,1,0,1,4,34,4,38,k,4.81,0.66,3.26,10,12,32,-100,61,0.2490424329,0.3700173367,0,1,d,40.0,16,incorrect,correct,0,1
52,308,5,0,0,-1,-1,0,1,4,-56,0,-56,d,6.33,0.53,4.57,1,2,22,-100,60,0.4639488628,0.6402635202,1,1,d,40.0,16,correct,incorrect,1,0
53,309,5,0,0,-1,-1,1,3,12,-41,0,-41,d,5.31,0.44,4.27,1,2,22,-100,61,0.2551509057,0.4201595,0,1,k,50.0,16,incorrect,correct,0,1
54,310,5,0,0,-1,-1,0,3,12,-35,0,-35,d,4.39,0.61,3.65,1,2,22,-100,60,0.2136950559,0.3600996925,1,1,d,40.0,16,correct,incorrect,1,0
55,311,5,1,0,1,-1,0,3,12,35,0,35,d,4.84,0.44,3.06,10,11,31,-100,60,0.4040612535,0.5502013207,1,1,d,40.0,16,correct,correct,1,0
56,312,5,0,1,-1,1,0,3,12,-53,12,-41,k,6.54,0.6,3.58,1,3,23,-100,60,0.1989441744,0.4101166985,1,1,k,50.0,16,correct,correct,1,0
57,313,5,1,0,1,-1,0,3,12,53,0,53,d,4.18,0.59,4.31,10,11,31,-100,60,0.5846765882,0.7002611767,1,1,d,40.0,16,correct,correct,1,0
58,314,5,0,1,-1,1,0,3,12,-31,12,-19,k,5.76,0.67,3.84,1,3,23,-100,60,0.1042021196,0.2400396626,1,1,k,50.0,16,correct,correct,1,0
59,315,5,0,1,-1,1,0,3,12,-51,12,-39,k,5.91,0.45,3.09,1,3,23,-100,60,0.4240989603,0.520184674,1,1,k,50.0,16,correct,correct,1,0
60,316,5,0,1,-1,1,0,3,12,-38,12,-26,k,6.98,0.7,4.64,1,3,23,-100,60,0.1941431531,0.3100729932,1,1,k,50.0,16,correct,correct,1,0
61,317,5,0,1,-1,1,0,3,12,-35,12,-23,k,6.65,0.4,4.77,1,3,23,-100,60,0.9205411013,1.0104216945,1,1,k,50.0,16,correct,correct,1,0
62,318,5,0,0,-1,-1,0,3,12,-49,0,-49,d,4.47,0.52,4.73,1,2,22,-100,60,0.3658888575,0.4801334935,1,1,d,40.0,16,correct,correct,1,0
63,319,5,1,0,1,-1,0,3,12,40,0,40,d,5.5,0.45,3.36,10,11,31,-100,60,0.7297834665,0.8603820803,1,1,d,40.0,16,correct,correct,1,0
64,320,5,1,1,1,1,0,3,12,50,12,62,k,4.66,0.61,4.09,10,12,32,-100,60,0.2414061291,0.370112844,1,1,k,50.0,16,correct,correct,1,0
