s1eeg_twin1,s1eeg_twin2,s1eeg_twin3,s1keep,s2eeg,s2keep,trlid,subid
-5.0162616910294036e-11,-3.9756733670588584e-11,-4.5087024055114576e-11,1.0,-7.789356751700302e-12,1.0,1,39
1.1988326243155002e-11,2.4058512853221156e-11,1.7875512714571476e-11,1.0,2.003454272101052e-11,1.0,2,39
-3.6335554400140336e-12,-2.3193391763459777e-11,-1.3470146760374871e-11,1.0,-1.883718633506827e-11,1.0,3,39
2.9038871152805777e-11,4.093554776294289e-11,3.47218457065378e-11,1.0,2.2960462436807747e-11,1.0,4,39
-6.521214625209932e-13,-1.2698310293324157e-11,-7.102160354559793e-12,1.0,-2.851510457419936e-11,1.0,5,39
-2.341144345724447e-11,-2.0482184488645015e-11,-2.2087151849008838e-11,1.0,-3.0990288583512168e-12,1.0,6,39
2.0392755934965086e-12,-1.3073842295927865e-11,-5.4156750944618814e-12,1.0,-1.3949124406937105e-11,1.0,7,39
4.580725985105292e-12,-1.0233567630271123e-11,-2.7826069088116754e-12,1.0,3.720465506499615e-13,1.0,8,39
3.332390433374945e-12,1.553284646470337e-11,9.303625730974438e-12,1.0,2.9835574226572035e-11,1.0,9,39
-1.2481243693062947e-11,2.656171314237398e-11,7.16756795398918e-12,1.0,1.4388227230363785e-11,1.0,10,39
1.639287176709094e-11,-1.819735531034927e-11,-9.025155190089743e-13,1.0,-8.037220438885014e-12,1.0,11,39
-3.485994850208011e-11,-2.802569357642661e-11,-3.1451178745783165e-11,1.0,-3.6189441672537015e-12,1.0,12,39
4.224062925075964e-12,3.3969479613637087e-12,3.744346654242554e-12,1.0,9.762370308346745e-13,1.0,13,39
-4.874940358332003e-13,-9.976555380886339e-12,-5.143180919736196e-12,1.0,-9.078277292425922e-12,1.0,14,39
3.1401930058193395e-12,7.323604349807327e-12,5.167245826917441e-12,1.0,2.2779483129655646e-11,1.0,15,39
-2.0594747190003646e-11,-7.533659588400986e-12,-1.4184381974818754e-11,1.0,-2.3154137581807416e-11,1.0,16,39
-9.195660932152815e-12,2.6200077815489652e-11,8.572755905118353e-12,0.0,-5.2718742192195636e-12,1.0,17,39
-6.446944427476804e-11,-9.743373738311983e-11,-8.086033664485993e-11,1.0,-8.588472348624966e-11,1.0,18,39
-2.405068475157464e-12,6.971801621093229e-12,2.305903057793679e-12,1.0,-1.891712723871946e-11,1.0,19,39
-1.56967412209346e-11,5.584800853323107e-12,-5.0661294793708725e-12,1.0,-7.64449057859962e-12,1.0,20,39
