s1eeg,s1keep,s2eeg,s2keep,trlid,subid
1.8846252097938976e-11,1.0,-5.6119505483205595e-11,1.0,1,33
-1.0075354862399501e-10,1.0,-1.8970156391124784e-10,1.0,2,33
5.3326762552108127e-11,1.0,1.8046333537769013e-12,1.0,3,33
-6.485880498903103e-12,1.0,6.077654994855624e-12,1.0,4,33
7.079484464059432e-11,1.0,1.4509798614706903e-10,1.0,5,33
1.0014994620086951e-11,1.0,2.4369378654238794e-12,1.0,6,33
1.4132476855855802e-10,1.0,-2.354421249468908e-13,1.0,7,33
-1.8086688076379557e-11,1.0,-1.1025371219690952e-10,1.0,8,33
6.707220756446485e-10,1.0,6.197232036035583e-11,1.0,9,33
-5.7095625949680365e-11,1.0,8.446617358693004e-11,1.0,10,33
-1.1654248892484266e-10,1.0,9.701053852522775e-12,1.0,11,33
-1.829079442034957e-10,1.0,-2.3101394817402243e-10,1.0,12,33
3.165109113437664e-11,1.0,-4.319397025965475e-12,1.0,13,33
-3.374779611867017e-10,1.0,-3.605388381331819e-10,1.0,14,33
2.3192265359543516e-11,1.0,1.2412598774338267e-10,1.0,15,33
-1.727318822626006e-11,1.0,-4.078346322789232e-12,1.0,16,33
-1.5413153248916625e-10,1.0,-1.5816262516856055e-10,1.0,17,33
1.1928467377748136e-10,1.0,3.603485770535013e-11,1.0,18,33
4.703453065215906e-11,1.0,-9.352385051076777e-11,1.0,19,33
-1.7481740986130336e-10,1.0,-1.0799152707950738e-10,1.0,20,33
-3.94251105106523e-11,1.0,-9.80458968988735e-11,1.0,21,33
2.511822543712613e-10,1.0,6.584688182946077e-11,1.0,22,33
4.193334229386446e-11,1.0,-5.556912953351934e-11,1.0,23,33
8.826556911530556e-11,1.0,1.173917940760485e-10,1.0,24,33
-7.941198148637828e-11,1.0,-1.1981255606476284e-10,1.0,25,33
1.1677394394721207e-11,1.0,6.758557879966621e-11,1.0,26,33
1.0600730642811332e-10,1.0,2.9375672475765616e-10,1.0,27,33
-1.5266125125352722e-11,1.0,-4.5259597014519056e-11,1.0,28,33
2.719266618505995e-10,1.0,6.443566807785272e-11,1.0,29,33
3.505974059258805e-10,1.0,3.0947600611893763e-11,1.0,30,33
1.1522302027289945e-10,1.0,-8.145969946574736e-12,1.0,31,33
1.922021725424892e-12,1.0,2.740995329976291e-11,1.0,32,33
5.6258049780522215e-12,1.0,5.382754014305069e-11,1.0,33,33
-1.0180551889846017e-10,1.0,-5.357065620438033e-11,0.0,34,33
-1.6195019826266972e-10,1.0,-1.7284310825006947e-10,1.0,35,33
3.0593774299327805e-11,1.0,2.2890129327554658e-11,1.0,36,33
-5.1835731263277924e-11,1.0,2.293130873291477e-10,1.0,37,33
-8.680712048824559e-11,1.0,-2.058192506487876e-11,1.0,38,33
5.4420548192277944e-11,1.0,-6.350723717507187e-12,1.0,39,33
2.2901830157340413e-10,1.0,5.759611920885883e-12,1.0,40,33
-1.2265448920411076e-10,1.0,-2.3228839147385053e-11,1.0,41,33
-1.5570706393648738e-10,1.0,-3.307252443921154e-11,1.0,42,33
5.825263374273036e-11,1.0,2.308452046039253e-11,1.0,43,33
1.918614905443825e-10,1.0,4.028609881871875e-10,1.0,44,33
-5.591008353720007e-11,1.0,-5.221074524895414e-11,1.0,45,33
5.73436916162481e-11,1.0,4.0622841615783456e-11,1.0,46,33
-2.0926997403061144e-10,1.0,-2.2066781109056713e-10,1.0,47,33
-1.7764419553768737e-11,1.0,-1.4920645753733336e-10,1.0,48,33
2.6597533966174333e-10,1.0,7.624706947944279e-11,1.0,49,33
1.5937764703617443e-10,1.0,1.124704688680727e-10,1.0,50,33
3.5352682248557834e-10,1.0,1.826462641147052e-10,1.0,51,33
-6.043424288700086e-11,1.0,-2.923911161422216e-11,1.0,52,33
7.0438570248282414e-12,1.0,3.576961361297651e-11,1.0,53,33
-3.091996454360226e-10,1.0,-1.9823627213204165e-10,1.0,54,33
2.819306829252114e-11,1.0,3.330766368181719e-10,1.0,55,33
1.4253557676619554e-10,1.0,1.37649920957739e-10,1.0,56,33
2.0953410878108178e-11,1.0,-9.810322301958759e-12,1.0,57,33
1.7910105957428212e-11,1.0,4.1783555622109026e-11,1.0,58,33
-6.882862616453966e-11,1.0,7.130064147639048e-11,1.0,59,33
-8.011096246650559e-11,1.0,-1.8759880073232195e-10,1.0,60,33
