s1eeg,s1keep,s2eeg,s2keep,trlid,subid
2.0280324578452677e-12,1.0,9.538298511161027e-12,1.0,1,19
1.3559246957861396e-11,1.0,9.794834384344822e-11,1.0,2,19
1.7775281978074986e-11,1.0,-3.216804924639729e-11,1.0,3,19
2.5152305367537674e-10,1.0,8.128242416127497e-11,1.0,4,19
-2.17853747924465e-10,1.0,-7.827660544790411e-11,1.0,5,19
1.2406587315335464e-10,1.0,-1.2065832085472448e-11,1.0,6,19
5.363038838107845e-11,1.0,-2.0042550203842876e-11,1.0,7,19
-1.2847293989910393e-11,1.0,-8.245650713006919e-11,1.0,8,19
6.005091749444922e-11,1.0,1.3446645031368745e-10,1.0,9,19
1.4190197765648803e-10,1.0,7.023121167881819e-11,1.0,10,19
8.298827068710556e-11,1.0,-7.304842719939336e-12,1.0,11,19
-2.249637839435306e-10,1.0,-3.2019293476266756e-10,1.0,12,19
-1.7965297846450125e-10,1.0,-5.042999628298825e-10,1.0,13,19
2.8896592605016326e-11,1.0,2.7190021672511927e-11,1.0,14,19
1.1342635381160149e-10,1.0,1.644107694169753e-11,1.0,15,19
3.463806870353706e-11,1.0,-3.2774641147056936e-11,1.0,16,19
2.2718369715682195e-13,1.0,1.0745376669991539e-11,1.0,17,19
-1.6433967348056403e-10,1.0,-1.7801646225077294e-10,1.0,18,19
2.940677354905491e-11,1.0,-9.38204884913338e-11,1.0,19,19
5.809278812438922e-11,1.0,-6.376045400801123e-11,1.0,20,19
-1.6624726938945316e-10,1.0,-2.1414315613282658e-10,1.0,21,19
2.045523330092079e-10,1.0,1.7509077361244397e-10,1.0,22,19
-3.398168485272228e-10,1.0,-4.3918410789007757e-10,1.0,23,19
1.3218707231198148e-10,1.0,-9.805125377276815e-11,1.0,24,19
4.2292278983055396e-10,1.0,-2.0355162918780632e-11,1.0,25,19
2.803852899034396e-11,1.0,-3.2325052890800967e-11,1.0,26,19
4.488473886998353e-11,1.0,1.0599269400808566e-12,1.0,27,19
-2.5790795579562133e-10,1.0,-2.0790857712409856e-10,1.0,28,19
2.701575177473128e-11,1.0,-2.307400509604736e-11,1.0,29,19
-2.0355070628870457e-11,1.0,-3.065299125130295e-11,1.0,30,19
1.6638709673546625e-10,1.0,7.044320434111541e-10,1.0,31,19
3.6168502714266436e-12,1.0,1.2609225516284767e-11,1.0,32,19
1.0409753172811557e-10,1.0,-2.6016796993445297e-12,1.0,33,19
-3.789941824477319e-11,1.0,-7.924455655742717e-11,1.0,34,19
5.7547562201700295e-11,1.0,-9.111821423251552e-12,1.0,35,19
-1.3847532932306248e-10,1.0,-1.0441889266854272e-10,1.0,36,19
-1.1894931561978334e-10,1.0,-3.1767201987194655e-10,1.0,37,19
1.125869979390371e-10,1.0,1.98505974204967e-10,1.0,38,19
-5.228987725736033e-10,1.0,-3.9908175888018813e-10,1.0,39,19
-9.081433590301262e-11,1.0,-1.1623256877245963e-10,1.0,40,19
2.5265973694389956e-10,1.0,1.0361842677216979e-10,1.0,41,19
-1.218514849397875e-10,1.0,-1.3752077881965632e-10,1.0,42,19
2.5942283241930494e-10,1.0,1.7502809615080128e-10,1.0,43,19
-3.3505270864111906e-11,1.0,5.154495197737874e-11,1.0,44,19
3.6554889821559916e-10,1.0,-7.307629134604629e-10,1.0,45,19
-1.1093686607102981e-10,1.0,-5.5637464034221507e-11,1.0,46,19
-6.3235091273358145e-12,1.0,-1.0325101532179181e-11,1.0,47,19
-6.383772225519349e-11,1.0,-4.412286237638053e-11,1.0,48,19
-1.7310764762742218e-10,1.0,-1.8812057305599447e-10,1.0,49,19
-3.4253705587617416e-10,1.0,-1.8482567399208977e-10,1.0,50,19
1.1352089692695058e-11,1.0,1.9129437028951897e-10,1.0,51,19
3.5722123814586424e-11,1.0,3.1308384053190475e-10,1.0,52,19
3.036329537934483e-11,1.0,3.2166136506265544e-11,1.0,53,19
1.857819328201703e-10,1.0,-8.399866858842382e-12,1.0,54,19
-4.209826175948864e-11,1.0,-5.314569572149024e-11,1.0,55,19
-1.2002781582152253e-10,1.0,-1.0463458498709628e-10,1.0,56,19
1.399976816868738e-10,1.0,9.669443656343431e-11,1.0,57,19
-1.2957346167818667e-10,1.0,2.6808507265202803e-11,1.0,58,19
1.6498974534131733e-10,1.0,-2.7426855415165374e-11,1.0,59,19
1.3623033319349426e-12,1.0,-1.3844921499575018e-11,1.0,60,19
1.8505897332475134e-10,1.0,1.1999650243098355e-10,1.0,61,19
-2.6187784912972633e-12,1.0,7.712641763155464e-11,1.0,62,19
-3.032073228475084e-11,1.0,-4.3935963281621325e-11,1.0,63,19
-2.0027122491544547e-10,1.0,-1.4764788570756615e-10,1.0,64,19
-7.412540698582229e-11,1.0,-9.114890251316356e-11,1.0,65,19
-1.2900198156573042e-10,1.0,-2.6587774927379204e-11,1.0,66,19
-2.5806678506667476e-10,1.0,-3.199589407599937e-10,1.0,67,19
-1.455391351506312e-10,1.0,-1.426437343553527e-10,1.0,68,19
1.5201206002586052e-11,1.0,-9.575692952669343e-12,1.0,69,19
-7.368267179109076e-11,1.0,-5.557920196994918e-11,1.0,70,19
-4.0705899877829565e-11,1.0,-8.130964798766414e-11,1.0,71,19
-2.6125930878955767e-10,1.0,-3.0059283965643976e-10,1.0,72,19
1.7132288246777783e-10,1.0,-7.914520899580026e-11,1.0,73,19
-7.452810577227729e-11,1.0,-6.553273023338033e-11,1.0,74,19
1.6969521265260652e-11,1.0,-3.665013398995528e-11,1.0,75,19
-2.8331526286764835e-11,1.0,4.775120132057692e-10,1.0,76,19
1.7398449954240652e-10,1.0,-2.1200484787314556e-11,1.0,77,19
1.4644722165816855e-10,1.0,3.816957441573876e-12,1.0,78,19
5.175777333863087e-10,1.0,-3.533118501594411e-10,1.0,79,19
5.585362424033906e-11,1.0,-7.642698083554399e-11,1.0,80,19
-7.641625451898263e-11,1.0,-2.4328965573656154e-11,1.0,81,19
-1.0903202225348933e-10,1.0,-2.1421286668603252e-10,1.0,82,19
1.1545726966767156e-10,1.0,-5.381929806331087e-11,1.0,83,19
9.049727516246562e-11,1.0,9.557954832630994e-11,1.0,84,19
4.9277108229441085e-11,1.0,8.10385990930892e-11,1.0,85,19
2.6626771880383503e-10,1.0,-5.129466767518963e-11,1.0,86,19
5.850303248253364e-11,1.0,1.674843257037467e-11,1.0,87,19
3.083594927553372e-11,1.0,-1.185811837951573e-11,1.0,88,19
1.1193145318768644e-12,1.0,4.59078837877645e-11,1.0,89,19
1.0488223874689558e-10,1.0,1.5496763941146662e-10,1.0,90,19
7.597741917857315e-11,1.0,1.4479181405772826e-10,1.0,91,19
-6.832064532467576e-11,1.0,-5.389010267706133e-11,1.0,92,19
3.9113374927900364e-11,1.0,-3.712485403146564e-11,1.0,93,19
-9.02231708254342e-11,1.0,-1.6513734026650554e-11,1.0,94,19
5.2552523434563016e-11,1.0,-7.929092985119456e-11,1.0,95,19
-1.99789546348843e-10,1.0,-2.677953215607877e-10,1.0,96,19
3.6415523489843197e-10,1.0,-1.4177269574401172e-10,1.0,97,19
