s1pupil_twin1,s1pupil_twin2,s1keep,s2pupil_twin1,s2pupil_twin2,s2keep,trlid,subid
-97.90570685372325,59.227974693171525,1.0,-35.85494662154747,-210.39246319426368,1.0,1,21
32.46261105343371,90.31202311605303,1.0,-96.72843168453701,-514.4750409711683,1.0,2,21
-724.1376779782164,-892.9874106413045,1.0,-1125.4646351096303,-2098.6897189933507,1.0,3,21
95.87571140388717,388.55541726057163,1.0,532.8201405140474,548.1575429438313,1.0,4,21
534.2664664969102,680.1354716200079,1.0,399.9953200109232,-111.37940832196006,1.0,5,21
-120.0789118584382,-352.1867656334806,1.0,89.88940493505264,325.34813937377345,1.0,6,21
-194.22185514073524,-600.1779337770829,1.0,-746.678328066685,-888.0324295074653,1.0,7,21
1007.4121766861766,1049.279950712618,1.0,794.5992584726422,645.7847311766162,1.0,8,21
10.112947122708755,-562.773168324488,1.0,-244.78157680997015,-469.1956908816067,1.0,9,21
-578.7406938760388,-1339.9560285671898,0.0,-930.5620093298087,-314.0467803593595,1.0,10,21
257.9924815297491,93.76530978978668,1.0,-619.6440190575399,-654.3518048269827,1.0,11,21
-213.338748942092,-365.2150885269947,1.0,-151.71423259860558,-419.1238658229347,1.0,12,21
1198.232280376496,1286.427925356721,1.0,405.91278204506295,-525.5275669145688,1.0,13,21
72.05914451533995,566.0716295429972,1.0,261.0311201772896,385.3035749398032,1.0,14,21
131.74315684452938,89.23640648527612,1.0,-180.06519714233997,-701.5397922226826,1.0,15,21
122.01101064366212,74.96652198594695,1.0,-130.28341599286907,-571.8066112992269,1.0,16,21
892.5901039608166,489.29390106072555,1.0,-291.5557757680961,-240.64655089875393,1.0,17,21
-366.99536830921244,-882.565173605655,0.0,-609.7964369060651,-881.535003850349,1.0,18,21
64.87126829673277,-120.02654310337749,1.0,-161.7572881796016,-601.7245445801705,1.0,19,21
-424.28890354450505,-138.78961598903902,1.0,-85.84958913557418,-327.0580904961537,1.0,20,21
827.1462470981937,877.7079135555044,1.0,1269.1032011534637,946.3912535673322,1.0,21,21
649.4505233998191,347.99260312155053,0.0,-742.6963748939592,-1116.918136151743,1.0,22,21
1024.2385575481342,1005.7714807467786,1.0,968.1933183905546,766.3356886157413,1.0,23,21
392.2114061921336,426.21241089165386,1.0,-913.6922129160741,-1357.7617822083625,1.0,24,21
-496.800555516863,-1397.6858479074192,1.0,-508.5696757466641,-610.4287876481602,1.0,25,21
-759.914540158353,-1288.1664638953625,0.0,-839.7265460222399,-1304.5185807278747,1.0,26,21
-1295.105844741303,-272.9822503724378,0.0,-6.057457649695565,696.8487274807835,1.0,27,21
-32.553308320355725,793.5373732300927,0.0,755.8452562431028,188.85419395487213,1.0,28,21
81.31317371210201,-331.6325676551974,1.0,-1312.0667631028737,-1039.5296084103243,1.0,29,21
1474.7156449408285,1636.910737518055,1.0,1150.465659550272,828.1529832754588,1.0,30,21
-85.09532230220714,-288.41770106797696,1.0,-508.889954969536,-1040.354189067243,1.0,31,21
425.6087160097823,-177.86596246218235,1.0,-668.5701829594854,-288.1650180573819,1.0,32,21
521.8957193960987,-332.75875365516356,0.0,-369.6850251808204,-240.28140365264878,1.0,33,21
-2494.2527201568896,-1546.3078755621912,0.0,-43.66466876175968,-113.46023343992447,1.0,34,21
1213.304957644217,120.7242558165865,0.0,1177.763763120298,598.7220536540544,1.0,35,21
