s1eeg_twin1,s1eeg_twin2,s1eeg_twin3,s1keep,s2eeg,s2keep,trlid,subid
-2.8719006935573446e-11,-2.7385564530112748e-11,-2.8158135255790604e-11,1.0,-3.6011890215248195e-11,1.0,1,27
-9.215759361505983e-12,-1.114155520567042e-11,-1.0345232700382039e-11,1.0,3.570237820547986e-11,1.0,2,27
-9.549216209692867e-11,-7.829826567534084e-11,-8.689101692922442e-11,1.0,-1.0606135929161474e-10,1.0,3,27
-5.111320215721367e-12,-1.0034631988789192e-11,-7.587645793286489e-12,1.0,-3.4123944950010274e-11,1.0,4,27
-6.069494417400428e-12,4.773096054974401e-12,-7.265734230419043e-13,1.0,3.495187222542585e-12,1.0,5,27
3.346111734039265e-11,8.655491912455296e-12,2.1035362215563472e-11,1.0,-1.4677615056055603e-12,1.0,6,27
-1.6785863608550738e-11,-2.884121875703302e-11,-2.2821741278952957e-11,1.0,-3.38704029080436e-11,1.0,7,27
-3.5653425323282224e-11,-3.352403963096483e-11,-3.4452445521436044e-11,1.0,-4.080019833424226e-11,1.0,8,27
1.3596883499346485e-11,3.1625607998693115e-11,2.2463838596601986e-11,1.0,7.0818157377895065e-12,1.0,9,27
1.3792598513111093e-11,4.565788431872379e-12,9.287213416946477e-12,1.0,-3.5978204555277706e-13,1.0,10,27
1.4019716334608222e-11,2.1009853099854225e-11,1.7587613109854978e-11,1.0,1.0527323653232193e-11,1.0,11,27
2.4540196342344138e-11,2.3017693159707342e-11,2.368773704975678e-11,1.0,3.269471411147299e-11,1.0,12,27
-2.4769829974590328e-12,-5.767389303222096e-13,-1.5433734524760756e-12,1.0,1.1380987753566226e-12,1.0,13,27
1.6363089564949115e-11,1.0043319912201503e-11,1.3220431425485385e-11,1.0,-2.4114205575021563e-12,1.0,14,27
2.960985101452859e-11,-9.064711281746623e-12,1.0345593395757947e-11,1.0,9.893600819031163e-12,1.0,15,27
2.4927044846726032e-11,3.4699058560440727e-11,2.977908524697685e-11,1.0,3.316221467000695e-11,1.0,16,27
1.5139628375816885e-11,4.8693745605312606e-12,1.0132875274679157e-11,1.0,-6.158602274302899e-12,1.0,17,27
1.5973187360802437e-11,4.02044404090666e-11,2.8235195319884184e-11,1.0,2.969187488653474e-11,1.0,18,27
