s1eeg,s1keep,s2eeg,s2keep,trlid,subid
-2.2913516376466232e-11,1.0,-1.6866649571284765e-11,1.0,1,22
-2.933265966678389e-10,1.0,-2.700642720676862e-10,1.0,2,22
1.5327573172003667e-12,1.0,-1.4366770686074658e-11,1.0,3,22
-9.134656762776002e-11,1.0,-1.2891110792974214e-10,1.0,4,22
1.9834855671599165e-10,1.0,2.199565933101862e-11,1.0,5,22
6.82237090104211e-11,1.0,7.340827707020615e-12,1.0,6,22
1.979701117914917e-10,1.0,-7.555793803403638e-11,1.0,7,22
-3.7825599354541074e-11,1.0,-5.75348149086326e-11,1.0,8,22
5.437350397664082e-11,1.0,3.6025531487822944e-11,1.0,9,22
9.361585599544154e-13,1.0,-3.739665633994027e-11,1.0,10,22
-1.9493710825761514e-11,1.0,-1.656874891772707e-11,1.0,11,22
-5.984201511781593e-11,1.0,-8.287169283121325e-11,1.0,12,22
-9.718800458250343e-12,1.0,8.728529482868573e-11,1.0,13,22
2.5847501801973442e-11,1.0,-1.3793817490957793e-11,1.0,14,22
-8.866674397242806e-11,1.0,1.1234283605996876e-11,1.0,15,22
-1.0314252428860012e-11,1.0,-2.5299301292569398e-11,1.0,16,22
1.3371617514288671e-10,1.0,1.507487068485741e-11,1.0,17,22
1.8155994109671399e-10,1.0,2.3063966664091467e-11,1.0,18,22
4.4059996254899504e-11,1.0,2.1812941130854914e-11,1.0,19,22
2.5667242017797102e-11,1.0,4.815445293175157e-11,1.0,20,22
-3.3289685383484694e-11,1.0,1.4574009828603336e-11,1.0,21,22
-1.4258366896586623e-11,1.0,-6.828035072049352e-11,1.0,22,22
1.3888485532107792e-11,1.0,1.3770550190820965e-11,1.0,23,22
-2.9274146175157836e-11,1.0,-4.7151656103662584e-11,1.0,24,22
1.4251086999697177e-11,1.0,1.91110575498972e-11,1.0,25,22
4.2641966295486685e-11,1.0,3.551439278748576e-11,1.0,26,22
4.9980297892334393e-11,1.0,4.847352271792082e-11,1.0,27,22
-8.853092944029178e-12,1.0,-8.286462021210147e-11,1.0,28,22
-1.6194886978718313e-10,1.0,-1.4738957760529518e-10,1.0,29,22
3.618002387720718e-11,1.0,2.771307180976471e-11,1.0,30,22
3.500966433856799e-11,1.0,5.996140254147856e-11,1.0,31,22
1.802215383901362e-11,1.0,8.37103794076668e-12,1.0,32,22
-6.11377025144027e-12,1.0,2.1018974017286748e-11,1.0,33,22
3.911771405246905e-12,1.0,-7.222819904000751e-12,1.0,34,22
-2.0536878641578497e-11,1.0,-7.525056677924488e-11,1.0,35,22
-1.1106420041232841e-11,1.0,7.044286404190269e-12,1.0,36,22
-6.673099969597923e-11,1.0,-6.493681411384507e-11,1.0,37,22
-2.52565040188753e-11,1.0,-1.781942987768343e-11,1.0,38,22
-1.3960838046514091e-11,1.0,3.9414341387450205e-11,1.0,39,22
3.8807666096166554e-11,1.0,2.069987426634588e-11,1.0,40,22
-1.8984784176042074e-10,1.0,-1.594684346424143e-10,1.0,41,22
2.3247659149062544e-11,1.0,-2.870870026238414e-11,1.0,42,22
-1.201258190994962e-10,1.0,-1.1205863260296496e-10,1.0,43,22
3.844782343319758e-11,1.0,3.749493033956009e-11,1.0,44,22
-8.175898150511396e-11,1.0,-9.639384039570537e-11,1.0,45,22
8.523342545637076e-11,1.0,1.0840062959484909e-11,1.0,46,22
5.623251402337055e-11,1.0,1.138204836121075e-11,1.0,47,22
-2.3739980629577292e-11,1.0,-5.3466405608820536e-12,1.0,48,22
-7.330869562856614e-11,1.0,-8.016447773627122e-11,1.0,49,22
-1.216172942607269e-10,1.0,-1.6619385941507862e-10,1.0,50,22
-1.1184271716883056e-11,1.0,-5.330300008696918e-13,1.0,51,22
4.5761181148335516e-11,1.0,4.130031412851585e-11,1.0,52,22
-1.2764339471732138e-10,1.0,-1.4163637329119134e-10,1.0,53,22
2.2682732466195814e-11,1.0,-1.6559491951078894e-11,1.0,54,22
-1.7065386583078943e-11,1.0,2.6279561560689047e-11,1.0,55,22
3.028192673638204e-11,1.0,4.407445236297222e-11,1.0,56,22
-2.158924981422718e-11,1.0,-2.252185360768818e-11,1.0,57,22
3.534325476120742e-11,1.0,6.998072281642502e-13,1.0,58,22
-2.1700768729338204e-11,1.0,8.453523403378301e-12,1.0,59,22
-6.165934383246472e-11,1.0,-4.360524777312742e-11,1.0,60,22
-1.0459028872707801e-11,1.0,-6.094040117630777e-11,1.0,61,22
-1.9166174112773822e-10,1.0,-1.9274357460267594e-10,1.0,62,22
-6.837929354839838e-13,1.0,-3.468838085043316e-11,1.0,63,22
-4.4438158023292766e-11,1.0,-3.8326155485207774e-11,1.0,64,22
-6.000629786430264e-11,1.0,-4.9341853282758055e-11,1.0,65,22
-2.590921783033541e-11,1.0,-4.296285802021348e-11,1.0,66,22
-1.5099050626295173e-11,1.0,-1.0285798111708049e-11,1.0,67,22
-1.6847437382614015e-12,1.0,6.349989188453805e-12,1.0,68,22
3.00286665919331e-11,1.0,5.3272162841761204e-11,1.0,69,22
-2.4328864910377645e-11,1.0,3.224524334090421e-12,1.0,70,22
3.4791513383097616e-11,1.0,3.1534523948664726e-11,1.0,71,22
-4.932008458392489e-11,1.0,-3.238462944445086e-11,1.0,72,22
