s1eeg,s1keep,s2eeg,s2keep,trlid,subid
-5.1101891513668106e-11,1.0,-3.1938728838219206e-11,1.0,1,25
1.0057385482577849e-10,1.0,-8.243752767758986e-11,1.0,2,25
-2.4796945586705653e-10,1.0,-2.570825136466712e-10,1.0,3,25
-1.2041668695795972e-10,1.0,-1.0351516273561746e-10,1.0,4,25
7.52974570439489e-11,1.0,9.593392672533152e-12,1.0,5,25
4.125456255095751e-11,1.0,6.331232873615073e-11,1.0,6,25
-1.9449430491403385e-14,1.0,-2.795075407013353e-11,1.0,7,25
-2.7762290575722262e-11,1.0,-2.1007336633680265e-11,1.0,8,25
-3.0395481957104625e-10,1.0,-3.794371031037449e-10,1.0,9,25
-2.4114936092467418e-12,1.0,3.639642684461494e-11,1.0,10,25
6.88515021878941e-11,1.0,4.654024807884824e-11,1.0,11,25
1.7128841553408374e-11,1.0,4.783950123612801e-12,1.0,12,25
-2.021088493983436e-10,1.0,-7.4611253379401e-11,1.0,13,25
1.1312057273209046e-11,1.0,-1.5752731968383836e-11,1.0,14,25
-1.1557908583904919e-10,1.0,-3.065267608016207e-11,1.0,15,25
-2.6821201284487184e-11,1.0,1.401945294775988e-10,1.0,16,25
-2.443244441687054e-11,1.0,-5.174602623475453e-11,1.0,17,25
1.5536624479090717e-10,1.0,2.776288832122336e-10,1.0,18,25
-3.4669947223225204e-12,1.0,1.4873212547747958e-10,1.0,19,25
-7.835705164007722e-11,1.0,-7.825770052807773e-11,1.0,20,25
8.174982180769236e-11,1.0,-3.4788945136298085e-12,1.0,21,25
-4.282860371737254e-12,1.0,-5.882474003250735e-11,1.0,22,25
4.0507994240735294e-11,1.0,1.7195351368509478e-10,1.0,23,25
-3.748014316730681e-11,1.0,-3.847061060957194e-11,1.0,24,25
3.8473753628263467e-10,1.0,1.2316610702069234e-10,1.0,25,25
-3.741829708076044e-11,1.0,-3.9904274833606485e-11,1.0,26,25
1.617217389156561e-11,1.0,-9.703203755973335e-12,1.0,27,25
-6.820798897249031e-10,1.0,-6.961184465491445e-10,1.0,28,25
2.8208882801204608e-11,1.0,1.8847472456875126e-11,1.0,29,25
2.9872537010423846e-11,1.0,5.071250454970661e-12,1.0,30,25
-6.635605965508138e-12,1.0,2.92065409200287e-12,1.0,31,25
1.9352063260171997e-10,1.0,-2.186647794327846e-11,1.0,32,25
1.3085820046620493e-11,1.0,3.787625779354885e-11,1.0,33,25
-1.9906444920025568e-10,1.0,-1.9436895543141273e-10,1.0,34,25
2.4540530194531476e-11,1.0,2.357540604447576e-11,1.0,35,25
1.6134791127405392e-11,1.0,2.287380069064758e-11,1.0,36,25
