s1pupil_twin1,s1pupil_twin2,s1keep,s2pupil_twin1,s2pupil_twin2,s2keep,trlid,subid
41.74636307212168,-92.77699574627405,1.0,183.12356656589753,225.07464061919816,1.0,1,22
289.2704712090472,350.0620264722227,1.0,449.77253299251277,-87.73172575005327,1.0,2,22
-267.64829734196786,-433.7931165032116,1.0,-145.16089437066157,-55.44995084055011,1.0,3,22
-111.72052453654548,-264.08468664044267,1.0,-189.86014552222724,-42.256143917732054,1.0,4,22
-305.65438465397125,-808.8057051948431,1.0,-521.2344992817017,-365.13587044855785,1.0,5,22
-485.38835898823265,-363.18195355562716,1.0,-745.6350888011121,55.719226052602345,1.0,6,22
236.9035093734229,172.12352451115189,1.0,70.10185561544317,171.41657917671742,1.0,7,22
-770.4780568756509,-780.935301218058,1.0,-790.5938053216846,-58.28820736299405,1.0,8,22
-627.9059018538981,-240.47360369393758,1.0,-341.6842199476512,-377.3066010885827,1.0,9,22
-853.5597291428959,-441.917286631513,1.0,-1146.538028551456,-747.3926376772602,1.0,10,22
-8.191686717991832,260.4560541710916,1.0,113.45778996520013,513.1895137115162,1.0,11,22
-264.9872912696824,175.90543602170456,1.0,-598.541409639017,-729.2504117623998,1.0,12,22
-1092.994704833441,-463.4767440887993,1.0,-1067.4133521491487,-652.5046077508825,1.0,13,22
-657.3030580556898,318.3634798002592,1.0,-368.6435628554171,573.7017548879289,1.0,14,22
105.83026630457074,507.2906403877764,1.0,-389.05805464541885,440.16609529570553,1.0,15,22
-1128.7794782159222,-548.3285556994517,1.0,-1042.2001897909427,-515.2219363044046,1.0,16,22
509.0435628542883,582.963238172553,1.0,430.1492022352128,250.0698687087325,1.0,17,22
1109.9934339309564,425.1197316706896,1.0,776.7317374131684,410.6735664520575,1.0,18,22
994.8932084913743,215.49837193603497,1.0,459.39415728434653,83.37251997905793,1.0,19,22
141.1192894886422,199.81463084552206,1.0,317.31531841455694,479.81110958923193,1.0,20,22
437.4103602780047,394.6975946181704,1.0,782.8488605143201,451.33956539177075,1.0,21,22
316.905660878613,169.39918151020711,1.0,479.5297935674845,317.52436489707736,1.0,22,22
-954.6103189432662,-484.23198138513675,1.0,-1305.9602354144722,-878.4539843090711,1.0,23,22
-730.2547921718191,-257.30883550451085,1.0,-286.8876606888672,-808.3587028874324,1.0,24,22
15.46892905107173,-171.62882793189536,1.0,320.9528949903022,162.7240501734031,1.0,25,22
330.1864876933487,923.6854361018162,1.0,557.9171507776437,151.978867703684,1.0,26,22
1068.0183570977163,273.2732284642009,1.0,671.7007381540606,1164.1239870815123,1.0,27,22
-309.3601161227048,341.5922916596661,1.0,154.28871556349586,-198.69638380784073,1.0,28,22
481.453976296118,89.60853009336631,1.0,12.072105690026326,237.63209869990422,1.0,29,22
-285.6473395467332,-38.49795993864469,1.0,-1004.3577172551212,-1656.4455076599327,1.0,30,22
324.3470721802087,-144.2374862489714,1.0,-98.72828166184347,482.71005055770974,1.0,31,22
-412.38406602785454,-622.9245669932333,1.0,-1759.0891040162853,-825.3061258223972,1.0,32,22
-1193.7234009436402,-773.6936670025742,1.0,-1691.523456856831,-784.1995177241163,1.0,33,22
60.08260822652557,-738.282065928758,1.0,216.628349820838,-959.3803713964801,1.0,34,22
328.11215639400666,971.8852706991211,1.0,-153.15116764454763,141.80819743219755,1.0,35,22
106.33977304430721,354.0492486205857,1.0,-563.6861581091591,-286.3616482581032,1.0,36,22
