s1eeg_twin1,s1eeg_twin2,s1eeg_twin3,s1keep,s2eeg,s2keep,trlid,subid
8.192272492735258e-11,2.87114142339632e-11,5.5162088419613884e-11,1.0,9.636732500575675e-11,1.0,1,11
6.23323486606776e-11,-1.033552033199017e-11,2.6256936577674638e-11,1.0,9.209071350993209e-11,1.0,2,11
-4.756089065422025e-10,-4.5201177570894473e-10,-4.636720532426018e-10,1.0,-1.9067078411622163e-10,1.0,3,11
-4.9805315065395824e-11,2.011530763779015e-10,7.639073070053856e-11,1.0,-1.7699196260402143e-11,1.0,4,11
-3.9734477078950486e-10,-3.755938402411424e-10,-3.865424518190143e-10,1.0,-2.819569191687869e-10,1.0,5,11
-1.1856321397453836e-10,-1.269398856935728e-10,-1.22808518813257e-10,1.0,-1.187524921886497e-10,1.0,6,11
-1.7392282665711445e-12,-1.9423037733532152e-11,-1.0393616247819676e-11,1.0,1.9334241437462978e-10,1.0,7,11
-3.803917346860037e-10,-3.9052003480593274e-10,-3.8570820516647767e-10,1.0,-3.5185928878130747e-10,1.0,8,11
-2.8157885151131708e-11,-1.9962575026046807e-11,-2.383036440884318e-11,1.0,7.287959689844885e-11,1.0,9,11
-1.0620790555816275e-10,-5.88167925512354e-11,-8.263602586040815e-11,1.0,-1.1199027462555073e-11,1.0,10,11
5.649679239083155e-11,-3.355056860148893e-11,1.176964003751087e-11,1.0,1.5134075756684217e-10,1.0,11,11
-5.421962765359263e-12,-3.974583715464021e-12,-4.5140970566127894e-12,1.0,-2.0824329569485624e-11,1.0,12,11
4.880466377803674e-11,3.656258707726103e-11,4.256156366033245e-11,1.0,5.950469450886199e-11,1.0,13,11
-1.0792702226850484e-10,-1.1039637039989808e-10,-1.0896264953185262e-10,1.0,-4.1166782448537616e-11,1.0,14,11
7.69678070324451e-11,2.9104366169573494e-11,5.3195925276622924e-11,1.0,3.04821272302104e-10,1.0,15,11
-1.3104051291360675e-10,-1.64650648737579e-10,-1.4775302679015852e-10,1.0,8.704037729051631e-11,1.0,16,11
-3.331436383305044e-10,-2.220612463910716e-10,-2.8025413750088996e-10,1.0,-2.711436406085025e-10,1.0,17,11
6.001903516817312e-11,3.738710968107789e-11,4.876904303685934e-11,1.0,1.5310025804435658e-10,1.0,18,11
3.210517650402325e-11,1.1401116673460937e-10,7.312469907354946e-11,1.0,3.909368250407219e-10,1.0,19,11
2.6740399231738413e-11,-2.5077008530356702e-11,9.527488545719265e-13,1.0,6.11308921955086e-10,1.0,20,11
-4.993716271700297e-10,-4.371731964001568e-10,-4.682311916319527e-10,1.0,-4.4570256601638466e-10,1.0,21,11
-3.787627211055435e-10,-3.3244238626251674e-10,-3.5544831967244983e-10,1.0,-1.6172140022597165e-10,1.0,22,11
-9.164260723794593e-11,-1.5000779499539688e-10,-1.2093786147633684e-10,1.0,-3.1174475451709825e-11,1.0,23,11
7.020201508517495e-11,6.516319338391738e-12,3.836798114099231e-11,1.0,3.6661461943864405e-10,1.0,24,11
-4.2090420917166196e-10,-4.0522896952585875e-10,-4.128718873156297e-10,1.0,-3.23108730860567e-10,1.0,25,11
-2.743584642412887e-11,-2.1002260731365462e-11,-2.3938175412865392e-11,1.0,9.117907568276787e-11,1.0,26,11
-1.0710975432939421e-09,-1.0469615276586856e-09,-1.0591820819460714e-09,1.0,-9.136828772067855e-10,1.0,27,11
4.756492577323539e-10,-1.5572835395322338e-11,2.3122954016606166e-10,1.0,-3.38133333713944e-11,1.0,28,11
2.9785521492379325e-11,1.0045881959803518e-11,1.996195985711798e-11,1.0,8.984779712238152e-11,1.0,29,11
-2.9745158686978485e-11,-8.744625895147964e-12,-1.892365645052165e-11,1.0,-2.332720403906934e-11,1.0,30,11
-2.2053293734857768e-10,-4.371785227132505e-10,-3.285691932244793e-10,1.0,-3.7497282920437006e-10,1.0,31,11
3.376435472623549e-11,7.658935456073928e-11,5.541333145156774e-11,1.0,1.8088470051186776e-10,1.0,32,11
4.001207903557659e-11,-2.336542038062447e-11,8.60153857999637e-12,1.0,-4.884060949195227e-11,1.0,33,11
-2.7111979767257583e-11,1.2423809578568724e-10,4.943314245437568e-11,1.0,1.1784028556609858e-10,1.0,34,11
1.960840247495529e-11,1.8690292913977233e-11,1.9327613557287894e-11,1.0,1.0338041526520164e-10,1.0,35,11
4.918944270956291e-11,1.1638813678236292e-10,8.27438492736758e-11,1.0,3.032900635460999e-10,1.0,36,11
-5.2685035874688394e-12,-5.2614766556634434e-11,-2.8701077103858164e-11,1.0,-2.547914956716132e-11,1.0,37,11
-4.544438127922685e-10,-4.3163785228997467e-10,-4.4283822163101496e-10,1.0,-1.4883540302450237e-10,1.0,38,11
-2.06127617059203e-10,-2.2572565125962683e-10,-2.1575245642376114e-10,1.0,-4.1466892912461676e-11,1.0,39,11
-1.4977451013568468e-10,-1.0926064561026503e-10,-1.2929217500777386e-10,1.0,-3.867505843608185e-11,1.0,40,11
-5.57671289598631e-11,1.046746509971497e-10,2.4642810695993307e-11,1.0,8.7023579889388e-11,1.0,41,11
5.108376932956288e-12,-1.772622976026305e-11,-5.668783472007035e-12,1.0,1.950378249670152e-10,1.0,42,11
-4.726531626733392e-11,-1.3628228808699267e-10,-9.155359608709587e-11,1.0,2.04218155527576e-11,1.0,43,11
-1.3793650389703218e-10,-1.1338761095575322e-10,-1.2557775601097389e-10,1.0,3.7888802386882607e-11,1.0,44,11
-3.972865895340966e-10,-4.500043558890294e-10,-4.2352848365885724e-10,1.0,-2.837996206271911e-10,1.0,45,11
3.21171957502038e-12,2.979978997202132e-11,1.588328066774043e-11,1.0,1.3350897314434396e-10,1.0,46,11
2.1077623160926952e-11,-2.2473784741315657e-11,-6.552770587210172e-13,1.0,2.6771147459014553e-11,1.0,47,11
-7.28757965203178e-10,-6.797928612443269e-10,-7.04429084678946e-10,1.0,-3.39469106242332e-10,1.0,48,11
-2.3504354182043356e-11,-1.4287669211959156e-11,-1.9405956241640197e-11,1.0,-6.69565716927717e-13,1.0,49,11
-1.4213383570678724e-10,-1.7948578158186607e-10,-1.6067877568226612e-10,1.0,8.256796049336885e-12,1.0,50,11
