s1pupil_twin1,s1pupil_twin2,s1keep,s2pupil_twin1,s2pupil_twin2,s2keep,trlid,subid
-105.13380704198833,76.78008368159023,1.0,-151.47684572042192,-546.0914323466768,1.0,1,17
-42.27299588311074,348.53499246704473,1.0,414.37570386506286,502.9724753899855,1.0,2,17
-439.95382871665186,107.19049300237798,1.0,-218.33982597650146,108.85524908556832,1.0,3,17
-578.8829910391395,-245.24719039037114,1.0,-220.42965457231765,-350.049075042105,1.0,4,17
-456.22911140078634,-118.63889437459254,1.0,-107.8179208386984,-725.9723839714851,1.0,5,17
635.3141514696082,592.4893076480598,1.0,1024.9627036801724,919.6735467060686,1.0,6,17
-745.3636531919843,-222.46994067064026,1.0,-447.58408353150344,-1114.6752326614337,1.0,7,17
289.8365305436634,-273.07018221465,1.0,409.91071350725946,596.9987493740693,1.0,8,17
-389.0930379376064,-292.4037141299382,1.0,-1111.6391844009174,-79.21492363159435,1.0,9,17
-586.2878451452153,-211.1945064239845,1.0,-85.99628623359237,-656.0307055343422,1.0,10,17
-149.01063185112133,148.15617519631644,1.0,-257.93893699417777,-954.2215803298141,1.0,11,17
-780.6429877410226,-333.09026054435924,1.0,-420.62525980984793,-1461.838198512808,1.0,12,17
75.42142435058692,638.8386247652186,1.0,-133.6050029148086,172.0570391413242,1.0,13,17
527.5751433452659,-260.59786723646056,1.0,248.70666869471665,622.1883986356456,1.0,14,17
-575.4238962606712,130.69316654752842,1.0,-745.3723799095164,113.23633416578923,1.0,15,17
-1266.8804391072554,-666.0101820177537,1.0,-1118.0415100166167,-956.285601792993,1.0,16,17
-429.5687289029477,-524.6581339723311,1.0,38.70253171004768,-312.59555045010615,1.0,17,17
-881.0612100609051,-229.96548506346915,1.0,-676.3827185135175,-766.9891872125056,1.0,18,17
-599.2694652374123,-346.2450827357615,1.0,-541.6922040660068,-315.3211057249327,1.0,19,17
-565.5255635612714,-836.7783465799837,1.0,-576.688664640482,1.802042366298731,1.0,20,17
305.92104305837444,-289.42105356310043,1.0,7.84192207141082,391.27050202648064,1.0,21,17
-684.4493569663546,-668.9089398089908,1.0,-1013.9994249023811,-664.4295111094274,1.0,22,17
212.47482310042233,140.0179283397364,0.0,17.093326522973292,-42.08682593536678,1.0,23,17
-167.32779205565163,-131.2799461396978,0.0,-519.0953418807359,-551.5238142128269,1.0,24,17
54.19566551351276,-264.88944663428356,1.0,-335.80235287930617,-537.5341107975736,1.0,25,17
-327.22187220816,-372.45889707934526,1.0,-422.5837507268369,-297.22868571978864,1.0,26,17
-327.7383748371062,-420.4667601729303,1.0,-415.2497351752715,-765.7977559766551,1.0,27,17
-819.7321989943767,-516.3487649391616,1.0,-811.5624257870091,-1068.5720910811935,1.0,28,17
-130.0048629220915,-185.66772204469913,1.0,-124.96053508042672,505.9307554508747,1.0,29,17
-425.8009047759286,-224.7977997914343,1.0,-427.612004934492,-201.90769434628203,1.0,30,17
-2.9293799673123844,-277.14478139898864,1.0,36.959948960628175,106.80759534753568,1.0,31,17
183.31756453605323,-190.6008700866318,1.0,-82.28454965961929,-226.22721743346867,1.0,32,17
156.16966165430804,189.36748840234904,1.0,93.14831897103866,-261.58484930468677,1.0,33,17
-357.92792760432957,-432.35585444269196,1.0,-157.40766326951893,-211.73221364913357,1.0,34,17
-440.3881900357741,-326.87996945151116,1.0,-311.5136957954824,-190.17674033944755,1.0,35,17
-291.2478195958001,-381.838438242193,1.0,-62.642584475992074,-118.7792237817307,1.0,36,17
-652.9916635859507,-654.1914740011969,1.0,-571.1488844919587,-923.8348851606194,1.0,37,17
-573.2232904674348,-224.28022811417247,1.0,-199.6226281722592,-241.70218180714286,1.0,38,17
-341.67512126484775,-355.49112255463797,1.0,-159.39080086664703,-363.25428437420254,1.0,39,17
272.98059269792606,-149.05721285445,1.0,-52.20989410479477,335.49522140308636,1.0,40,17
1287.0937213140817,562.3432473740637,1.0,892.0355463118418,1031.4852738811205,1.0,41,17
-616.9560428220005,-539.0169043849322,1.0,-247.10502186945817,-678.5164802154638,1.0,42,17
-214.02735203367982,518.5499850308765,1.0,837.3883023297075,488.2582042270686,1.0,43,17
-732.0661761181616,-374.9379025948914,1.0,-436.97822037109654,-370.34169580567067,1.0,44,17
34.26096746235572,746.2013500415777,1.0,140.4509979334114,386.4379869830122,1.0,45,17
-99.28056581152264,427.681465718468,1.0,414.7045694021315,99.22939110345186,1.0,46,17
-670.346863436881,-467.511002259315,1.0,-588.2366593352889,-584.3637986433358,1.0,47,17
-772.2113920892185,-564.6717677747522,1.0,-321.0635354745669,-322.3145347238473,1.0,48,17
-356.693404638045,-257.4998087745638,1.0,103.85319447643765,-127.89378677611467,1.0,49,17
-591.8316060293531,-652.1459694533951,1.0,-738.6363490865883,-910.6896409808346,1.0,50,17
33.928155889657155,533.5514212559323,1.0,24.590132439901623,206.88966542787543,1.0,51,17
97.66112934297851,23.961954346398866,1.0,-124.67160046935452,-216.70840128981092,1.0,52,17
-421.121590493868,-545.4152783643268,1.0,-234.15177291048045,-377.30103233036095,1.0,53,17
-278.7837740111617,153.0616243643093,1.0,233.96758830953567,407.91952710706653,1.0,54,17
-1009.85146849396,-585.4410215516918,1.0,-893.0682577376147,-567.8325131993048,1.0,55,17
-673.0571341345412,-654.3357519388885,1.0,-453.60163883530385,-837.2048584752471,1.0,56,17
-413.75391517305775,-475.28410235778614,1.0,-412.4848597873972,-385.87597176855115,1.0,57,17
