s1eeg_twin1,s1eeg_twin2,s1eeg_twin3,s1keep,s2eeg,s2keep,trlid,subid
9.39217590842898e-11,1.8046612376367386e-11,5.605989266283229e-11,1.0,7.121555985908634e-11,1.0,1,14
1.068124864093112e-11,-2.285154420711047e-11,-5.920281903867719e-12,1.0,-2.355878067173664e-11,1.0,2,14
7.050011247009566e-11,1.1969739466777488e-11,4.153388808735233e-11,1.0,-2.015209656812011e-11,1.0,3,14
5.275942478472241e-11,-3.1852819997807813e-12,2.498433771319768e-11,1.0,1.6788204894593675e-11,1.0,4,14
3.874297541905407e-11,-8.857208421046429e-11,-2.450395487316847e-11,1.0,-8.131103175452546e-11,1.0,5,14
1.4694527082906926e-10,4.1585657514324544e-11,9.461894593352632e-11,1.0,1.702757061491319e-11,1.0,6,14
-3.326392111507592e-11,-6.7001264707196615e-12,-1.9930097038789446e-11,1.0,-2.272054080619897e-11,1.0,7,14
1.0144090748039335e-10,1.0371758528993879e-11,5.618944438039339e-11,1.0,1.7131824670316447e-10,1.0,8,14
-2.620073276647785e-11,-3.0207269939957285e-11,-2.7946784971381606e-11,1.0,-6.780050370687483e-11,1.0,9,14
1.5970702249613715e-10,1.3054971375547895e-11,8.675243407290998e-11,1.0,5.554863753560186e-12,1.0,10,14
3.5978434571968215e-11,-7.114200953950781e-11,-1.7449853051644173e-11,1.0,-6.187108022467393e-11,1.0,11,14
1.5503257839549458e-10,5.511117074560167e-11,1.0501513295099726e-10,1.0,7.996336781009729e-13,1.0,12,14
8.039353099431733e-11,1.2849987045104241e-11,4.684972839815811e-11,1.0,1.5590596097508166e-11,1.0,13,14
-3.74319587491864e-11,-1.0160167234838203e-10,-6.94424220108066e-11,1.0,-1.2979422386510412e-10,1.0,14,14
-3.210706520349242e-11,-3.933106738850417e-11,-3.5696831079700794e-11,1.0,-2.0296742086579744e-11,1.0,15,14
1.3693441019501081e-10,2.583548370573207e-11,8.148956015256289e-11,1.0,8.997187905189623e-12,1.0,16,14
2.0094522446636196e-11,-6.254524149396232e-11,-2.1067711498312586e-11,1.0,-4.695270990163715e-11,1.0,17,14
9.83052172637516e-11,5.766482499596489e-11,7.765035518258455e-11,1.0,7.618277911403172e-12,1.0,18,14
1.5159023680631625e-10,5.961941317740367e-11,1.056647297735665e-10,1.0,2.986434052220615e-11,1.0,19,14
-6.078777214613864e-11,-1.714891241675629e-10,-1.1579639744841762e-10,1.0,-1.6839031794524415e-10,1.0,20,14
3.712958608853439e-11,-8.145939423766796e-11,-2.2187152828809173e-11,1.0,-8.334826647022406e-11,1.0,21,14
-7.191408463691154e-12,-3.723971188156072e-11,-2.191421617741459e-11,1.0,-6.487305612333141e-11,1.0,22,14
1.817805142372145e-10,4.2552526358853706e-11,1.126517897818545e-10,1.0,1.6080930250110212e-11,1.0,23,14
-2.3116934506649124e-11,-1.495854352067599e-10,-8.605351696719717e-11,1.0,-1.1951192370712746e-10,1.0,24,14
1.0885237261285121e-11,2.4612186809302092e-12,6.973150771463681e-12,1.0,3.1044052228733754e-12,1.0,25,14
1.6458837355480227e-10,2.6000491221866048e-11,9.551944678751319e-11,1.0,1.473759750240448e-11,1.0,26,14
2.5897569192038385e-11,-6.201739516767748e-12,9.832433348415612e-12,1.0,-3.383535223174105e-11,1.0,27,14
