s1eeg_twin1,s1eeg_twin2,s1eeg_twin3,s1keep,s2eeg,s2keep,trlid,subid
-1.521289082596815e-10,-1.246978723800414e-10,-1.3840503091690771e-10,1.0,-1.401373002696572e-10,1.0,1,24
6.873979028499459e-12,-4.614456405827245e-11,-1.987602373902227e-11,1.0,-3.552864016714458e-11,1.0,2,24
1.2462210301371909e-11,8.867175703397391e-11,5.0507553021447415e-11,1.0,-3.2491369346888e-11,1.0,3,24
-1.749955080645416e-11,-8.959668833435495e-12,-1.3174111248424972e-11,1.0,1.5383541235573353e-11,1.0,4,24
-1.5402147663979706e-10,-1.7623230334050472e-10,-1.6515570217246342e-10,1.0,-1.730772378141199e-10,1.0,5,24
-2.7199105037349532e-11,-1.2120329422682813e-12,-1.4847465326655216e-11,1.0,-2.0163378296975362e-11,1.0,6,24
-3.1332323379629854e-12,3.692676852186856e-12,8.7039000965461e-14,1.0,2.283036552381998e-12,1.0,7,24
-1.4150714000554613e-10,-9.700081194660493e-11,-1.1895845321649436e-10,1.0,-1.0679821728093187e-10,1.0,8,24
-8.784740215889771e-11,-1.3029641211992798e-10,-1.0913507276578635e-10,1.0,-8.953742093207936e-11,1.0,9,24
-1.1149623131870848e-10,-9.302329336532635e-11,-1.021425199850717e-10,1.0,-1.069778547550904e-10,1.0,10,24
-1.3117715368405633e-10,-1.0513214348467713e-10,-1.1803126175769284e-10,1.0,-1.1161473997967481e-10,1.0,11,24
-2.0092828102360043e-10,-1.207791818453386e-10,-1.6075966224888065e-10,1.0,-8.96123081160915e-11,1.0,12,24
-9.040294086359684e-11,-6.998677657421166e-11,-8.009826966392546e-11,1.0,-8.482161311466975e-11,1.0,13,24
-7.620784654231017e-11,-4.970290147355147e-11,-6.338383866155885e-11,1.0,-5.362983505178837e-11,1.0,14,24
-5.632844025965972e-11,-9.255984576087641e-11,-7.418084223148412e-11,1.0,-9.013636826909106e-11,1.0,15,24
-1.7695184356278645e-12,-4.37772099555854e-11,-2.2740918274674777e-11,1.0,-2.5450711648935682e-11,1.0,16,24
-3.823661673210767e-11,-1.3265575462054193e-10,-8.613774115062281e-11,1.0,-1.3549845446626328e-10,1.0,17,24
-2.6406268219625486e-10,-2.227620603108875e-10,-2.4314599567238253e-10,1.0,-2.522856877888503e-10,1.0,18,24
4.557919877339784e-11,-1.3535883155800977e-11,1.611239483221245e-11,1.0,5.549852972816549e-11,1.0,19,24
-7.555861456386918e-11,-3.3753241663198786e-11,-5.4562915350274515e-11,1.0,-6.190072773641666e-11,1.0,20,24
6.931457677524527e-11,5.9765745195827e-11,6.447673726666679e-11,1.0,7.201375966283395e-11,1.0,21,24
-2.9110856945355673e-13,4.489934318766266e-12,2.0533724762482357e-12,1.0,-1.516906756638286e-11,1.0,22,24
-1.1381029527804854e-10,-3.470999096995784e-11,-7.397273961188587e-11,1.0,-1.152644260030216e-10,1.0,23,24
7.551758942051468e-12,1.0282719862627114e-10,5.529451466208835e-11,1.0,2.374440798784344e-10,1.0,24,24
3.68634327583354e-11,-5.7796732562738393e-11,-1.0272269060305735e-11,1.0,-4.6876660186558795e-11,1.0,25,24
-1.8841794952006243e-11,-6.603085482271486e-11,-4.2915696897271286e-11,1.0,-2.8223238416364207e-11,1.0,26,24
-2.849007319579623e-10,-2.6482174810637064e-10,-2.749090092871402e-10,1.0,-2.896458170203925e-10,1.0,27,24
-4.8542747225529156e-11,-4.2026128981406696e-11,-4.515814676153421e-11,1.0,-4.469638147767568e-11,1.0,28,24
-1.237521523270016e-10,-1.0402138771177633e-10,-1.1383976182337852e-10,1.0,-6.726011335232276e-11,1.0,29,24
-1.1187548931692496e-10,-8.716067088547297e-11,-9.999621676654029e-11,1.0,-1.158306447006175e-10,1.0,30,24
3.5664545876566006e-11,1.419833085762441e-10,8.92083509209383e-11,1.0,5.286880903581405e-12,1.0,31,24
-3.0437317758273667e-10,-2.679557888808341e-10,-2.8756034348427386e-10,1.0,-3.2307144035268986e-10,1.0,32,24
3.600127681462132e-11,7.64217810461601e-11,5.6497432975430594e-11,1.0,4.666962739933156e-11,1.0,33,24
-8.060144674524277e-11,-6.590213364578344e-11,-7.354242128701565e-11,1.0,-7.991246140906713e-11,1.0,34,24
-2.391267314736585e-11,-2.5507520040768033e-11,-2.4690864351348027e-11,1.0,3.382702664248846e-11,1.0,35,24
-2.268060412820078e-10,-1.9404202406589563e-10,-2.1057734239932585e-10,1.0,-1.5948492303984367e-10,1.0,36,24
-2.4218315550250183e-11,-1.2244944222948316e-11,-1.817002101197251e-11,1.0,-3.660197218478012e-11,1.0,37,24
-3.2879258082252366e-10,-3.112258591436579e-10,-3.198606092520157e-10,1.0,-3.5499140573336477e-10,1.0,38,24
-4.267260209812113e-10,-3.4826197415611226e-10,-3.8722671545415014e-10,1.0,-3.479467641526698e-10,1.0,39,24
-2.7623224985086304e-10,-2.536086498429186e-10,-2.6495494070420696e-10,1.0,-2.2858452470426897e-10,1.0,40,24
-7.296201863705642e-11,-8.416369596679141e-11,-7.829209827068164e-11,1.0,-5.926185259991148e-11,1.0,41,24
-1.5451765135818794e-10,-1.7413054799182115e-10,-1.642924985780424e-10,1.0,-1.5318397008574692e-10,1.0,42,24
4.1901164863290476e-11,2.8649379873547123e-11,3.521475180115144e-11,1.0,2.052886975493404e-10,1.0,43,24
3.790277088493733e-11,3.733829294547861e-11,3.7561080331013726e-11,1.0,4.562861971966187e-11,1.0,44,24
-1.651965273200333e-10,-3.742243104336048e-11,-1.0091099772961983e-10,1.0,-1.7646812369346068e-10,1.0,45,24
-1.3583650633298166e-11,-3.056318003769368e-11,-2.2112188605304236e-11,1.0,-5.4008055503771855e-11,1.0,46,24
-1.0185295104630702e-10,-5.2802191229999805e-11,-7.711609798570243e-11,1.0,-8.427180788495378e-11,1.0,47,24
-6.009082842136462e-11,-1.3409493617543105e-11,-3.6660004503570375e-11,1.0,9.887483821528664e-11,1.0,48,24
7.849960137210686e-11,-5.83757576324123e-11,1.013690230595587e-11,1.0,-2.965469512533205e-11,1.0,49,24
4.5705118924047995e-11,-1.0234463980118261e-10,-2.7952251566461932e-11,1.0,-1.3496449544166756e-10,1.0,50,24
6.814574095303047e-12,-7.685308046853032e-12,-4.047703362472277e-13,1.0,1.666958945192587e-11,1.0,51,24
-9.115971507037454e-11,-1.6647309474897977e-10,-1.2877816529466028e-10,1.0,-1.601779504540637e-10,1.0,52,24
4.1549959995267536e-11,3.2595158128883314e-11,3.681446575820221e-11,1.0,7.055214844837818e-12,1.0,53,24
2.0170156327219822e-10,1.8921089732838076e-10,1.9252907510073136e-10,1.0,5.870250204448458e-11,1.0,54,24
-7.774511070808335e-11,-5.7160641929286425e-11,-6.73616910758626e-11,1.0,-2.0044614531215655e-11,1.0,55,24
-1.0947384253977439e-11,3.73981004573653e-11,1.3034353174262816e-11,1.0,5.5882198317336364e-12,1.0,56,24
-9.415479326271623e-11,-6.583020850849934e-11,-7.984882934821894e-11,1.0,-7.000955000549604e-11,1.0,57,24
-6.925908933303046e-11,-7.11281023873863e-11,-7.028722241276788e-11,1.0,1.476070382409853e-11,1.0,58,24
3.604028447608387e-11,6.913679299698001e-11,5.284896317147667e-11,1.0,5.5030172328859946e-11,1.0,59,24
-7.208837746996535e-11,-9.783645850351106e-11,-8.505135476852607e-11,1.0,-1.2096720308148367e-10,1.0,60,24
2.375342451902479e-10,1.0802065776997871e-10,1.73223043667206e-10,1.0,1.5664563155347858e-11,1.0,61,24
-2.1332140676844667e-10,-2.082994702167752e-10,-2.108821815525665e-10,1.0,-1.5706943720249863e-10,1.0,62,24
3.5706066473244035e-11,2.1071144298628893e-11,2.8809730334850833e-11,1.0,-6.36904988121186e-11,1.0,63,24
1.9248137710702852e-10,-7.395579026644689e-11,5.988958693359351e-11,1.0,2.6713457729315652e-14,1.0,64,24
-9.2099739069381e-11,-6.569611592411679e-11,-7.888959037387607e-11,1.0,-1.0300640058785851e-10,1.0,65,24
