s1eeg_twin1,s1eeg_twin2,s1eeg_twin3,s1keep,s2eeg,s2keep,trlid,subid
-1.2896852391283695e-10,-1.6326860279682955e-10,-1.4599529502854046e-10,1.0,-1.3220381323843095e-10,1.0,1,12
-6.0735563368851186e-12,2.388658688855938e-11,9.116735194971421e-12,1.0,1.630637189307768e-11,1.0,2,12
7.745725182829479e-11,7.267403320118577e-11,7.482706120172062e-11,1.0,1.3438861717898345e-11,1.0,3,12
-3.359251779572989e-11,-1.6507751719867916e-11,-2.4981116264677522e-11,1.0,-5.7047299460230114e-11,1.0,4,12
4.868310495667448e-11,9.490227646805092e-12,2.9190747612978693e-11,1.0,-1.0111807280475832e-11,1.0,5,12
-5.6477261600207284e-11,3.7426869724210536e-11,-9.257725851330785e-12,1.0,-1.75912144732738e-13,1.0,6,12
3.513057323590664e-11,1.5135828593147738e-10,9.344886953982303e-11,1.0,6.645899431513534e-12,1.0,7,12
6.357077708349841e-11,6.797172186701777e-12,3.536560620355622e-11,1.0,5.453542999611621e-12,1.0,8,12
-5.181115781297522e-11,-3.7962587113329416e-11,-4.485768840348789e-11,1.0,7.164214590796138e-11,1.0,9,12
5.99487315701438e-11,5.3523820727973605e-11,5.6861339829592266e-11,1.0,2.4382795404430756e-11,1.0,10,12
2.7265779469372962e-11,5.359985264221828e-11,4.058367365566221e-11,1.0,3.416893524984685e-11,1.0,11,12
2.2273738972521785e-11,1.0260016543596813e-11,1.638616768142089e-11,1.0,7.521837248327583e-11,1.0,12,12
-6.825366388611178e-11,-6.202518757653064e-11,-6.551188038467396e-11,1.0,-6.926338217419944e-11,1.0,13,12
-7.40897286800545e-12,6.830150293431956e-12,-9.843046773955851e-14,1.0,1.080856197662807e-12,1.0,14,12
2.0846217919171176e-11,5.426726910713541e-11,3.754784225680624e-11,1.0,1.748719279042391e-11,1.0,15,12
7.650362282850268e-11,4.6849697028965705e-11,6.167752748348587e-11,1.0,3.7751894656841707e-11,1.0,16,12
-2.880294322267592e-11,-4.362056230377787e-12,-1.6730032298921453e-11,1.0,5.2002419664948873e-11,1.0,17,12
1.7568226309820858e-11,-3.7453975299361185e-11,-1.0015695397743911e-11,1.0,-1.1488942711637826e-11,1.0,18,12
5.2957134590688574e-11,-2.005443782777722e-12,2.5570560697079877e-11,1.0,9.710940113159868e-11,1.0,19,12
-1.0287693677792255e-11,3.255931115160336e-11,1.1303347681606632e-11,1.0,3.319117445682355e-11,1.0,20,12
3.135191288343543e-11,4.416649502250759e-12,1.789835608959566e-11,1.0,-1.3885046106163069e-11,1.0,21,12
2.019203673645149e-11,1.317623671026595e-12,1.0887894872146978e-11,1.0,-1.2882117587832554e-11,1.0,22,12
5.102179449233462e-11,6.13699005302562e-11,5.631825108891152e-11,1.0,7.114088724640189e-11,1.0,23,12
1.1048867891157237e-10,-6.855142402490573e-11,2.0874575007810048e-11,1.0,-1.3575426580091882e-11,1.0,24,12
4.526535238481516e-12,-2.5072354417394968e-11,-1.0492624612901194e-11,1.0,-5.985615694436897e-11,1.0,25,12
-1.955993676539419e-11,4.439772976414394e-11,1.2703233906838358e-11,1.0,-1.581880072378682e-11,1.0,26,12
2.310141022154377e-11,-1.9033959869995128e-11,1.1750525054574654e-12,1.0,-6.903207184524902e-11,1.0,27,12
4.1542154492214614e-11,4.477886260331537e-11,4.3444530044837446e-11,1.0,8.144280713166213e-12,1.0,28,12
5.315231505932764e-11,5.051500895976907e-11,5.200398279194757e-11,1.0,6.464904763188225e-11,1.0,29,12
1.5528134117398293e-11,5.1099879428384307e-11,3.357871129481286e-11,1.0,2.10991060540244e-11,1.0,30,12
-9.209727023703068e-11,-1.2500880626900638e-10,-1.0841769967195883e-10,1.0,-1.641179893179983e-10,1.0,31,12
6.103160896128662e-11,2.0157816157832142e-10,1.3169741001879193e-10,1.0,9.899445773760866e-11,1.0,32,12
-7.082985256507764e-11,-8.708998056978824e-12,-3.978947656910281e-11,1.0,-7.675530708161039e-11,1.0,33,12
-6.81794675287001e-11,-4.9670588172772024e-11,-5.922631325202592e-11,1.0,3.623510879280048e-11,1.0,34,12
-7.433871009724228e-12,-3.9046417569197846e-11,-2.3407209597447516e-11,1.0,-9.772517436233044e-12,1.0,35,12
1.1650918521192482e-10,8.842275301795717e-11,1.0236105476366984e-10,1.0,3.776372361540558e-11,1.0,36,12
3.616578262890632e-11,9.079919194438973e-11,6.383710789820927e-11,1.0,7.218815974383751e-11,1.0,37,12
5.141434029631533e-11,4.58809584499891e-11,4.8875253764968724e-11,1.0,1.1749804809022748e-10,1.0,38,12
8.6102090009151e-13,5.828502239129236e-11,2.9097624541102363e-11,1.0,-9.433953970000548e-12,1.0,39,12
