s1eeg,s1keep,s2eeg,s2keep,trlid,subid
-9.661189108954992e-11,1.0,9.700977932519722e-11,1.0,1,13
3.687917598481488e-11,1.0,-9.852106748470204e-12,1.0,2,13
4.2980106977959954e-11,1.0,2.6774797573557387e-11,1.0,3,13
6.551103490799588e-11,1.0,3.0812802732651643e-11,1.0,4,13
3.1027166029291474e-11,1.0,2.0833127449562077e-10,1.0,5,13
1.3780200641278764e-10,1.0,3.3775207158993294e-11,1.0,6,13
-6.92278963515764e-11,1.0,-9.549997943460641e-11,1.0,7,13
1.6597798106357754e-11,1.0,1.3668288891054721e-11,1.0,8,13
9.351935435667282e-11,1.0,4.237851125254447e-11,1.0,9,13
-9.239507744480039e-11,1.0,-1.7173297551891183e-10,1.0,10,13
9.27580511900598e-11,1.0,7.254784400364774e-12,1.0,11,13
1.4532953572463007e-10,1.0,1.906672958190431e-11,1.0,12,13
6.532120982540897e-11,1.0,-2.144162772305578e-11,1.0,13,13
1.6342763386934128e-10,1.0,1.0226135129258406e-10,1.0,14,13
2.3110347320331488e-10,1.0,-2.910128079832603e-11,1.0,15,13
8.6507394857639e-11,1.0,4.8697066445039826e-11,1.0,16,13
1.906918159081629e-10,1.0,8.558643249739202e-11,1.0,17,13
6.662928263925762e-11,1.0,-1.525835841741374e-11,1.0,18,13
9.441114257293738e-11,1.0,3.3242484390816685e-11,1.0,19,13
1.9784232461442214e-10,1.0,7.482600183052497e-11,1.0,20,13
6.677066814286671e-11,1.0,1.2402294749135542e-10,1.0,21,13
2.0527169425278356e-12,1.0,-1.190118420614663e-10,1.0,22,13
9.829421866185102e-11,1.0,4.801138418789227e-12,1.0,23,13
1.4404685864901161e-10,1.0,1.6540020762648167e-10,1.0,24,13
6.076594034853719e-11,1.0,4.868475319865319e-11,1.0,25,13
2.917728842332584e-11,1.0,4.430807663481648e-11,1.0,26,13
9.893243921826053e-11,1.0,4.2906952515657933e-11,1.0,27,13
-8.839517367898755e-12,1.0,-5.447627959527128e-11,1.0,28,13
-1.3511796629938613e-10,1.0,-1.3884859868590118e-10,1.0,29,13
2.1155642602159458e-11,1.0,-2.5589791186872806e-11,1.0,30,13
-7.802926835807772e-11,1.0,-9.041436066044335e-11,1.0,31,13
-1.3958644218219503e-11,1.0,-4.549954705550304e-12,1.0,32,13
-1.0402215997505174e-10,1.0,-1.6506045247124808e-10,1.0,33,13
-1.008513337497269e-11,1.0,-1.3328179164587452e-10,1.0,34,13
1.7381423455396704e-10,1.0,-1.3345637141453792e-11,1.0,35,13
-3.2225263729411145e-10,1.0,-4.1426579774934574e-10,1.0,36,13
-1.500550251130478e-11,1.0,-6.956758514684677e-11,1.0,37,13
1.9602872887650297e-10,1.0,2.801971571193855e-11,1.0,38,13
-2.649034750545632e-10,1.0,-3.2184846169906775e-10,1.0,39,13
3.947332441643496e-12,1.0,-9.897971217988069e-11,1.0,40,13
-1.8165371324399774e-11,1.0,-3.872904753646663e-11,1.0,41,13
-6.755422156022667e-10,1.0,-6.315327128028118e-10,1.0,42,13
-1.6086057255495144e-10,1.0,-1.4884431441685198e-10,1.0,43,13
4.9516043846643957e-11,1.0,-6.422994711198556e-11,1.0,44,13
4.4733854413836256e-11,1.0,1.9868958661968183e-10,1.0,45,13
-1.8412963736789826e-11,1.0,1.7230823841772854e-10,1.0,46,13
4.2994583251280733e-10,1.0,-5.042956211752654e-12,1.0,47,13
7.034416808026626e-11,1.0,1.8850461814521702e-10,1.0,48,13
-1.2093835738706485e-10,1.0,-2.798860007280702e-10,1.0,49,13
3.291552890819519e-10,1.0,1.3724249671378938e-11,1.0,50,13
-3.0471858156233665e-10,1.0,-1.8018812884860485e-10,1.0,51,13
-1.497361128493775e-10,1.0,-2.164198297101855e-10,1.0,52,13
2.457663224999604e-10,1.0,-5.109120628892388e-11,1.0,53,13
-1.1086114226775117e-11,1.0,-3.3416747625361076e-11,1.0,54,13
4.227703270368282e-11,1.0,2.4250515827638693e-11,1.0,55,13
-1.7883741274649808e-11,1.0,3.4122850715183484e-11,1.0,56,13
8.512672606022276e-11,1.0,-6.010967042457895e-11,1.0,57,13
-1.618213815403477e-10,1.0,-2.2398330636847277e-10,1.0,58,13
9.379517195019714e-11,1.0,2.076571260344541e-11,1.0,59,13
