s1eeg,s1keep,s2eeg,s2keep,trlid,subid
-2.0048204031047056e-10,1.0,4.9303521552540155e-11,1.0,1,23
-5.564887353475777e-10,1.0,-6.373963941512661e-10,1.0,2,23
-1.948521908344187e-10,1.0,-1.4882990837964691e-10,1.0,3,23
-9.599416366076597e-10,1.0,-9.859637015674362e-10,1.0,4,23
1.422363368114456e-10,1.0,2.7672112598124755e-10,1.0,5,23
3.69303898696192e-11,1.0,1.0950974913536106e-10,1.0,6,23
-1.1914346543631572e-10,1.0,4.986036298843144e-10,1.0,7,23
2.066333589168275e-10,1.0,1.1618030662913259e-10,1.0,8,23
2.172265598818133e-11,1.0,9.707764475105702e-11,1.0,9,23
1.1166293941811419e-10,1.0,1.6485468610590803e-10,1.0,10,23
5.200383779455841e-10,1.0,1.5768081636353442e-09,1.0,11,23
4.327921297169553e-11,1.0,-7.059737237190481e-12,1.0,12,23
3.441919330892875e-11,1.0,8.318648604910841e-11,1.0,13,23
7.12511129268679e-11,1.0,1.0977359613761549e-10,1.0,14,23
2.288495595349182e-10,1.0,9.131821374695899e-11,1.0,15,23
-3.5617793420613213e-10,1.0,-1.615139015402154e-10,1.0,16,23
-3.7356999155690517e-10,1.0,-4.763419730069561e-10,1.0,17,23
-6.079182446070773e-12,1.0,1.4105253502572663e-10,1.0,18,23
-2.624618497280237e-10,1.0,-7.486951350540046e-10,1.0,19,23
-4.089454144654016e-10,1.0,-4.6235913968964606e-10,1.0,20,23
-2.9608036743078495e-10,1.0,-2.1324067624206363e-10,1.0,21,23
2.265516596261813e-10,1.0,4.361389517237735e-10,1.0,22,23
3.880087606714553e-10,1.0,-1.68386063794495e-11,1.0,23,23
-4.365139088723088e-10,1.0,-3.6454634073619083e-10,1.0,24,23
-8.323122093127771e-10,1.0,-4.6244845661052395e-10,1.0,25,23
-1.7072726891540722e-10,1.0,-7.648963979038681e-10,1.0,26,23
-1.2591453834508156e-10,1.0,-4.35769864747572e-11,1.0,27,23
1.4420080633889945e-10,1.0,-2.8098770652967537e-10,1.0,28,23
-2.268574786534593e-11,1.0,1.286673171486491e-10,1.0,29,23
1.1350973283537331e-10,1.0,4.14153102642111e-10,1.0,30,23
-9.462822231452276e-10,1.0,-1.4431857087187166e-09,1.0,31,23
1.311840893528806e-10,1.0,4.4704666189658564e-10,1.0,32,23
1.1300298908327094e-10,1.0,2.2485953343925865e-10,1.0,33,23
2.446116855965596e-11,1.0,-3.568421621802844e-10,1.0,34,23
1.8566461395106828e-10,1.0,-1.6754545571886994e-10,1.0,35,23
3.4575650530625504e-10,1.0,-2.6580552811914843e-10,1.0,36,23
2.097393311295128e-10,1.0,5.96165565038545e-10,1.0,37,23
-4.044301485749394e-11,1.0,3.5320915880991296e-10,1.0,38,23
-7.311243329126928e-10,1.0,-7.879734125965243e-10,1.0,39,23
-1.4741690160295548e-10,1.0,-1.1154313341455391e-10,1.0,40,23
-8.781628569473212e-10,1.0,-8.566470761684974e-10,1.0,41,23
1.1148417855974562e-10,1.0,7.483504040426374e-10,1.0,42,23
4.569808219527728e-10,1.0,-5.239932211837417e-11,1.0,43,23
-8.927909958479626e-11,1.0,-6.784332057727277e-10,1.0,44,23
1.361510789714505e-10,1.0,5.570243695917445e-10,1.0,45,23
3.228585535517256e-10,1.0,2.9010361225678437e-10,1.0,46,23
1.1078029703254041e-10,1.0,2.8471814049249973e-10,1.0,47,23
-4.136421728866478e-11,1.0,3.053328737926348e-10,1.0,48,23
2.108767208110964e-11,1.0,1.9241591957771617e-10,1.0,49,23
1.420537364248619e-10,1.0,8.80029014260285e-11,1.0,50,23
-7.712943728802176e-11,1.0,1.3916869675858187e-10,1.0,51,23
-6.257840396964098e-10,1.0,-1.955798287140896e-10,1.0,52,23
-6.253503049622266e-10,1.0,-4.791884710211352e-10,1.0,53,23
-4.67117204048428e-10,1.0,-4.218274157983664e-10,1.0,54,23
4.598126403955693e-12,1.0,1.396013868487882e-09,1.0,55,23
3.4325856640098136e-10,1.0,1.014263755763428e-10,1.0,56,23
3.0984656044284324e-10,1.0,5.370301181977413e-10,1.0,57,23
1.253968855090545e-10,1.0,-1.9830927413571427e-10,1.0,58,23
-7.589578157872281e-11,1.0,8.610435394843373e-11,1.0,59,23
-4.6080154532314577e-10,1.0,-5.00947410781521e-10,1.0,60,23
-1.1872996738701275e-09,1.0,-1.0357842277260198e-09,1.0,61,23
1.2666983643884508e-10,1.0,3.1485976486413235e-10,1.0,62,23
1.0634437291217565e-10,1.0,-4.328753044668846e-11,1.0,63,23
4.656306342834902e-11,1.0,3.178765301132219e-10,1.0,64,23
1.5710725274996346e-10,1.0,3.022168276790584e-10,1.0,65,23
-1.451665276723064e-09,1.0,-9.340352917271324e-10,1.0,66,23
1.849188945843412e-10,1.0,1.797415230497149e-11,1.0,67,23
-6.067687766661602e-10,1.0,-3.7624965047332113e-10,1.0,68,23
-6.311046996068572e-11,1.0,-1.8173842562309508e-11,1.0,69,23
-6.474149254306418e-10,1.0,-2.5734909201520633e-10,1.0,70,23
-3.61721519979379e-10,1.0,-4.5254711763598176e-10,1.0,71,23
-4.931149503138307e-10,1.0,-7.676147742781931e-11,1.0,72,23
2.526361443654325e-10,1.0,2.4519641008395446e-10,1.0,73,23
1.1791265691403405e-10,1.0,1.7790237218468822e-11,1.0,74,23
2.041430289919902e-11,1.0,-7.581342189655506e-10,1.0,75,23
2.647709711423408e-10,1.0,-1.8884493060456644e-10,1.0,76,23
2.1989089683572414e-11,1.0,5.228076085503602e-10,1.0,77,23
4.844794180585001e-10,1.0,1.1166454933450977e-10,1.0,78,23
7.883212033166882e-11,1.0,2.4910196287432115e-10,1.0,79,23
5.770777429829213e-10,1.0,7.843891335551496e-10,1.0,80,23
-5.6762745858362686e-11,1.0,-2.3325968075061274e-11,1.0,81,23
-3.738412876709478e-11,1.0,1.5269089969106307e-11,1.0,82,23
-1.4634244420271206e-10,1.0,5.479275230404093e-10,1.0,83,23
-3.332361419662385e-11,1.0,3.4118356685224145e-10,1.0,84,23
-4.769753831110741e-10,1.0,-9.74352647694217e-10,1.0,85,23
5.425919183311012e-10,1.0,5.305024283008937e-10,1.0,86,23
-1.1311047909348853e-09,1.0,-1.018389847355609e-09,1.0,87,23
-1.1261597068793618e-10,1.0,3.1971200917713684e-10,1.0,88,23
1.34997528189813e-10,1.0,-7.162268888035717e-10,1.0,89,23
-7.51720119170175e-10,1.0,-1.3109108162533877e-09,1.0,90,23
3.1204019418469613e-10,1.0,3.264529556880043e-10,1.0,91,23
-4.691689722443194e-10,1.0,-5.352001673515242e-10,1.0,92,23
-3.769990306141546e-10,1.0,-5.4421010178510674e-11,1.0,93,23
4.88933307210534e-10,1.0,-2.453816261769318e-10,1.0,94,23
4.3606921784767616e-10,1.0,5.920828937973336e-11,1.0,95,23
-4.111058392496933e-10,1.0,-5.8413556545341e-10,1.0,96,23
-3.843101212625431e-10,1.0,-4.653814185264675e-10,1.0,97,23
-1.0021082060113604e-09,1.0,-1.5047306793431896e-09,1.0,98,23
-2.265255117839933e-10,1.0,1.465416773244509e-10,1.0,99,23
-1.7107140596710903e-10,1.0,2.435104595182395e-10,1.0,100,23
7.28958643924016e-10,1.0,3.7230777675452157e-10,1.0,101,23
-8.478166704037837e-11,1.0,-3.8132947141103207e-10,1.0,102,23
1.7526098359800824e-10,1.0,-1.67883893106077e-11,1.0,103,23
9.34368744153547e-10,1.0,1.5952255191789672e-10,1.0,104,23
-5.113739836461945e-10,1.0,1.8628018202035794e-10,1.0,105,23
-1.3120038221528182e-10,1.0,3.2200979521475643e-10,1.0,106,23
-2.776942871637262e-11,1.0,2.7114012124589145e-10,1.0,107,23
3.196424169035464e-10,1.0,4.2469647492434865e-10,1.0,108,23
-8.534681613339427e-10,1.0,-9.74160503843482e-10,1.0,109,23
-4.177487718571401e-11,1.0,-2.9631209281119424e-10,1.0,110,23
-8.999640892916224e-11,1.0,8.503423939915861e-10,1.0,111,23
1.5151633309708168e-13,1.0,-3.6420895835938765e-10,1.0,112,23
1.1406087916305679e-10,1.0,9.852475422359613e-11,1.0,113,23
-4.950701527394012e-10,1.0,-1.6200316069564837e-10,1.0,114,23
-4.2856149043975407e-10,1.0,3.3738151651318776e-10,1.0,115,23
3.973387320206738e-10,1.0,9.764294156948611e-11,1.0,116,23
3.2498824933787795e-10,1.0,4.495759194267593e-10,1.0,117,23
-1.5555827979192331e-12,1.0,-3.9190994293258697e-10,1.0,118,23
5.740712734690287e-10,1.0,7.790209126475166e-10,1.0,119,23
