s1eeg,s1keep,s2eeg,s2keep,trlid,subid
-6.298224550643596e-10,1.0,-1.7783570984061656e-10,1.0,1,35
-8.986875600236881e-10,1.0,-6.369961743493459e-10,1.0,2,35
-8.554205093879367e-11,1.0,-1.2155079368970702e-10,1.0,3,35
6.262341203079867e-10,1.0,2.2682333210594414e-10,1.0,4,35
5.104694593360994e-10,1.0,1.8949767534518082e-10,1.0,5,35
2.8874380214984686e-10,1.0,4.837282697402091e-10,1.0,6,35
-5.507218835945508e-10,1.0,2.714264786411249e-10,1.0,7,35
1.1593124043522626e-09,1.0,-8.61935804981692e-11,1.0,8,35
6.278372214921871e-10,1.0,-1.4357847832576401e-10,1.0,9,35
3.545058548134132e-10,1.0,2.25858981086718e-10,1.0,10,35
4.935318038568922e-10,1.0,4.852817372403542e-10,1.0,11,35
6.345787649145099e-10,1.0,1.0550931159549813e-09,1.0,12,35
-3.0353613564015525e-10,1.0,7.477557762034637e-10,1.0,13,35
1.6733803405662848e-11,1.0,1.0314202819136107e-09,1.0,14,35
-1.8384875292004262e-10,1.0,4.725845440269482e-10,1.0,15,35
-6.543187729096058e-10,1.0,5.725868791683194e-10,1.0,16,35
-6.502953608485159e-10,1.0,4.329204892910998e-10,1.0,17,35
6.908363791558607e-10,1.0,1.1816237215758906e-10,1.0,18,35
-3.2314250192316e-10,1.0,4.2068936242246363e-10,1.0,19,35
8.249592217845105e-10,1.0,4.810083004357704e-10,1.0,20,35
-8.734633916778078e-10,1.0,-9.029669010143357e-10,1.0,21,35
5.692496815753733e-10,1.0,-9.693996270147331e-11,1.0,22,35
-1.1145585073471957e-09,1.0,-1.1806509001162302e-09,1.0,23,35
-4.7822511620678745e-11,1.0,1.5916046439756953e-10,1.0,24,35
4.2778596257637853e-10,1.0,1.13914205214466e-10,1.0,25,35
3.375387971969988e-10,1.0,1.1405303206014637e-09,1.0,26,35
3.645232829339181e-10,1.0,-9.894618072353515e-11,1.0,27,35
3.122772173387497e-10,1.0,8.811379610112404e-10,1.0,28,35
6.491576311540231e-10,1.0,-2.0796433448439868e-10,1.0,29,35
2.8263791984655263e-10,1.0,-5.112327857428316e-10,1.0,30,35
-6.31951246280842e-10,1.0,-4.821843324691168e-10,1.0,31,35
2.996656523705352e-10,1.0,-4.2537293267942756e-10,1.0,32,35
2.344557400835135e-10,1.0,2.956662654976694e-10,1.0,33,35
1.064145465816624e-10,1.0,-5.759548132351894e-10,1.0,34,35
1.0818901490554908e-09,1.0,-2.5437649217840587e-10,1.0,35,35
-3.458653067086741e-10,1.0,9.018139037575451e-10,1.0,36,35
4.4052687322170935e-10,1.0,3.2147011793749017e-10,1.0,37,35
5.1932086367489945e-11,1.0,-2.2106656534198316e-10,1.0,38,35
9.305863532277106e-10,1.0,2.0629533509109585e-10,1.0,39,35
-6.417781831601243e-10,1.0,-5.177551156330235e-10,1.0,40,35
-2.5664690340436824e-10,1.0,1.993996266292435e-11,1.0,41,35
1.1881382018679182e-10,1.0,1.4348623917744815e-10,1.0,42,35
8.730926804986918e-11,1.0,6.238887147755126e-10,1.0,43,35
1.7042247695605075e-10,1.0,9.084200425881097e-11,1.0,44,35
1.5259717833896035e-10,1.0,9.777057850319288e-10,1.0,45,35
-2.8893649272629607e-10,1.0,4.306020766407559e-10,1.0,46,35
2.2723236651025666e-10,1.0,4.936411427842294e-10,1.0,47,35
-1.9283406420871523e-10,1.0,-3.327626432774034e-10,1.0,48,35
8.60864049793628e-10,1.0,3.6729521785124184e-10,1.0,49,35
-7.120853700569186e-10,1.0,-8.032345109658537e-10,1.0,50,35
8.940986806615518e-10,1.0,8.607959171083334e-10,1.0,51,35
-2.314801000839827e-11,1.0,-3.0556546157361134e-10,1.0,52,35
2.0393393588222083e-09,1.0,1.0830685356807852e-09,1.0,53,35
1.7988102112717997e-09,1.0,6.462065074096926e-10,1.0,54,35
9.657584425897696e-10,1.0,6.687237801694306e-11,1.0,55,35
5.573345872196745e-10,1.0,4.800311986385281e-10,1.0,56,35
1.2402865709423935e-09,1.0,1.0393501645021392e-09,1.0,57,35
9.741345580414885e-10,1.0,6.71524805827255e-13,1.0,58,35
3.109796901072644e-11,1.0,-2.845793065647083e-10,1.0,59,35
3.006846008485346e-10,1.0,2.1610511249670178e-10,1.0,60,35
1.2777474893550357e-09,1.0,4.591533454293657e-10,1.0,61,35
1.2074999075416077e-09,1.0,-2.5608437604254175e-10,1.0,62,35
1.454631554778112e-09,1.0,1.3935534077675765e-09,1.0,63,35
2.8923332946917245e-11,1.0,-2.107668521029771e-10,1.0,64,35
1.6814824299836294e-10,1.0,7.834970065819935e-10,1.0,65,35
3.2167206710271275e-10,1.0,2.7441552423578013e-10,1.0,66,35
-1.2422327445981823e-10,1.0,7.710888104248558e-10,1.0,67,35
9.492972358545536e-11,1.0,-6.475053002576533e-10,1.0,68,35
2.888247117231142e-10,1.0,1.7018883243083108e-10,1.0,69,35
3.0960214244673973e-10,1.0,6.790418511194359e-10,1.0,70,35
8.212826345894379e-10,1.0,1.426950769219096e-09,1.0,71,35
6.700626987579096e-11,1.0,-2.4972011055429674e-10,1.0,72,35
4.665532270975788e-10,1.0,1.5935046463995117e-09,1.0,73,35
-4.923706298402559e-10,1.0,3.8667770964784754e-10,1.0,74,35
8.981618784748677e-10,1.0,2.115762949690521e-10,1.0,75,35
-3.7676929765376363e-10,1.0,-4.308663744809617e-10,1.0,76,35
9.614777901447419e-10,1.0,1.4507702809696072e-09,1.0,77,35
4.388814478110946e-10,1.0,-1.6776079869354664e-10,1.0,78,35
-8.527919662069584e-12,1.0,-1.0867859512605811e-09,1.0,79,35
3.5359683677316966e-10,1.0,2.1964677876455645e-10,1.0,80,35
4.698409158602311e-10,1.0,9.646334616505547e-10,1.0,81,35
-2.0302132611044873e-09,1.0,-1.8371086237122713e-09,1.0,82,35
-1.3839540148807734e-10,1.0,8.213965014269381e-10,1.0,83,35
-6.267862464485289e-10,1.0,5.607320723153346e-10,1.0,84,35
1.9819130759722321e-10,1.0,-5.884733789963361e-10,1.0,85,35
-6.591661197674921e-10,1.0,-1.0563042648671597e-10,1.0,86,35
-2.6150102007885e-10,1.0,2.215152944153149e-10,1.0,87,35
1.5278661145860792e-09,1.0,-1.9034542308317045e-10,1.0,88,35
7.766656814049459e-10,1.0,4.6125442556428886e-10,1.0,89,35
1.8703915636775016e-09,1.0,-1.3696893567355981e-10,1.0,90,35
9.970308596964724e-11,1.0,-3.9629856789416054e-11,1.0,91,35
-4.398171056237205e-11,1.0,7.163822015903307e-10,1.0,92,35
-1.4053436920432114e-12,1.0,-1.2882681582429917e-10,1.0,93,35
-8.203799786335937e-10,1.0,7.253490767486374e-10,1.0,94,35
-1.963041552645013e-11,1.0,7.821094031789413e-10,1.0,95,35
1.1691466226177633e-10,1.0,1.2769541291239492e-09,1.0,96,35
1.2656769858106197e-09,1.0,1.192941921585913e-10,1.0,97,35
5.979812175999763e-10,1.0,8.129924758737156e-10,1.0,98,35
2.18533872945778e-10,1.0,7.305850431790773e-10,1.0,99,35
-2.6972905633330615e-10,1.0,-2.1998261210737206e-10,1.0,100,35
9.990177647787223e-11,1.0,2.380882168629031e-10,1.0,101,35
9.714098114337441e-12,1.0,1.040682964268152e-09,1.0,102,35
-2.5813515847063698e-11,1.0,3.824675638757844e-11,1.0,103,35
8.153380418527798e-11,1.0,4.807237535320518e-10,1.0,104,35
3.64067516000317e-10,1.0,6.268439672845672e-12,1.0,105,35
7.502306159878384e-10,1.0,2.662687286949792e-10,1.0,106,35
1.7711545747860475e-10,1.0,2.80331722537876e-10,1.0,107,35
5.876306503343688e-10,1.0,9.09051844164622e-10,1.0,108,35
-3.2824368658846473e-10,1.0,2.446163594977904e-10,1.0,109,35
-1.3491540343815044e-09,1.0,-1.0075531040277958e-09,1.0,110,35
3.530824987709394e-10,1.0,1.1983228298773221e-09,1.0,111,35
8.22450779449026e-10,1.0,2.0276989607463724e-10,1.0,112,35
-2.0931890317446045e-09,1.0,-1.770136895924226e-09,1.0,113,35
-3.4470766310101095e-10,1.0,-7.425364444630455e-10,1.0,114,35
1.0797175292499089e-10,1.0,-2.8995201990136963e-11,1.0,115,35
1.716373541569125e-09,1.0,5.309384287668674e-11,1.0,116,35
6.930970232021025e-11,1.0,-2.0765043854849285e-10,1.0,117,35
-4.1141104397473246e-10,1.0,-4.904015882712281e-10,1.0,118,35
2.602446726615998e-10,1.0,2.1833117476937126e-09,1.0,119,35
1.3539739830431908e-10,1.0,2.274955388059393e-11,1.0,120,35
-5.074384535095711e-10,1.0,-1.2827270563318096e-09,1.0,121,35
-2.1424532483895664e-10,1.0,-2.377712579263365e-10,1.0,122,35
3.753325566205187e-10,1.0,4.679326321908515e-10,1.0,123,35
1.1494549207598338e-09,1.0,2.3571038921116245e-10,1.0,124,35
2.839775495058792e-10,1.0,7.270158391789446e-10,1.0,125,35
-1.4080792158993388e-09,1.0,-1.2416603403641313e-10,1.0,126,35
-2.285333277698386e-10,1.0,-5.268547695210964e-10,1.0,127,35
-7.165602820121167e-11,1.0,-9.701868228235715e-10,1.0,128,35
-2.8301824698749075e-10,1.0,9.325208594386648e-10,1.0,129,35
8.06453866795501e-11,0.0,1.4525126850610023e-09,1.0,130,35
-8.016429493926476e-10,1.0,-1.9283045121459606e-10,1.0,131,35
1.1520653454109042e-10,1.0,-1.4266109291453274e-11,1.0,132,35
-1.2120554399920076e-10,1.0,2.136868801395161e-10,1.0,133,35
-2.5230973220938734e-10,1.0,3.9920933271176427e-10,1.0,134,35
-2.435535297585282e-10,1.0,1.0975334699688116e-10,1.0,135,35
-1.6109777804622939e-09,1.0,-9.112823360209486e-10,1.0,136,35
-4.1128711644002353e-10,1.0,1.0158898547951052e-10,1.0,137,35
8.12320876186589e-11,1.0,8.884771272506777e-10,1.0,138,35
2.8374484398096003e-10,1.0,1.550599712363705e-09,1.0,139,35
2.5402187848495994e-10,1.0,9.710999792991882e-10,1.0,140,35
5.752831767164595e-10,1.0,1.908639798609641e-10,1.0,141,35
1.2919690300407238e-09,1.0,1.1944631580555613e-10,1.0,142,35
8.483738983017308e-11,1.0,1.0563487381568914e-10,1.0,143,35
-1.4957319272134827e-09,1.0,-9.53958638322679e-10,1.0,144,35
-3.959825379165774e-10,1.0,-2.694162351349384e-10,1.0,145,35
1.3636672196801256e-10,1.0,-5.311793631051931e-10,1.0,146,35
2.4669454043894294e-10,1.0,7.058184246572657e-10,1.0,147,35
-2.2160715579102547e-10,1.0,2.262357657213979e-10,1.0,148,35
6.585226259098949e-11,1.0,4.662740059023983e-11,1.0,149,35
3.239989834993254e-10,1.0,-7.679738724308573e-10,1.0,150,35
5.693535789926634e-11,1.0,9.423377107514245e-10,1.0,151,35
