s1eeg_twin1,s1eeg_twin2,s1eeg_twin3,s1keep,s2eeg,s2keep,trlid,subid
-1.5471355995558259e-10,-1.2330054542717435e-10,-1.3918437496052012e-10,1.0,-9.227638259175977e-11,1.0,1,30
-1.2843169794408668e-10,-1.0495484026406653e-10,-1.1664246430277633e-10,1.0,-1.0886802906163135e-10,1.0,2,30
-7.036328435875876e-11,-4.454706618547376e-12,-3.7105916164778504e-11,1.0,5.87555801378989e-11,1.0,3,30
-7.415354463621708e-11,-7.028329745902288e-11,-7.217480417348366e-11,1.0,-8.715928636890385e-11,1.0,4,30
2.0551926023925876e-11,1.285695464935179e-11,1.6720652915458927e-11,1.0,2.404224614123338e-11,1.0,5,30
-1.6738562619268384e-10,-7.820723298423131e-11,-1.2272217958490824e-10,1.0,-1.204209061369365e-10,1.0,6,30
-1.4694007343796558e-10,-1.681660888085656e-10,-1.5749336227201807e-10,1.0,-1.538187164339788e-10,1.0,7,30
-7.381641529910065e-11,9.755569649685643e-11,1.2102325131601888e-11,1.0,1.1688094810920223e-10,1.0,8,30
-1.1218718411390209e-10,-7.038233814203949e-11,-9.110712107308788e-11,1.0,-8.226756925498596e-11,1.0,9,30
-4.150682887836695e-11,-7.505461353143458e-12,-2.4408818222399026e-11,1.0,-2.703152312456429e-11,1.0,10,30
8.44650675289977e-12,-1.440750047054817e-14,4.102758687406343e-12,1.0,7.736939493056992e-11,1.0,11,30
-1.0201131308030823e-10,-7.953836615590222e-11,-9.097232864184309e-11,1.0,7.317794671778795e-12,1.0,12,30
-4.945197873390279e-11,1.978257053638925e-11,-1.4559908969163465e-11,1.0,-5.792737386122325e-12,1.0,13,30
-2.0451932502565037e-11,2.714383125591335e-13,-1.0170416034474094e-11,1.0,1.5481669707044807e-10,1.0,14,30
-5.875778359390122e-11,4.395121324051694e-12,-2.70199805786229e-11,1.0,-7.090169278081109e-12,1.0,15,30
4.6953402519426524e-11,6.265001314097832e-11,5.509841105079041e-11,1.0,1.0926993474088461e-10,1.0,16,30
-3.975296488166647e-10,-3.09107308035376e-10,-3.532450131295135e-10,1.0,-3.556035357280464e-10,1.0,17,30
5.4761903536107904e-11,4.025009936384776e-11,4.779433802123505e-11,1.0,5.109521931341099e-11,1.0,18,30
-1.2815424987967562e-10,-8.485218832655119e-11,-1.0656581835464528e-10,1.0,-9.515654544716734e-11,1.0,19,30
9.549806029316169e-11,1.3814471427597404e-11,5.408640015688513e-11,1.0,2.3157371904397007e-10,1.0,20,30
-2.1722402441565619e-10,-2.6504913098734644e-10,-2.4097881182157967e-10,1.0,-2.657295897377672e-10,1.0,21,30
-3.824410894864379e-12,1.495471526466518e-11,5.6319903235183195e-12,1.0,6.0226248880216844e-12,1.0,22,30
-1.2604474906768533e-10,-9.395619868509101e-11,-1.0985540502880651e-10,1.0,-7.654672616102063e-11,1.0,23,30
2.451866346639099e-12,1.7720880043248785e-11,1.0122455108868237e-11,1.0,-1.5785647531399895e-11,1.0,24,30
-9.91702465201279e-11,-5.714779321868053e-11,-7.889437799597087e-11,1.0,-7.419202475622459e-11,1.0,25,30
-2.9767673322071887e-10,-3.098471950729408e-10,-3.041280306363486e-10,1.0,-8.06328840736631e-11,1.0,26,30
-2.289224165514435e-10,-2.2854328031944524e-10,-2.2862297593178512e-10,1.0,-1.903888378313431e-10,1.0,27,30
-3.556124364112387e-10,-3.844079099188419e-10,-3.7005232790096624e-10,1.0,-4.0439571454858025e-10,1.0,28,30
4.452923780972214e-11,6.029620274395481e-12,2.5389534488396577e-11,1.0,8.371983388854571e-11,1.0,29,30
5.89923882872313e-11,1.0173038508231342e-11,3.47208475478123e-11,1.0,1.0186931009645649e-10,1.0,30,30
-1.6318186158354987e-09,-1.6472017874990488e-09,-1.639532529489558e-09,1.0,-1.3333957841585943e-09,1.0,31,30
-8.816081893433446e-11,-7.900090676767397e-11,-8.42148855841982e-11,1.0,-1.0472036660225444e-10,1.0,32,30
