s1eeg_twin1,s1eeg_twin2,s1eeg_twin3,s1keep,s2eeg,s2keep,trlid,subid
1.2352620059054728e-11,2.8015783699255385e-11,2.0166445804344944e-11,1.0,3.7813885222343895e-13,1.0,1,18
-2.978329556344464e-11,-3.8345373369706585e-11,-3.4252056088513104e-11,1.0,-2.367050646658071e-12,1.0,2,18
-4.6000586234684826e-11,-4.6756735953035145e-11,-4.6553785677828905e-11,1.0,-3.572022033034715e-11,1.0,3,18
2.2262971007326492e-11,4.953484034835744e-11,3.584749923635603e-11,1.0,4.068160311342035e-12,1.0,4,18
-1.3887301671753423e-11,-1.7330331223360237e-11,-1.556754083900873e-11,1.0,-3.6069374854766387e-11,1.0,5,18
-2.6551603443762203e-11,-1.89297026664183e-11,-2.265241010367963e-11,1.0,2.031973840750863e-11,1.0,6,18
-6.930579545216193e-11,-5.830689298120351e-11,-6.371420092056191e-11,1.0,-7.437712178307231e-11,1.0,7,18
-1.0816267304754121e-10,-1.3596910165682482e-10,-1.2204868267007377e-10,1.0,-9.933718187668325e-11,1.0,8,18
-5.176583504734084e-11,-3.1686259451273857e-12,-2.725341672423643e-11,1.0,-4.203185898281892e-11,1.0,9,18
5.5745071724341696e-12,2.9634609457147053e-12,4.401589097550153e-12,1.0,-4.3256408599119165e-12,1.0,10,18
-7.026607434868752e-11,-6.26217231851971e-11,-6.638541574159267e-11,1.0,-3.516140631687879e-11,1.0,11,18
4.172378773393045e-11,2.11199213750508e-11,3.119573468497298e-11,1.0,2.2788877696354145e-11,1.0,12,18
-5.245294002717634e-12,2.5956506767420477e-11,1.0433799527563253e-11,1.0,-1.3846089830727061e-11,1.0,13,18
4.586009160414514e-11,-3.012308683185539e-11,7.771955980295013e-12,1.0,-2.495815252565756e-11,1.0,14,18
-8.010470247358181e-11,-6.321497817701586e-11,-7.184866092073759e-11,1.0,-8.029445463535418e-11,1.0,15,18
-7.007712181747895e-11,-9.217165046179194e-11,-8.094792911541218e-11,1.0,-1.1633040247127959e-10,1.0,16,18
