s1pupil_twin1,s1pupil_twin2,s1keep,s2pupil_twin1,s2pupil_twin2,s2keep,trlid,subid
8.705750231461177,386.2396324564074,1.0,133.9807821879059,153.7289847927729,1.0,1,10
-96.41529458407176,47.975419550483416,1.0,68.2557978720113,-112.7628032250686,1.0,2,10
-258.4143117425829,-110.15243763567162,1.0,236.2104207028666,489.2159666016111,1.0,3,10
822.680705750691,677.8541716939516,1.0,643.1698446302529,405.88456646862005,1.0,4,10
-505.80905504941524,-486.90219091059055,1.0,-561.0973453835178,-612.6548223275569,1.0,5,10
317.4193624511719,675.0557383756063,1.0,879.5540259500689,654.1959442005693,1.0,6,10
638.0727126112827,646.9880301396088,1.0,601.0451591708317,726.7099238451726,1.0,7,10
-431.4778160018785,-421.8039577531262,1.0,-622.726931942585,-572.9510812387099,1.0,8,10
-176.38056726971496,-279.9060048931339,1.0,-433.7367988224818,-452.15965559841624,1.0,9,10
-229.10588431764597,-536.5071289832063,1.0,-394.3063257889339,-911.7675511928288,1.0,10,10
512.9160927827562,174.97784766703322,1.0,180.3070340715586,653.6810711792398,1.0,11,10
193.39378138346208,122.12948042026883,1.0,-439.7675037300659,-714.0571587154534,1.0,12,10
-1056.2706257957445,-467.6039724470709,1.0,-440.31294495540106,-1266.7122038046807,1.0,13,10
-378.4796953180233,172.14598101383106,1.0,-388.05559760168626,-25.43273907696883,1.0,14,10
-447.07969071188046,143.63306479286953,1.0,395.54456916405593,223.28861284994264,1.0,15,10
245.35054430930157,269.96316444850453,1.0,-391.1996078434589,-107.71940005389163,1.0,16,10
-946.8095634160431,-196.66591948867014,1.0,-1340.0341715814316,-638.6180014083657,1.0,17,10
-342.79311385253925,-24.45263830438016,1.0,176.76852981792726,-355.19896497309213,1.0,18,10
-857.706256063026,-173.6506129201557,1.0,-547.4878136352294,-376.4070857621261,1.0,19,10
564.1300041910115,351.0083359316868,1.0,-36.01803516439667,-90.83088967948348,1.0,20,10
18.85049143965369,-161.71653195064334,1.0,-917.2041450847208,-119.85820473301978,1.0,21,10
31.78357139193549,9.522874041029626,1.0,120.38049326048076,286.29554926982377,1.0,22,10
-597.4904667674103,218.46070317364664,1.0,-220.6850196940695,-371.5903724023398,1.0,23,10
804.2831306312612,933.0704351700604,1.0,559.9396020620616,1192.8013413703627,1.0,24,10
799.3372861411,624.9349734473354,1.0,-158.58694183850173,-41.823553775938045,1.0,25,10
-272.15023063846047,-42.29772920976282,1.0,10.581049654997592,-478.02693921416335,1.0,26,10
-382.3211420791718,-808.1305297483771,1.0,-723.0111838473085,-216.45333607505358,1.0,27,10
67.66517291472434,-105.80700549817713,1.0,-74.49375860727405,314.73932309664013,1.0,28,10
-58.86868558141396,-149.38597758237663,1.0,-111.83531466084658,-177.96894457071008,1.0,29,10
-533.8044410126023,-249.71051837696544,1.0,-431.13287639519143,-722.7811307596717,1.0,30,10
-128.76753065135017,82.07783969025635,1.0,392.40235316524985,-20.727307667443917,1.0,31,10
-593.364826296558,134.14063649317032,1.0,-23.24625319282985,-216.86096210056803,1.0,32,10
-46.26004694803518,179.65053761953584,1.0,176.0152831032179,-437.8380587763079,1.0,33,10
8.272488331738053,181.36614070843208,1.0,39.26519341002326,-459.6005087194735,1.0,34,10
28.1874979498827,-251.10702503420407,1.0,-327.0990374187599,-622.5451815405127,1.0,35,10
-20.861213875539438,-329.3046110354643,1.0,-604.6898773293372,-640.6835698610329,1.0,36,10
313.2243598511474,-483.4863897672209,1.0,-1218.5139844245189,-679.3928228637228,1.0,37,10
441.47208468992864,-293.54959989056005,1.0,-509.7342683501608,-19.070567446828424,1.0,38,10
-153.15688766702797,-71.77714925927245,1.0,-608.1991444282463,-797.1981536285958,1.0,39,10
-371.04710695637584,-670.6426773587447,1.0,-685.7324093911378,-909.7992510290761,1.0,40,10
-263.36622321423863,-342.88951730412026,1.0,-230.9358072383326,-345.91422498547246,1.0,41,10
184.8222205171911,7.819583392960941,1.0,-263.9343897836077,131.49670893958796,1.0,42,10
-154.89561715848544,119.1812406974529,1.0,-511.4177022924063,-633.8859089777696,1.0,43,10
356.1865331211189,34.61695374774145,1.0,-54.264926935477504,-241.3077391093477,1.0,44,10
43.08084344687438,-78.20040360486952,1.0,-48.98386109032785,-128.51778298103338,1.0,45,10
129.80678927611538,-412.5862871866537,1.0,-804.4420493395284,-709.3676072755434,1.0,46,10
97.8271295555952,192.4821791955368,1.0,717.3244418954666,638.982453287482,1.0,47,10
-265.9543735512479,-142.35665704813113,1.0,41.917384655653386,-122.50741917691211,1.0,48,10
288.9706517258501,275.77485079185476,1.0,-7.296468346201336,504.1004994784489,1.0,49,10
73.34020254308422,-197.8501344887361,1.0,2.735256214551583,68.43250050648442,1.0,50,10
403.10227957077524,676.194514543993,1.0,447.7476927924798,410.5404997979811,1.0,51,10
58.56119863075143,52.61485311788096,1.0,137.7274263698849,70.76868954062152,1.0,52,10
-81.52074669245394,-247.6147244991101,1.0,-746.9961443923359,-508.43092691894236,1.0,53,10
453.6405015029269,366.6824505636107,1.0,319.6747929414524,709.6085022057368,1.0,54,10
-741.4200646395977,-686.61266701591,1.0,576.6549182504993,242.44767494240068,1.0,55,10
0.6561411108725906,249.804081697476,1.0,303.31579114225764,424.2618024933594,1.0,56,10
-123.3638075162668,-320.80981212026785,1.0,-264.7838687306728,-65.98364422426877,1.0,57,10
-239.61105093348974,190.106423940271,1.0,591.6750666593143,815.9033858098246,1.0,58,10
435.7369462568789,246.10216999903784,1.0,-82.87112080819756,-13.153635713173793,1.0,59,10
104.17779924228124,-442.9939169361453,1.0,-497.17138617700454,-249.4905725713993,1.0,60,10
-487.5150374396648,-151.31789387817673,1.0,-74.27454756750602,-77.4674787855481,1.0,61,10
-95.30615200285072,-396.91578852763854,1.0,-490.9609610618964,-890.2211003486274,1.0,62,10
29.807757770564688,16.703494938004017,1.0,953.1171677243099,1231.0655273846546,1.0,63,10
-157.77444998354065,-189.7657096201844,1.0,34.81323937163803,-465.2582921310666,1.0,64,10
-359.155488564101,-250.77512488812906,1.0,-183.6706156783566,-50.03368378215099,1.0,65,10
692.0276432395158,271.4395392262235,1.0,430.72342877267397,369.18294078819565,1.0,66,10
-634.8754371091612,-123.16946044350875,1.0,-222.06013128565047,35.287679627731514,1.0,67,10
150.48416922341917,2.132877061600958,1.0,-127.93470481043151,-55.32412651817307,1.0,68,10
-305.6994109150977,-634.3955166692498,1.0,-297.85940719421575,-418.4249633187136,1.0,69,10
-98.21888798178412,-88.67596664160023,1.0,-151.43865484897842,-162.79116961173293,1.0,70,10
386.7243351998573,417.15682925754834,1.0,559.0601999378736,528.9736915624964,1.0,71,10
165.80527019769585,-461.74480283159573,1.0,-303.9968492979894,-410.54424210649154,1.0,72,10
-203.82765167781153,-331.75119839494084,1.0,-432.5594739500399,-509.9424357023547,1.0,73,10
208.07763328860534,217.41676273970984,1.0,365.1282467387414,223.0471474779115,1.0,74,10
-35.31120291758773,52.823482927776396,1.0,-66.7436758333079,-485.13078093779103,1.0,75,10
193.1874720320279,-380.9970784965345,1.0,-289.30506692255113,-288.92208874786246,1.0,76,10
54.031915703380754,-97.24847085007788,1.0,194.4249719834561,-305.0532058089214,1.0,77,10
-557.3770104410456,-57.85869734205629,1.0,-346.44015110035184,-462.4485821240577,1.0,78,10
-112.73100257248049,-423.43358881305807,1.0,44.69569985744055,21.974058595547028,1.0,79,10
365.8419564837967,247.5132916072439,1.0,293.5832175670993,202.49608198413608,1.0,80,10
214.43112466937455,-29.143765114796143,1.0,-456.9785660257949,-545.1303242646482,1.0,81,10
-291.5502978412279,-397.3482908905947,1.0,-604.6226863572018,-690.2478220729988,1.0,82,10
-354.8211281106995,-518.3327818317495,1.0,-107.1627273741967,-381.6120784621823,1.0,83,10
312.7447636404175,-401.4236229555084,1.0,-167.99529256641787,-0.9503828750361052,1.0,84,10
310.20828772029415,-261.4485501102391,1.0,-424.36131990762084,-250.6872106523853,1.0,85,10
-146.75305489270906,-14.418269538337,1.0,400.3471756201665,528.6441274191887,1.0,86,10
-263.2858710304924,-679.4164026473316,1.0,-656.4370308016545,-317.2436507011108,1.0,87,10
905.1779704584743,1194.7152028635492,1.0,797.5010317594312,319.6942049190382,1.0,88,10
-373.5074268206879,-593.8952022351311,1.0,-1121.3180338497064,-810.6326236545785,1.0,89,10
-197.78232570785835,-32.76049376082831,1.0,102.05811852232694,-151.22915465202948,1.0,90,10
244.08245884407663,386.06163472106294,1.0,-546.7266853951161,-69.9148402562511,1.0,91,10
247.80616567175872,-380.3080158876109,1.0,-725.5350528904519,-1351.7443809297079,1.0,92,10
136.68222538288637,-424.8006617386447,1.0,-659.5744272393149,234.94954171500854,1.0,93,10
-365.71546507192346,-118.13348656353196,1.0,-738.431511591582,-1054.3962173536677,1.0,94,10
23.322857996391583,-384.2374726378215,1.0,-691.4350602531969,-699.9944331483174,1.0,95,10
409.994299015,21.402045454653155,1.0,182.39924983750907,961.8410894367003,1.0,96,10
279.4750551190029,413.3919177618631,1.0,234.96409400610557,135.94406542603505,1.0,97,10
-363.59134026794953,-41.988288863284865,1.0,-239.07244793096103,-781.269897837294,1.0,98,10
466.7924465250322,534.7011082727345,1.0,535.7007658274157,913.8164930552165,1.0,99,10
-451.0086455102005,-717.1297790968545,1.0,-806.8288753056769,-998.5797753398697,1.0,100,10
533.1286826893967,568.9833735481226,1.0,144.90751836903777,517.1458237805692,1.0,101,10
-612.4702610775329,-406.75826567861776,1.0,-426.94095133258355,13.68834977447397,1.0,102,10
-288.42401944066773,-156.4098148922414,1.0,-43.882649065729986,109.69120683058549,1.0,103,10
-494.40372829988763,-407.1162702325775,1.0,-949.1165743396634,-649.7613205301247,1.0,104,10
380.38087762373124,684.5494338695664,1.0,957.469253536593,420.76314712632774,1.0,105,10
-18.741836433030564,-294.103968840303,1.0,-331.27467643653915,111.0296387466344,1.0,106,10
576.5885790987214,521.9876213989832,1.0,406.67840728975074,-129.83534636442602,1.0,107,10
678.3623408976416,296.1629675618431,1.0,99.95305384060525,-220.20819426575594,1.0,108,10
