s1eeg_twin1,s1eeg_twin2,s1eeg_twin3,s1keep,s2eeg,s2keep,trlid,subid
1.5542340759593136e-10,-1.4919277853270924e-11,7.030516941446503e-11,1.0,8.817346561952986e-11,1.0,1,29
9.384847681224564e-11,1.8520513115202867e-10,1.39573103313243e-10,1.0,3.1207490742807053e-10,1.0,2,29
1.757909396242693e-10,1.412015208490467e-10,1.582140359060901e-10,1.0,-2.9572619331094398e-12,1.0,3,29
6.261576758378244e-11,-2.853806491490036e-11,1.721268622791327e-11,1.0,-9.660266025551673e-11,1.0,4,29
-1.6056383275640533e-10,-1.4403232897815546e-10,-1.5207178560559507e-10,1.0,7.106421166903812e-11,1.0,5,29
-3.070419618452763e-10,-3.6632593554501545e-10,-3.365017269036826e-10,1.0,-3.6039029867682434e-10,1.0,6,29
8.637412647253423e-11,1.732371075716352e-10,1.302747113438499e-10,1.0,3.331575681539196e-11,1.0,7,29
-1.2796547873177527e-10,-4.147866092711878e-11,-8.433551210083025e-11,1.0,-8.474334732990743e-11,1.0,8,29
-6.292173864827442e-11,-1.384474547911585e-10,-1.0071115022096377e-10,1.0,-7.259962026350489e-11,1.0,9,29
2.338281567333373e-10,2.1402964311396242e-10,2.2324926301543695e-10,1.0,1.6816407168254878e-10,1.0,10,29
8.223090807214571e-11,1.2202369829106773e-11,4.686498649354495e-11,1.0,-2.573895873303464e-11,1.0,11,29
1.5599028118852301e-10,2.5279720068074977e-10,2.0331451003207923e-10,1.0,4.950973595301662e-11,1.0,12,29
-2.64968236464728e-10,-1.7422048807410982e-10,-2.192098652376148e-10,1.0,-4.0321453956395614e-10,1.0,13,29
1.1052777463500358e-10,3.6759996423042073e-10,2.398282585844554e-10,1.0,2.704027727897915e-10,1.0,14,29
-5.0262351095139344e-11,4.6320966676303415e-10,2.0787928064845072e-10,1.0,9.030428425430483e-11,1.0,15,29
1.981102260902355e-10,5.856610589987149e-11,1.2865345279156417e-10,1.0,2.835857056164143e-10,1.0,16,29
-1.2218670660966232e-10,-1.0945600055327313e-11,-6.640541595441941e-11,1.0,-2.875926135736864e-10,1.0,17,29
1.5268682421701874e-10,1.881023238185579e-10,1.7080114679468572e-10,1.0,1.101788466336227e-10,1.0,18,29
3.208006091542221e-11,7.690533904068458e-11,5.4709984111172e-11,1.0,-1.1458402996249535e-10,1.0,19,29
-3.596246801352038e-11,-2.809547471730796e-10,-1.585036471766944e-10,1.0,-3.369471207830128e-10,1.0,20,29
2.87789545253524e-10,1.4656819903172082e-10,2.1838756097942762e-10,1.0,-1.4357424629830303e-10,1.0,21,29
-1.899149528075053e-10,-8.184293351968978e-11,-1.3577964097616465e-10,1.0,4.172620384871202e-11,1.0,22,29
3.075418132182374e-10,2.2904817016602527e-10,2.6749756295360776e-10,1.0,2.2139704929114025e-10,1.0,23,29
-3.846955286592246e-10,-6.057358217449159e-10,-4.950861352027112e-10,1.0,-6.149169209064285e-10,1.0,24,29
-2.620059323901743e-10,-1.1202282954154911e-10,-1.8727850494265476e-10,1.0,-7.869073811371963e-11,1.0,25,29
-6.203059262025229e-10,-4.822921465314893e-10,-5.510173689219081e-10,1.0,-5.063165152712956e-10,1.0,26,29
7.237996385302729e-11,2.941700898447192e-10,1.8465062320474954e-10,1.0,1.522322815947931e-10,1.0,27,29
1.4364434787018234e-10,1.702153152127883e-10,1.5723060957106388e-10,1.0,7.031075464422379e-12,1.0,28,29
-3.0622496260609624e-10,-3.18075269092055e-10,-3.1194821399816015e-10,1.0,1.0752681539409264e-10,1.0,29,29
-9.715586055875116e-11,5.468529194666281e-13,-4.849170818746904e-11,1.0,3.029814872513518e-11,1.0,30,29
7.436545172923466e-11,5.856871545169928e-11,6.693719766855677e-11,1.0,1.8290983731413651e-10,1.0,31,29
2.1105339825783374e-10,1.623996113113136e-10,1.861979061117398e-10,1.0,1.0694204904448604e-10,1.0,32,29
