s1pupil_twin1,s1pupil_twin2,s1keep,s2pupil_twin1,s2pupil_twin2,s2keep,trlid,subid
-232.63646901287225,-569.1213458044642,0.0,-476.58302189197934,-341.88390275016576,1.0,1,26
-426.23306349038484,-381.0641371798544,0.0,-76.8260057198841,-203.14365941212372,1.0,2,26
24.367899595097924,44.34081217983727,1.0,74.9757674874166,402.4146024446923,1.0,3,26
-198.49498575813615,-57.882406404600665,1.0,394.0872878471053,299.542737846788,1.0,4,26
-545.3374341502746,-738.8774742111697,0.0,-305.31622177894747,-290.25358285595786,1.0,5,26
338.29450712461676,119.03404812305412,1.0,462.8559353077166,585.7416008762567,1.0,6,26
197.74966120341136,116.9797666737132,1.0,-39.99410394637688,37.99530116927001,1.0,7,26
-195.69786015686176,-53.39832392848215,1.0,-113.74782568221576,-119.15742754241037,1.0,8,26
-351.3358495394457,-624.6835687575161,0.0,-558.7024643640179,-346.46551386434965,1.0,9,26
-87.05395684481245,-68.80989458013966,1.0,-0.8119929185963953,15.310133905828998,1.0,10,26
-591.1216804794758,-660.4877977525526,1.0,-575.6712653694715,-887.9923715145073,1.0,11,26
-261.25737868655574,-78.71190304758866,1.0,-274.71078365240027,-688.9131060687546,1.0,12,26
390.90763674291804,228.17530147174975,1.0,99.81874884412751,221.73947020497843,1.0,13,26
-124.97689687115654,72.97151328538324,1.0,28.051666044885614,33.77997274367221,1.0,14,26
111.63346636328039,-5.598552211969435,1.0,-212.425771264077,-183.25477791090273,1.0,15,26
82.49498317813475,-154.94411224726267,1.0,-389.9839888906896,-305.324784432797,1.0,16,26
217.04787074055238,-79.68492931216441,1.0,-206.45171124940924,-158.7727089989597,1.0,17,26
-283.0982209449538,-756.3356323262692,1.0,-774.1087254907974,-371.71907960627425,1.0,18,26
-52.565661064564885,-81.81262410513095,1.0,-171.08293062499047,-121.83131181243293,1.0,19,26
176.0766021029009,88.61282607371218,1.0,-58.546210848108664,-208.41442395177526,1.0,20,26
-243.33239342896283,-739.7348819658108,1.0,-606.1762249654727,-585.0305391662088,1.0,21,26
-584.7008339553845,-996.2220593538829,1.0,-476.57880157482543,-541.3817989109265,1.0,22,26
-530.9443944898992,-724.8065095253858,1.0,-418.0954864901599,-522.3078524503429,1.0,23,26
70.16929924149555,113.60272429322733,1.0,91.78186274030752,218.58053927084623,1.0,24,26
5.25438237225452,-245.08536762014313,1.0,-280.6439573354243,-106.62077361676992,1.0,25,26
36.42934804071823,10.924232752545283,1.0,187.49417424276191,209.41096778857946,1.0,26,26
-187.73152459710715,-30.542223412984857,1.0,194.1063991940303,149.2401136678999,1.0,27,26
-210.43030377521927,-252.1096908871852,1.0,-296.3312542482161,22.289721242079697,1.0,28,26
65.83713120652271,-221.851377855996,1.0,-343.87239480163834,-366.91236746098457,1.0,29,26
-364.4363213458407,-182.84367354453147,1.0,-178.32587612875483,-173.71137559127607,1.0,30,26
-39.82385305569947,-178.5352241286907,1.0,83.54194664219526,208.67247350055192,1.0,31,26
-64.53599410287087,-794.594916251309,1.0,-954.5137658962506,-308.66042502665584,1.0,32,26
-126.64076658959311,-413.7613024382705,1.0,-695.7725457382477,-952.1188818187961,1.0,33,26
236.47942799917624,116.28940646505777,1.0,95.9889753950852,411.1092673168343,1.0,34,26
-5.790609849299911,174.3894349428104,1.0,392.79003895600715,428.393973697712,1.0,35,26
-15.792904927348104,-94.64812450464892,1.0,-363.42413673998425,-379.9035066342118,1.0,36,26
-236.34055787197116,-385.2721700366868,1.0,-331.5036826237007,-137.15890683868906,1.0,37,26
-30.78920367555466,-140.6967742008716,1.0,14.105482521847398,35.88141083231775,1.0,38,26
410.9522961922822,259.8700418155093,1.0,290.97651732738717,223.42508374146757,1.0,39,26
-178.6991657981859,-629.0209783014726,1.0,-737.7191475412201,-714.5953909723206,1.0,40,26
404.1875955540261,113.4444942040871,1.0,23.089352427737417,79.04508081891137,1.0,41,26
224.76616136640848,259.7155204495011,1.0,272.0780991793814,237.5521663352314,1.0,42,26
-63.25686201390633,-53.06401754775386,1.0,102.25731050572693,-108.90274004007208,1.0,43,26
-130.35407270038797,-306.7681912615149,1.0,-172.58262322093688,-247.30883533655015,1.0,44,26
-216.92096943073668,-145.4212208542468,1.0,-44.65521742938532,-442.51511629758033,1.0,45,26
-377.75123273318786,-629.2112196799889,1.0,-525.7569027353164,-537.9684441620136,1.0,46,26
-81.6808533385748,-75.31109186418833,1.0,-101.88584298912541,-240.99812412045972,1.0,47,26
-224.68023558561956,-435.65771948163984,1.0,-538.8782649404791,-387.557952917225,1.0,48,26
-263.5763389668186,-589.6615559031355,1.0,-563.524025363174,-518.7966838349306,1.0,49,26
-300.28657235585797,-557.9508604105782,1.0,-812.7927114413031,-610.8743789023534,1.0,50,26
272.5273993079616,-113.84902611222293,1.0,-102.8476950846289,-4.2567245336130695,1.0,51,26
-113.95954497269665,-15.961620147267242,1.0,139.06974502810831,210.6476956015877,1.0,52,26
94.83835334607326,-15.714539981048263,1.0,155.8677986600189,313.6513641146347,1.0,53,26
38.958926067901466,-209.7216277384289,1.0,-334.66904641919183,-68.86038644786294,1.0,54,26
-51.675139249985065,-259.41172988674464,1.0,-437.090310313122,-635.6599339466982,1.0,55,26
-97.8851073995391,33.963551096611866,1.0,-97.40463857660407,-242.5446631160514,1.0,56,26
-51.00705241939573,101.74591398724989,1.0,283.1206939278444,403.6813382795526,1.0,57,26
-107.00310542009287,-366.43486371762896,1.0,-204.63184287820584,7.095822322373169,1.0,58,26
-140.83423726799808,-768.3328835567379,1.0,-1050.0413291057457,-902.9588016312254,1.0,59,26
86.57036076903127,-216.99302307124657,1.0,-269.57332895926635,-211.93367083164026,1.0,60,26
167.35475010309523,21.207114107179095,1.0,-17.306046653119147,-18.29485705532996,1.0,61,26
-317.2775285937913,-653.6788936005696,1.0,-667.4118242482393,-499.8381158450357,1.0,62,26
-77.2335376075573,272.10726862693815,1.0,210.7729504711514,331.1058783761906,1.0,63,26
-652.702114508764,-504.1728660404302,1.0,-600.4328945312454,-676.9721188733582,1.0,64,26
-633.4250639582054,-366.78723969355116,1.0,-296.3730480731344,-313.3579812629871,1.0,65,26
-268.89270484803325,-262.1809227273105,1.0,-59.00492434558333,37.54263886505398,1.0,66,26
-165.75214943730387,-504.4782764903907,1.0,-542.133404104286,-469.3770261909426,1.0,67,26
